// key	CHAT_
c001_17_boss_long	Tadam ! Bonjour, cher Maître ♥
c001_17_boss_short	Bienvenue !
c001_17_ctskill	Touché !
c001_17_death_1	Aaah ! Il est temps de battre en retraite...
c001_17_death_2	Aaah...
c001_17_drive	À mon tour !
c001_17_hit_1	Aïe !
c001_17_hit_2	Ça fait mal !
c001_17_hit_3	Aaah...
c001_17_prskill	Préparez-vous !
c001_17_skill	Tout de suite, Maître !
c001_17_spa	Aaah ! Attention, Maître !
c001_17_startbt	Encore une merveilleuse journée !
c001_17_story1	Bonjour, cher Maître ♥\Mona, à votre service !
c001_17_story2	Vous avez plutôt intérêt à vous réveiller tout de suite ♥
c001_17_story3	Oh ! À quoi pensent donc les garçons en pleine croissance ?
c001_17_true1	Maître ! Si vous ne grandissez pas, vous ne pourrez rien accomplir !
c001_17_true2	Vous voulez vraiment en savoir plus sur moi ?\Désolée, mais ma taille est un secret !
c001_17_true3	Ne sous-estimez pas le concours du Roi des démons !\Se battre tous les jours, c'est fatigant, pas vrai ?\C'est pour ça qu'il faut s'amuser de temps en temps !
c001_17_victory	On a gagné !
c001_boss_long	Me voilà ♥
c001_boss_short	Préparez-vous à recevoir votre punition ♥
c001_ctskill	J'espère que vous avez fait votre testament.
c001_death_1	Je savais que ça finirait comme ça...
c001_death_2	Gah !
c001_drive	Je m'en occupe ♥
c001_hit_1	Aaah !
c001_hit_2	Aaah !
c001_hit_3	C'est tout ?
c001_prskill	Je vais devoir vous demander de partir ♥
c001_skill	Vous êtes vulnérable ♥
c001_spa	Pfiou... Il faut prendre soin de soi ♥
c001_startbt	Je gagnerai pour vous, Maître ♥
c001_story1	Il est temps de passer aux choses sérieuses !\Le concours du Roi des démons est à nous !
c001_story2	Je vais faire une petite pause ♥
c001_story3	Fini de discuter ! On a du travail !
c001_true1	Vous n'avez pas quelque chose à faire, Maître ? Le concours du Roi des démons a déjà commencé.\Si vous ne prenez pas garde, vous serez avalé tout cru.
c001_true2	Les prévisions du jour sont... des averses !\Le sang des autres prétendants au trône des démons va pleuvoir ♥
c001_true3	Ce concours du Roi des démons a été une succession de choses les plus étranges que les autres.\Il a commencé soudainement, et il y a beaucoup plus de prétendants que d'habitude.\Mais ne vous inquiétez pas, Maître. Je trouverai une solution ♥
c001_victory	Vous m'avez vue, Maître ?
c002_boss_long	Ça a l'air de vous surprendre.
c002_boss_short	Contente de vous voir.
c002_ctskill	Vous vous débrouillez mieux que prévu.
c002_death_1	Je ne m'attendais pas à ça...
c002_death_2	Deux secondes... avant mon dernier souffle...
c002_drive	Laissez-moi vous aider.
c002_hit_1	Aaah
c002_hit_2	Aïe !
c002_hit_3	Aaah...
c002_prskill	Il ne faut pas me sous-estimer.
c002_skill	Restez en arrière.
