// key	EXP_CHAR_DUNGEON_NAME_	EXP_CHAR_DUNGEON_SECOND_NAME_	EXP_CHAR_DUNGEON_LOCATION_DESC_
100201	初級	光属性　強化ダンジョン	私は知っておくべきことは、幼稚園からすべてを学んだ。最初から硬く！
100202	下級	光属性　強化ダンジョン	昨日はヒストリー、今ではプレゼント、未来はミステリー。わからないからもっと努力しよう！
100203	中級	光属性　強化ダンジョン	若くて苦労は買ってもならないのに、今この程度はヘジュォヤジ！
100204	上級	光属性　強化ダンジョン	一度二度失敗しても何度もしてみると成功することができる。挑戦しよう！
100205	最上級	光属性　強化ダンジョン	コ・スは何のためにではなく、ただ生きていくという。ここまで来れば、成功するかどうかアンハドゥンだけするのです！
100301	初級	火属性　強化ダンジョン	私は知っておくべきことは、幼稚園からすべてを学んだ。最初から硬く！
100302	下級	火属性　強化ダンジョン	昨日はヒストリー、今ではプレゼント、未来はミステリー。わからないからもっと努力しよう！
100303	中級	火属性　強化ダンジョン	若くて苦労は買ってもならないのに、今この程度はヘジュォヤジ！
100304	上級	火属性　強化ダンジョン	一度二度失敗しても何度もしてみると成功することができる。挑戦しよう！
100305	最上級	火属性　強化ダンジョン	コ・スは何のためにではなく、ただ生きていくという。ここまで来れば、成功するかどうかアンハドゥンだけするのです！
100401	初級	水属性　強化ダンジョン	私は知っておくべきことは、幼稚園からすべてを学んだ。最初から硬く！
100402	下級	水属性　強化ダンジョン	昨日はヒストリー、今ではプレゼント、未来はミステリー。わからないからもっと努力しよう！
100403	中級	水属性　強化ダンジョン	若くて苦労は買ってもならないのに、今この程度はヘジュォヤジ！
100404	上級	水属性　強化ダンジョン	一度二度失敗しても何度もしてみると成功することができる。挑戦しよう！
100405	最上級	水属性　強化ダンジョン	コ・スは何のためにではなく、ただ生きていくという。ここまで来れば、成功するかどうかアンハドゥンだけするのです！
100501	初級	木属性　強化ダンジョン	私は知っておくべきことは、幼稚園からすべてを学んだ。最初から硬く！
100502	下級	木属性　強化ダンジョン	昨日はヒストリー、今ではプレゼント、未来はミステリー。わからないからもっと努力しよう！
100503	中級	木属性　強化ダンジョン	若くて苦労は買ってもならないのに、今この程度はヘジュォヤジ！
100504	上級	木属性　強化ダンジョン	一度二度失敗しても何度もしてみると成功することができる。挑戦しよう！
100505	最上級	木属性　強化ダンジョン	コ・スは何のためにではなく、ただ生きていくという。ここまで来れば、成功するかどうかアンハドゥンだけするのです！
100601	初級	闇属性　強化ダンジョン	私は知っておくべきことは、幼稚園からすべてを学んだ。最初から硬く！
100602	下級	闇属性　強化ダンジョン	昨日はヒストリー、今ではプレゼント、未来はミステリー。わからないからもっと努力しよう！
100603	中級	闇属性　強化ダンジョン	若くて苦労は買ってもならないのに、今この程度はヘジュォヤジ！
100604	上級	闇属性　強化ダンジョン	一度二度失敗しても何度もしてみると成功することができる。挑戦しよう！
100605	最上級	闇属性　強化ダンジョン	コ・スは何のためにではなく、ただ生きていくという。ここまで来れば、成功するかどうかアンハドゥンだけするのです！
