// key	PAID_SUMMON_GROUP_NAME_
10001	Invocation d'augmentation DOAXVV (récompense de répétition de l'étape 4 : 1 ticket d'invocation de carte 3 à 5★ ; récompense de répétition de l'étape 6 : 1 ticket d'invocation de carte 4 à 5★)
1001	
1101	
1102	Invoc. de collecte de Nezha Insouciante
1103	Invoc. de collecte des meilleurs Childs de boss majeur
1104	Invoc. de collecte de Sunah Loyale
1105	Invocation de collecte de Meilleures 4 Couples
1106	Invocation de collecte de Soutien et d'Affaiblisseurs
1107	Invocation de cristaux de type Bois
1108	Invocation de collecte du Child le Meilleure 2022
1109	Invocation de collecte d'Affaiblisseurs
1110	Invocation de collecte de Soutiens et de Défenseurs
1112	[Invocation de Childs frappeurs (raid) I] (illimité)
1113	[Invocation de Childs frappeurs (raid) II] (illimité)
1114	Invoc. de collecte des meilleurs Childs de boss majeur
1115	Invocation de collecte de Soutien
1116	Invocation de collecte de Attaquant et Soutien
1117	Invocation de collecte de Attaquant et Défenseur
1118	Invocation de collecte de Attaquant et Soutien
1119	
1120	Invocation de collecte de Attaquant et Soigneurs
1121	
1201	
1202	Invocation de gemme de sang de type Ombre
1203	
1204	
1205	
1206	
1207	
1208	
1209	Invocation de gemme de sang de type Feu
1215	
1216	
1400	Invocation raisonnable de Davi
201	
202	
3101	
3102	
401	Invocation de collecte premium de Théophano Innocente garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
402	Invocation de collecte premium de Giltiné Polaire garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
403	Invocation de collecte premium d'Artémisia Commandante garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
404	Invocation de collecte premium de Dryade Fée insouciante garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
405	Invocation de collecte premium de Mona Parfaite garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
4101	
4102	[Invocation de collecte de casse-croûte de petite succube]
4103	[Invocation de collecte - Je suis là]
4104	[Invocation de collecte - Que la fête commence !]
4105	Invocation de collecte du Carte le Meilleure 2022
411	Invocation de collecte premium de Kubera Septentrionale garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
412	Invocation de collecte premium de Vivian Volubile garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
413	Invocation de collecte premium de Brownie Informatrice garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
414	Invocation de collecte premium d'Ariel Veilleuse garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
415	Invocation de collecte premium de Jacheongbi Corde garantie (se termine en cas d'obtention d'un ou plusieurs personnage(s) 5★)
4201	
4202	
4203	
5001	Invocation Gratuite 10x 3-5★
5002	
5003	
5004	
5101	
5102	
5103	
5104	
5105	
66600	
91001	
91101	
91201	
94201	
99900	
99901	
