// key	CHARACTER_PROFILE_DESC_
c000_interest	
c000_like	
c000_love	
c000_profile	
c001_interest	C'est un secret de succube ♥
c001_like	C'est parti !
c001_love	Vous devrez faire preuve d'un peu plus de maturité...
c001_profile	La succube en chef. Par beaucoup d'aspects, elle est encore très mystérieuse. Elle aime flirter et aguicher, mais sait se faire sérieuse quand la situation l'exige. Son attitude lors de la préparation au combat contraste radicalement avec ses manières décontractées. Elle a grandi au cœur du Royaume infernal et, à ce titre, a une relation conflictuelle avec le jeune maître, qui a passé, lui, la majeure partie de sa vie dans le Royaume des mortels.
c002_interest	Je ferai de vous le Roi des démons.
c002_like	Même les assistantes doivent se reposer.
c002_love	Je vous entraînerai jusqu'à ce que vous atteigniez la perfection.
c002_profile	Une succube bourreau de travail, toujours prête à combattre. Elle s'efforce de parler distinctement et poliment. Elle avait prévu d'utiliser ses économies pour se payer une retraite dorée une fois le concours du Roi des démons terminé, mais elle a pratiquement laissé tomber l'idée. Combien de temps faudra-t-il pour faire du maître le Roi des démons, ou tout du moins un démon correct ? Sa personnalité quelque peu rigide et maniaque tend à s'améliorer grâce à l'influence du jeune maître.
c003_interest	Je vais chercher Mona !
c003_like	Pauvre tête de coq !
c003_love	Hmpf ! Imbécile de maître !
c003_profile	Son nom a d'infinies possibilités... enfin, selon ses dires.\Simplette et naïve, elle se fait facilement avoir par à peu près tout le monde. Elle a tendance à agir impulsivement et parfois même inconsciemment.\Pour elle, seule importe Mona. Le concours du Roi des démons n'est qu'un prétexte pour passer plus de temps avec elle. Elle voit le jeune maître comme un rival qui lui vole l'affection de Mona, et le qualifie généralement de "tête de coq".\Disons qu'elle doit encore mûrir un peu...
c004_interest	Joue avec moi, capitaine !
c004_like	Tu veux juste te\servir de moi, c'est ça ?
c004_love	Je vais t'aider, capitaine !
c004_profile	Une jeune fille solitaire a demandé à un démon de lui donner des amis.\Ainsi naquit un Child qui chérit ses mésaventures quotidiennes avec ses amis : Cheoyong, dont l'homonyme était traitée comme une étrangère, tout comme sa passeuse de pacte.\Cette fille intrépide voit droit devant elle et son seul souhait est de courir comme le vent.
c005_interest	Le démon le plus faible ?\C'est tellement... faible.
c005_like	Les faiblards comme toi me préoccupent.
c005_love	On peut être amis, je suppose...
c005_profile	Elle a pris le nom d'Arès, le dieu de la guerre, pour mieux exprimer la personnalité belliqueuse qui se dissimule sous son apparence modeste.\Son combat ne sera pas terminé tant qu'elle n'aura pas assouvi sa vengeance, qui compte bien plus à ses yeux qu'aider le jeune maître à devenir Roi des démons. Elle semble s'être entichée de Momos grâce au lien entre leurs passeurs de pacte.\Arès communique peu avec les autres Childs parce qu'elle est obsédée par sa vengeance.
c007_interest	Je ne suis pas Pyro !
c007_like	Pyro va y passer !
c007_love	Bats-toi contre moi, Pyro !
c007_profile	Un Child né du même passeur de pacte que Pyro l'enflammé. Il pense que Pyro a pris la place qui lui revient de droit.\Il s'est vu donner le nom de l'oiseau légendaire, car il a pu renaître de ses cendres lui aussi (et d'un fragment d'âme, mais ça ne rend pas aussi bien).\Son objectif est de vaincre Pyro et de prendre sa place.\Qui sait ? Il est peut-être bien le véritable rival de Pyro...
c008_interest	Tu n'es qu'un enfant.
c008_like	Es-tu un puissant démon ?
