// key	BACKGROUND_GROUP_NAME_	BACKGROUND_GROUP_DESCRIPTION_
basic_1	基本背景	-
scenario_101	スペシャル	特別な背景です。
scenario_11	都会の夜	飢えた悪魔がうろついている都会の夜。\運が良ければ願いをかなえてくれる悪魔に会うかも…
scenario_12	ホーリーグラウンド	聖なる場所だと安心しないように…\怖い悪魔は天使の仮面をかぶっているから…
scenario_13	平和な午後	猫はいつもこの時間に昼寝を楽しんでいる。\だから邪魔しないようにね！
scenario_14	緑あふれる景色	リラックスしたいなら都市を離れ、自然の中へ…\モナ、どうしてここまでついてくるの？
scenario_15	陰影な街	この街は多くの人間の怨念が渦巻いている\危険な都市は悪魔も恐ろしい。
scenario_16	街並み	悪魔はあなたの親切な隣人。暖かい一言の挨拶は\アルバイトで疲れた悪魔の力になります。
scenario_19	室内	あの…失礼します。\家が結構ぼろぼろですね。
scenario_21	暗黒の空間	-
scenario_22	華麗なる遠征	
