// key	MAIL_SENDER_	MAIL_TITLE_	MAIL_TEXT_
1	ทีมผู้ดูแลระบบ	โบนัสการซื้อ	ของขวัญโบนัสสำหรับการซื้อในร้านค้า
1000	A.I	รางวัลเดวิลรัมเบิล	คุณได้รับรางวัลลีกจาก A.I โฆษกแห่งเดวิลรัมเบิล\\"คุณได้รับ [reason] คะแนนรัมเบิล! จากนี้ไปก็พยายามเข้านะ!"
10000	โมนา	รางวัลสำหรับหน่วย	คุณได้รับรางวัลสำหรับการหาสมาชิกจนครบหน่วย
1001	A.I	รางวัลเดวิลรัมเบิล	คุณได้รับรางวัลการจัดอันดับจาก A.I โฆษกแห่งเดวิลรัมเบิล\\"ยินดีด้วยกับการทำ [reason] ได้สำเร็จ!\ข้าดีใจที่เห็นเจ้าแข็งแกร่งขึ้น! จากนี้ไปก็พยายามเข้านะ!"
1002	A.I	รางวัลเดวิลรัมเบิล	คุณได้รับรางวัลจากการเอาชนะการแข่งขันกับคู่ต่อสู้!
1003	GM	รางวัลอีเว้นท์ล่า GM	คุณได้รับรางวัลโบนัสสำหรับเอาชนะ GM
1004	A.I	รางวัลคะแนนสะสมเดวิลรัมเบิล	คุณได้รับรางวัลคะแนนสะสมเดวิลรัมเบิล
1005	ทีมผู้ดูแลระบบ	รางวัลจากการประลองไร้ขีดจำกัด	รางวัลอันดับของคุณจากการประลองอย่างต่อเนื่อง
1006	ทีมผู้ดูแลระบบ	รางวัลจากการประลองไร้ขีดจำกัด	รางวัลอันดับของคุณจากการประลองอย่างต่อเนื่อง
1007	ทีมผู้ดูแลระบบ	รางวัลจากการประลองระดับบุกเบิก	รางวัลอันดับของคุณจากการประลองอย่างต่อเนื่อง
1008	ทีมผู้ดูแลระบบ	รางวัลจากการประลองระดับบุกเบิก	รางวัลอันดับของคุณจากการประลองอย่างต่อเนื่อง
1009	ทีมผู้ดูแลระบบ	รางวัลจากการประลองระดับเชี่ยวชาญ	รางวัลอันดับของคุณจากการประลองอย่างต่อเนื่อง
1010	ทีมผู้ดูแลระบบ	รางวัลจากการประลองระดับเชี่ยวชาญ	รางวัลอันดับของคุณจากการประลองอย่างต่อเนื่อง
11	ทีมผู้ดูแลระบบ	ซื้อครั้งแรก	อีเว้นท์การซื้อ: โบนัสการซื้อครั้งแรก
11000	โมนา	การบริจาค LIVE อัญเชิญ	เพื่อนที่รับชมการ LIVE อัญเชิญบริจาคมาให้คุณ!
11001	โมนา	รางวัล LIVE อัญเชิญ	คุณได้รับรางวัลการเข้าร่วมการ LIVE อัญเชิญ
11002	โมนา	รางวัล LIVE อัญเชิญ	คุณได้รับตั๋วอัญเชิญระหว่างการ LIVE อัญเชิญ!
11003	โมนา	รางวัล LIVE อัญเชิญ	คุณได้รับรางวัล 3★ Double
11004	โมนา	รางวัล LIVE อัญเชิญ	คุณได้รับรางวัล 3★ Triple
