// key	SKILL_NAME_	SKILL_VISUAL_	SKILL_DESCRIPTION_
11010001	Attaque d'eau	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11010101	Attaque d'eau	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11010201	Attaque d'eau	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11010301	Attaque d'eau	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11010401	Attaque d'eau	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11010403	Smash !	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto.
11010601	Attaque d'eau	sfx_atk_normal	Inflige des dégâts d'attaque auto.
11020001	Attaque de feu	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11020101	Attaque de feu	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11020201	Attaque de feu	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11020301	Attaque de feu	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11020401	Attaque de feu	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11020403	Réception !	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible.
11020601	Attaque de feu	sfx_atk_normal	Inflige des dégâts d'attaque auto.
11030001	Attaque de bois	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11030101	Attaque de bois	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11030201	Attaque de bois	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11030301	Attaque de Bois	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto.
11030401	Attaque de bois	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11030403	Attaque !	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto.
11030601	Attaque de bois	sfx_atk_normal	Inflige des dégâts d'attaque auto.
11040001	Attaque de lumière	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11040101	Attaque de lumière	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11040201	Attaque de lumière	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11040301	Attaque de Lumière	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto.
11040401	Attaque de lumière	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11040501	Attaque de lumière	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto.
11040601	Attaque de lumière	sfx_atk_normal	Inflige des dégâts d'attaque auto.
11050001	Attaque d'ombre	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11050101	Attaque d'ombre	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11050201	Attaque d'ombre	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11050301	Attaque d'ombre	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11050401	Attaque d'ombre	sfx_atk_normal	Inflige {value} points de dégâts d'attaque auto à la cible (automatique).
11050601	Attaque d'ombre	sfx_atk_normal	Inflige des dégâts d'attaque auto.
17000001	Récupération	buff/17000001/buff_set	Restaure un certain nombre de PV pour une certaine durée
17000002	Soin	buff/17000002/buff_set	Restaure instantanément un certain nombre de PV.
17000003	ATQ ↑	buff/17000003/buff_set	Augmente l'ATQ.
17000004	DÉF ↑	buff/17000004/buff_set	Augmente la DÉF.
17000005	AGI ↑	buff/17000005/buff_set	Augmente l'AGI.
17000006	CRT ↑	buff/17000006/buff_set	Augmente les CRT.
17000007	Charge de compétence ↑	buff/17000007/buff_set	Augmente la charge de la jauge de compétence. Se cumule avec la charge de jauge de compétence accélérée.
17000008	Immunité	buff/17000008/buff_set	Immunise contre tous les effets d'affaiblissement et supprime immédiatement tous les affaiblissements.
17000009	Invincibilité	buff/17000009/buff_set	Annule toutes les attaques et les effets d'affaiblissement.
17000010	Immortalité	buff/17000010/buff_set	Les PV ne tomberont pas en dessous de 1, même après des dégâts fatals.
17000012	Vampirisme	buff/17000012/buff_set	Après une attaque, transforme un certain pourcentage des dégâts en soins progressifs.
17000013	Résurrection	buff/17000013/buff_set	Ressuscite immédiatement un Child mort.
17000014	Charge de compétence accélérée	buff/17000014/buff_set	Accélère la vitesse de charge de la jauge de compétence. Se cumule avec les effets augmentant la charge de la jauge de compétence.
17000015	Soin ↑	buff/17000015/buff_set	Augmente les effets des compétences de soin.
17000016	DÉF de compétence ↑	buff/17000016/buff_set	Augmente la DÉF contre tous les types de compétences.
17000017	Boost de compétence II	buff/17000017/buff_set	Augmente le coup final d'une compétence. Ne s'applique pas aux attaques auto, aux compétences d'assaut ou aux effets sur la durée.
17000018	PV max ↑	buff/17000018/buff_set	Crée une barrière qui confère des PV supplémentaires.
17000019	Boost attaque auto II	buff/17000019/buff_set	Augmente le coup final d'une attaque auto.
17000020	Boost compétence de base II	buff/17000020/buff_set	Augmente le coup final d'une compétence de base.
17000021	Boost compétence glissée II	buff/17000021/buff_set	Augmente le coup final d'une compétence glissée.
17000022	Boost compétence d'assaut II	buff/17000022/buff_set	Augmente le coup final d'une compétence d'assaut.
17000023	Durée d'assaut ↑	buff/17000023/buff_set	Augmente la durée des effets de renforcement des compétences d'assaut.
17000024	Chances de CRT ↑	buff/17000024/buff_set	Augmente les chances d'attaque critique.
17000025	Boost de compétence	buff/17000025/buff_set	Augmente les dégâts de compétence normale/glissée. Non applicable aux attaques auto ou d'assaut.
17000026	Charge d'assaut ↑	buff/17000026/buff_set	Augmente la charge de la jauge de compétence d'assaut.
17000027	ESQ ↑	buff/17000027/buff_set	Augmente l'ESQ contre les compétences.
17000028	ESQ d'affaiblissement ↑	buff/17000028/buff_set	Augmente l'ESQ contre les effets d'affaiblissement.
17000029	Renvoi	buff/17000029/buff_set	Renvoie une certaine quantité de dégâts à l'adversaire (sauf compétences d'assaut et dégâts sur la durée).
17000030	DÉF de point faible ↑	buff/17000030/buff_set	Augmente la DÉF contre les attaques de point faible.
17000031	ATQ critique ↑	buff/17000031/buff_set	Augmente le coup final d'une attaque critique.
17000032	ATQ de point faible ↑	buff/17000032/buff_set	Augmente les dégâts des attaques de point faible.
17000033	Récupération ↑	buff/17000033/buff_set	Augmente l'effet des compétences de régénération.
17000034	Boost attaque auto	buff/17000034/buff_set	Renforce les attaques auto.
17000035	Boost compétence de base	buff/17000035/buff_set	Renforce les compétences de base.
17000036	Boost compétence glissée	buff/17000036/buff_set	Renforce les compétences glissées.
17000037	Rage	buff/17000037/buff_set	Stocke les dégâts subis sur la durée et les ajoute à la prochaine attaque de compétence.
17000038	Boost compétence d'assaut	buff/17000038/buff_set	Renforce les effets des compétences d'assaut.
17000039	DÉF attaque auto ↑	buff/17000039/buff_set	Augmente la DÉF contre les attaques auto.
17000040	DÉF compétence de base ↑	buff/17000040/buff_set	Augmente la DÉF contre les compétences de base.
17000041	DÉF compétence glissée ↑	buff/17000041/buff_set	Augmente la DÉF contre les compétences glissées.
17000042	DÉF critique ↑	buff/17000042/buff_set	Augmente la DÉF contre les attaques critiques.
17000043	Réduction durée d'affaiblissement	buff/17000043/buff_set	Réduit la durée des affaiblissements. La durée finale est calculée selon le temps restant lorsque l'affaiblissement est appliqué.
17000044	Provocation	buff/17000044/buff_set	Provoque l'ennemi et subit les attaques destinées aux alliés, sauf les attaques visant tous les alliés.
17000045	Transfusion de PV	buff/17000045/buff_set	Distribue un pourcentage de PV aux alliés.
17000048	Dégâts bonus	none	Inflige des dégâts bonus.
17000049	dégâts ignorant la DÉF	none	Inflige des dégâts tout en ignorant la DÉF.
17000050	Absorption de PV	buff/17000050/buff_set	Après une attaque, transforme un certain pourcentage des dégâts en soins.
