// key	OMNI_EVE_MONSTER_NAME_
1001	Abaddon
101	Red Drop
1011	Green Drop
102	Watcher
103	Gron
104	Revenge Girl
105	Basilisk
106	Boxer
107	Mech Commander
108	Kali Yuga
109	Mimic
1101	Blue Drop
1102	Watcher
1103	Gron
1104	Revenge Girl
1105	Basilisk
1106	Boxer
1107	Mech Commander
1108	Kali Yuga
1109	Mimic
1201	Blue Drop
1202	Watcher
1203	Gron
1204	Revenge Girl
1205	Basilisk
1206	Boxer
1207	Mech Commander
1208	Kali Yuga
1209	Mimic
1301	Blue Drop
1302	Watcher
1303	Gron
1304	Revenge Girl
1305	Basilisk
1306	Boxer
1307	Mech Commander
1308	Kali Yuga
1309	Mimic
1401	Blue Drop
1402	Watcher
1403	Gron
1404	Revenge Girl
1405	Basilisk
1406	Boxer
1407	Mech Commander
1408	Kali Yuga
1409	Mimic
1501	Halloween
1511	Gron
1601	Yellow Drop
1602	Watcher
1603	Gron
1604	Revenge Girl
1605	Basilisk
1606	Boxer
1607	Mech Commander
1608	Kali Yuga
1609	Mimic
1701	Yellow Drop
1702	Watcher
1703	Gron
1704	Revenge Girl
1705	Basilisk
1706	Boxer
1707	Mech Commander
1708	Kali Yuga
1709	Mimic
1801	Yellow Drop
1802	Watcher
1803	Gron
1804	Revenge Girl
1805	Basilisk
1806	Boxer
1807	Mech Commander
1808	Kali Yuga
1809	Mimic
1901	Yellow Drop
1902	Watcher
1903	Gron
1904	Revenge Girl
1905	Basilisk
1906	Boxer
1907	Mech Commander
1908	Kali Yuga
1909	Mimic
2001	Gomorrah
201	Red Drop
2011	Watcher
202	Watcher
203	Gron
204	Revenge Girl
205	Basilisk
206	Boxer
207	Mech Commander
208	Kali Yuga
209	Mimic
2101	Purple Drop
2102	Watcher
2103	Gron
2104	Revenge Girl
2105	Basilisk
2106	Boxer
2107	Mech Commander
2108	Kali Yuga
2109	Mimic
2201	Purple Drop
2202	Watcher
2203	Gron
2204	Revenge Girl
2205	Basilisk
2206	Boxer
2207	Mech Commander
2208	Kali Yuga
2209	Mimic
2301	Purple Drop
2302	Watcher
2303	Gron
2304	Revenge Girl
2305	Basilisk
2306	Boxer
2307	Mech Commander
2308	Kali Yuga
2309	Mimic
2401	Purple Drop
2402	Watcher
2403	Gron
2404	Revenge Girl
2405	Basilisk
2406	Boxer
2407	Mech Commander
2408	Kali Yuga
2409	Mimic
2501	Crocell
2511	Revenge Girl
2601	Eve
2602	Eve
2603	Eve
2604	Eve
301	Red Drop
302	Watcher
303	Gron
304	Revenge Girl
305	Basilisk
306	Boxer
307	Mech Commander
308	Kali Yuga
309	Mimic
401	Red Drop
402	Watcher
403	Gron
404	Revenge Girl
405	Basilisk
406	Boxer
407	Mech Commander
408	Kali Yuga
409	Mimic
501	Fire Dragon
601	Green Drop
602	Watcher
603	Gron
604	Revenge Girl
605	Basilisk
606	Boxer
607	Mech Commander
608	Kali Yuga
609	Mimic
701	Green Drop
702	Watcher
703	Gron
704	Revenge Girl
705	Basilisk
706	Boxer
707	Mech Commander
708	Kali Yuga
709	Mimic
801	Green Drop
802	Watcher
803	Gron
804	Revenge Girl
805	Basilisk
806	Boxer
807	Mech Commander
808	Kali Yuga
809	Mimic
901	Green Drop
902	Watcher
903	Gron
904	Revenge Girl
905	Basilisk
906	Boxer
907	Mech Commander
908	Kali Yuga
909	Mimic
