// key	CHARACTER_DESCRIPTION_
10100002	Secrétaire des démons, chef des succubes. Spécialiste de l'entraînement des cas désespérés.
10100003	Une succube compétente au potentiel de classe SS. Elle disparaît une fois le travail terminé.
10100004	"Davi, pour vous servir ! Je suivrai Mona jusqu'au bout du Royaume infernal !"
10100005	Une guerrière avide de justice et de vengeance. "Je détruirai le mal pour protéger les faibles."
10100007	Une guerrière qui a pris l'épée pour se défendre. "Je vaincrai mes ennemis."
10100008	Un mercenaire cupide qui se bat pour l'argent.
10100009	Une dominatrice créée par une infirmière désœuvrée.
10100010	"Suivant. Allongez-vous et détendez-vous. Je n'ai aucune formation, mais beaucoup d'assurance !"
10100011	Un Child serein créé par une fille brillante. "Ne bouge pas. Ce ne sera pas long."
10100012	Soyez la justice des étoiles et brillez de tous vos feux sur ce monde !
10100015	Une chienne qui gardait le fantôme de son défunt maître. Elle obéit aux Childs qui ont la même odeur que son maître.
10100016	"Entendez-vous la voix de mon amitié ?"
10100017	Elle tire sa force de sa rage ! Elle domine ses ennemis avec une colère insatiable.
10100018	La vie est une série de choix. Mais au final, notre sort à tous est décidé en un lancer de dés.
10100019	Un garçon manqué paresseux, passionné des jeux et soi-disant brillant.
10100021	Une fille franche et destructrice qui agit avec abandon. Elle préfère parler peu pour éviter les interactions sociales.
10100022	"Ce n'est pas un costume de superhéros. C'est un démon !"
10100023	"Je suis sublime, pas vrai ? Dites-moi que vous m'appartenez."
10100024	Ce Child est devenu la lune pour vaincre la nuit. "Si la nuit est faite de terreur, je l'éclairerai moi-même."
10100025	La P'tite détective apparue au milieu du chaotique concours du Roi des démons. "Au nom de ma grand-mère !"
10100026	"Miaou ! Euh, je veux dire : je veillerai toujours sur toi."
10100027	"Je serai la meilleure servante. C'est ma raison d'être. La cuisine, le ménage ! Je ferai tout... à la perfection !"
10100028	"On ne peut faire confiance qu'à soi-même."
10100029	Invoquée par erreur par un démon inférieur, ce Child croit être une grande sorcière d'un autre monde.
10100030	Une spécialiste de la négociation qui voyage entre le Royaume infernal et le Royaume des mortels. "Seule la confiance compte."
10100031	Une fille asociale à la force herculéenne. Elle rêve de devenir la plus grande collectionneuse au monde.
10100032	Je veux qu'on n'aime que moi !\Child qui se dévoue corps et âme à tout ce qu'elle aime.
10100033	"Je n'ai pas besoin de l'amour d'un homme. Je suis très bien toute seule."
10100034	"Remettons ce monde défiguré dans le droit chemin avec des lois strictes !"
10100035	"Tu n'es plus un enfant. Tu peux compter sur moi."
10100036	"Voici un court poème : tel un nuage flottant, un vagabond ne peut résister aux vents violents."
10100037	"Vise le haut des classements musicaux ! Les leçons ne cessent jamais pour ceux qui inspirent et exaucent des vœux."
10100039	"Je veux briller de mille feux, tel un brasier qu'on ne pourrait éteindre."
10100040	Une fille incontrôlable et très négative.
10100041	Une femme de foi maudite qui erre à la recherche de Dieu.
10100043	"Freyr, démon d'élite du Royaume infernal !\Le titre de Roi des démons est à moi !"
10100044	Un prêtre superficiel qui passe son temps à parler de choses frivoles au lieu de travailler.
10100045	"Je peux lire dans vos pensées. Vous ne pouvez rien me cacher."
10100046	La Légende de la nuit, l'ombre qui protège son maître. Son véritable nom est Ninja, mais c'est un secret.
10100048	"Disparaissez, démons ! Je réduirai les ennemis de Dieu en poussière !"
10100049	Une mystérieuse maîtresse des Ténèbres qui se fond dans l'obscurité.
10100050	"Tu ne désires que sang et violence. Ton appétit pour la destruction est insatiable."
10100052	"Les pensées des hommes sont malveillantes. Tu penses être différent ? Et si je te mettais à l'épreuve ?"
10100053	"J'ai écrit une nouvelle chanson ! Écoutez-la !\Un jour, au milieu de l'océan, j'ai vu une sirène ♪"
10100054	Une fleur de désir solitaire fleurit dans le Royaume infernal.
10100055	"Si cette lettre... vous parvient... un jour..."
10100056	N'oublie pas mon nom...\C'est celui de la personne qui régnera sur toi.
10100057	"Tu aimes mon fabuleux parfum de rose ? Oh, on dirait que tu m'adores déjà."
10100058	"Quelle sera ma dernière demeure ? Est-ce que quelqu'un voudra m'y rejoindre ?"
10100059	"Dis, tu veux goûter ma cuisine ? J'ai remplacé le sel par le sucre, c'est délicieux."
10100060	"Écrous, clous et clé anglaise ! C'est tout ce dont on a besoin dans ce monde !"
10100063	Ce guerrier muet vous protègera toujours.
10100064	Je n'ai rien...\Navi, le Child vide qui a perdu toute volonté de vivre.
10100065	"À l'attaque ! Je vous encouragerai toujours !"
10100069	"Je pressentais que nous nous rencontrerions comme ça. Ou alors je me faisais des idées."
10100070	Ce Child est une délinquante juvénile qui est apparue avec un lance-missiles dans les mains.
10100072	Cette fille innocente et joyeuse cuisine et mange n'importe quoi, mais elle a des goûts discutables.
10100075	Une soldate loyale.\Les désirs de son maître sont les siens.
10100079	"Je garderai le cap. Je brûlerai la peur et les autres obstacles sur mon chemin !"
10100080	Ce Child est équipé d'une guitare électrique. "Rock'n'roll, bébé !"
