// key	SCENARIO_DUNGEON_NAME_	SCENARIO_DUNGEON_SECOND_NAME_	SCENARIO_DUNGEON_LOCATION_DESC_
1000		The Awakening of Chang'e	A lonely young girl's new wish awakens a new power!
100001	Stage 1	Working Girl	
100002	Stage 2	Family Portrait	
100003	Stage 3	A New Self	
1002	Crossover	Advent of a Diva!	Send peace with Channel Evil!
100201	Stage 1	Advent of a Diva!	
100202	Stage 2	MIKU Contest!	
100203	Stage 3	Always Singing	
1003	Crossover	Venus Vacation	A festival of goddesses held on\the Venus Islands, a tropical paradise
100301	Stage 1	Island of Goddesses	
100302	Stage 2	Ultimate Extreme	
100303	Stage 3	The Goddesses' Respite	
100304	Stage 4	Hard Battle	
100305	Stage 5	Xtreme Battle	
1005	TV Anime	KEMONO FRIENDS 2	A story with new Friends is starting right now!
100501	Stage 1	Davi Runs Away	
100502	Stage 2	Unknown Childs	
100503	Stage 3	An Unexpected Intruder	
100504	Stage 4	Game of Hunt I	
100505	Stage 5	Game of Hunt II	
1007	World Boss Trials	Tamamo's Tale	The truth hidden in the tale of the nine-tailed fox.
100701	Stage 1	Frenzied Fox	
100702	Stage 2	Fox in Love	
100703	Stage 3	New Creation	
100704	Stage 4	Hidden Truth	
1017		The Sytry	So Sick, So Sick So Sick. So Sick!
101701	Stage 1	In Regard to the Sicktry I Unboxed	
101702	Stage 2	The Sicktry	
101703	Stage 3	Victory Child: So Sicktry	
101704	Stage 4	Sicktry's Lie in April	
2000		Abyss	Lasciate ogni speranza, voi ch'entrate.
200001	Stage 1	Limbo	
200002	Stage 2	Avaritia	
200003	Stage 3	Styx	
200004	Stage 4	Malebolgia	
200005	Stage 5	Cocytus	
