// key	SPECIAL_DUNGEON_NAME_	SPECIAL_DUNGEON_SECOND_NAME_	SPECIAL_DUNGEON_LOCATION_DESC_
1000		クリスマスの悪夢	聖なる前夜祭、クリスマスの光の影に悪魔が潜んでいる。
100001	1エリア	クリスマスイブ	
100002	2エリア	クランプスI	
100003	3エリア	ホーリーナイト	
100004	4エリア	ルドルフ	
100005	5エリア	ホーリーナイト	
100006	6エリア	サンタクロース	
100007	7エリア	ホーリーナイト	
100008	8エリア	クランプスⅡ	
1100		オベリスクの降臨	熱砂を越え現世に現れし挑戦の塔。
110001	ステージ1	ファラオの墓Ⅰ	
110002	ステージ2	バスト	
110003	ステージ3	ファラオの墓Ⅱ	
110004	ステージ4	ホルス	
110005	ステージ5	ファラオの墓Ⅲ	
110006	ステージ6	クレオパトラ	
110007	ステージ7	ファラオの墓Ⅳ	
110008	ステージ8	ファラオの再臨	
1200		禁忌の花	絡み合う思い、その先にあるものは…
120001	ステージ1	極楽の蓮華台Ⅰ	
120002	ステージ2	柳道士	
120003	ステージ3	極楽の蓮華台Ⅱ	
120004	ステージ4	自請妃Ⅰ	
120005	ステージ5	極楽の蓮華台Ⅲ	
120006	ステージ6	バリ	
120007	ステージ7	極楽の蓮華台Ⅳ	
120008	ステージ8	自請妃Ⅱ	
1300		屍の王国	救いなき世界の憐憫なる魂よ。\深き闇の谷へ導かん。
130001	ステージ1	聖堂の夜Ⅰ	
130002	ステージ2	悪魔祓い	
130003	ステージ3	聖堂の夜Ⅱ	
130004	ステージ4	奪還作戦	
130005	ステージ5	聖堂の夜Ⅲ	
130006	ステージ6	狂信者の傲慢	
130007	ステージ7	聖堂の夜Ⅳ	
130008	ステージ8	蘇生と覚醒	
1400		サマースキャンダル	熱い魔王争奪戦に疲れたら…\地上の楽園、リビ島へ行こう！
140001	ステージ1	リビ島Ⅰ	
140002	ステージ2	魅惑のリゾート	
140003	ステージ3	リビ島Ⅱ	
140004	ステージ4	ビーチバレー	
140005	ステージ5	リビ島Ⅲ	
140006	ステージ6	巨大ゴリラの謎	
140007	ステージ7	リビ島Ⅳ	
140008	ステージ8	ひと夏のバケーション	
1500		Café de Petit	いらっしゃいませ～お客様♥\Café de Petitへようこそ！
150001	ステージ1	招待状Ⅰ	
150002	ステージ2	可愛いお客様	
150003	ステージ3	招待状Ⅱ	
150004	ステージ4	メイドガンスリンガー	
150005	ステージ5	招待状Ⅲ	
150006	ステージ6	Yes, My lord…	
150007	ステージ7	招待状Ⅳ	
150008	ステージ8	私の愛する人	
1600		DEVILIVE！！	一緒に行こう！輝く夢のコンサートへ…
160001	ステージ1	夢のコンサート	
160002	ステージ2	プラネットパーティー	
160003	ステージ3	夢のコンサート	
160004	ステージ4	いつまで研修生？	
160005	ステージ5	夢のコンサート	
160006	ステージ6	アイドルのプライド	
160007	ステージ7	夢のコンサート	
160008	ステージ8	アンコール！	
1900		Girl on Fire	もう一度、夢を見るために、炎の中から甦れ！
190001	ステージ1	Walking on Fire	
