// key	CHARACTER_DUNGEON_NAME_	CHARACTER_DUNGEON_SECOND_NAME_	CHARACTER_DUNGEON_LOCATION_DESC_
1000	Crossover	SNOW MIKU	Memories of Meeting SNOW MIKU in Pure-White Snow
100001	Stage 1	Disaster I	
100002	Stage 2	Silver World I	
100003	Stage 3	Disaster II	
100004	Stage 4	Encounter I	
100005	Stage 5	Encounter II	
100006	Stage 6	A Promise Between Two I	
100007	Stage 7	Silver World II	
100008	Stage 8	A Promise Between Two II	
1010	Crossover	SNOW MIKU	Memories of Meeting SNOW MIKU in Pure-White Snow
101001	Stage 1	Disaster I (Hard)	
101002	Stage 2	Silver World I (Hard)	
101003	Stage 3	Disaster II (Hard)	
101004	Stage 4	Encounter I (Hard)	
101005	Stage 5	Encounter II (Hard)	
101006	Stage 6	A Promise Between Two I (Hard)	
101007	Stage 7	Silver World II (Hard)	
101008	Stage 8	A Promise Between Two II (Hard)	
1100	Narrative	Holy War	The heavens sunder,\and down comes the god of darkness
110001	Stage 1	A Prayer for the Dying I	
110002	Stage 2	A Prayer for the Dying II	
110003	Stage 3	Broken Soul I	
110004	Stage 4	Tempter	
110005	Stage 5	The Fall	
110006	Stage 6	Broken Soul II	
110007	Stage 7	Crusade	
110008	Stage 8	Incarnation	
1110	Narrative	Holy War	The heavens sunder,\and down comes the god of darkness
111001	Stage 1	A Prayer for the Dying I (Hard)	
111002	Stage 2	A Prayer for the Dying II (Hard)	
111003	Stage 3	Broken Soul I (Hard)	
111004	Stage 4	Tempter (Hard)	
111005	Stage 5	The Fall (Hard)	
111006	Stage 6	Broken Soul II (Hard)	
111007	Stage 7	Crusade (Hard)	
111008	Stage 8	Incarnation (Hard)	
1200	<Narrative>	A New Archfiend	Here the 3rd Archfiend descends...
120001	Stage 1	Doomsday!	
120002	Stage 2	Doomsday!!!	
120003	Stage 3	Doomsday?!	
120004	Stage 4	DOOMSDAY!	
1210	<Narrative>	A New Archfiend	Here the 3rd Archfiend descends...
121001	Stage 1	Doomsday! (Hard)	
121002	Stage 2	Doomsday!!! (Hard)	
121003	Stage 3	Doomsday?! (Hard)	
121004	Stage 4	DOOMSDAY! (Hard)	
1300	Narrative	Cold Flower	The darkness of the girl who admires demons.
130001	Stage 1	Stalker	
130002	Stage 2	Pursuer	
130003	Stage 3	Cold Flower I	
130004	Stage 4	Hide-and-Seek	
130005	Stage 5	Cold Flower II	
130006	Stage 6	Liar Game	
130007	Stage 7	Cold Flower III	
130008	Stage 8	Silent Madness	
1310	Narrative	Cold Flower	The darkness of the girl who admires demons.
131001	Stage 1	Stalker (Hard)	
131002	Stage 2	Pursuer (Hard)	
131003	Stage 3	Cold Flower I (Hard)	
131004	Stage 4	Hide-and-Seek (Hard)	
131005	Stage 5	Cold Flower II (Hard)	
131006	Stage 6	Liar Game (Hard)	
131007	Stage 7	Cold Flower III (Hard)	
131008	Stage 8	Silent Madness (Hard)	
1400	<Narrative>	Justice Upheld	We all have feelings we hold dear.
140001	Stage 1	A Light in the Dark	
140002	Stage 2	Quandary	
140003	Stage 3	Justice UpheldⅠ	
140004	Stage 4	Putting the Past to Rest	
140005	Stage 5	Justice UpheldⅡ	
140006	Stage 6	Old Memories	
140007	Stage 7	Justice UpheldⅢ	
140008	Stage 8	The Right Path	
1410	<Narrative>	Justice Upheld	We all have feelings we hold dear.
141001	Stage 1	Hard - A Light in the Dark	
141002	Stage 2	Hard - Quagmire	
141003	Stage 3	Hard - Justice UpheldⅠ	
141004	Stage 4	Hard - Putting the Past to Rest	
141005	Stage 5	Hard - Justice UpheldⅡ	
141006	Stage 6	Hard - Ancient Memories	
141007	Stage 7	Hard - Justice UpheldⅢ	
141008	Stage 8	Hard - The Right Path	
