// key	CHARACTER_DUNGEON_NAME_	CHARACTER_DUNGEON_SECOND_NAME_	CHARACTER_DUNGEON_LOCATION_DESC_
1000	跨界合作	SNOW MIKU	在純白的雪中和SNOW MIKU相遇的回憶
100001	第1關	遇難I	
100002	第2關	銀世界I	
100003	第3關	遇難II	
100004	第4關	相遇I	
100005	第5關	相遇II	
100006	第6關	兩人的約定I	
100007	第7關	銀世界II	
100008	第8關	兩人的約定II	
1010	跨界合作	SNOW MIKU	在純白的雪中和SNOW MIKU相遇的回憶
101001	第1關	遇難I(困難)	
101002	第2關	銀世界I(困難)	
101003	第3關	遇難II(困難)	
101004	第4關	相遇I(困難)	
101005	第5關	相遇II(困難)	
101006	第6關	兩人的約定I(困難)	
101007	第7關	銀世界II(困難)	
101008	第8關	兩人的約定II(困難)	
1100	故事	聖戰	黑暗之神撕裂天空，降臨於世
110001	第1關	為臨終者祈禱I	
110002	第2關	為臨終者祈禱II	
110003	第3關	破碎的靈魂I	
110004	第4關	誘惑者	
110005	第5關	墮落	
110006	第6關	破碎的靈魂II	
110007	第7關	聖戰	
110008	第8關	化身	
1110	故事	聖戰	黑暗之神撕裂天空，降臨於世
111001	第1關	為臨終者祈禱I(困難)	
111002	第2關	為臨終者祈禱II(困難)	
111003	第3關	破碎的靈魂I(困難)	
111004	第4關	誘惑者(困難)	
111005	第5關	墮落(困難)	
111006	第6關	破碎的靈魂II(困難)	
111007	第7關	聖戰(困難)	
111008	第8關	化身(困難)	
1200	<故事>	新魔王登場	第三代魔王降臨！其真面目為…
120001	第1關	世界末日！	
120002	第2關	世界末日！！！	
120003	第3關	世界末日？！	
120004	第4關	世．界．末．日！	
1210	<故事>	新魔王登場	第三代魔王降臨！其真面目為…
121001	第1關	世界末日！(困難)	
121002	第2關	世界末日！！！(困難)	
121003	第3關	世界末日？！(困難)	
121004	第4關	世．界．末．日！(困難)	
1300	故事	寒冰之花	憧憬著惡魔之少女的黑暗。
130001	第1關	跟蹤狂	
130002	第2關	追捕者	
130003	第3關	寒冰之花I	
130004	第4關	捉迷藏	
130005	第5關	寒冰之花II	
130006	第6關	詐欺遊戲	
130007	第7關	寒冰之花III	
130008	第8關	靜下來的狂氣	
1310	故事	寒冰之花	憧憬著惡魔之少女的黑暗。
131001	第1關	跟蹤狂(困難)	
131002	第2關	追捕者(困難)	
131003	第3關	寒冰之花I(困難)	
131004	第4關	捉迷藏(困難)	
131005	第5關	寒冰之花II(困難)	
131006	第6關	詐欺遊戲(困難)	
131007	第7關	寒冰之花III(困難)	
131008	第8關	靜下來的狂氣(困難)	
1400	<故事>	必須守護的正義	我們都有無法割捨的情感。
140001	第1關	黑暗中的光芒	
140002	第2關	泥沼	
140003	第3關	必須守護的正義Ⅰ	
140004	第4關	了結過去	
140005	第5關	必須守護的正義Ⅱ	
140006	第6關	古老的記憶	
140007	第7關	必須守護的正義Ⅲ	
140008	第8關	正確的道路	
1410	<故事>	必須守護的正義	我們都有無法割捨的情感。
141001	第1關	困難-黑暗中的光芒	
141002	第2關	困難-泥沼	
141003	第3關	困難-必須守護的正義Ⅰ	
141004	第4關	困難-了結過去	
141005	第5關	困難-必須守護的正義Ⅱ	
141006	第6關	困難-古老的記憶	
141007	第7關	困難-必須守護的正義Ⅲ	
141008	第8關	困難-正確的道路	
1500	故事	重建	全新邁達斯的誕生秘話
150001	第1關	逃避	
150002	第2關	罪行	
150003	第3關	重建Ⅰ	
150004	第4關	爆炸性登場	
150005	第5關	重建Ⅱ	
150006	第6關	四天王	
150007	第7關	重建Ⅲ	
150008	第8關	兄弟	
1510	故事	重建	全新邁達斯的誕生秘話
151001	第1關	困難—逃避	
151002	第2關	困難—罪行	
151003	第3關	困難—重建Ⅰ	
151004	第4關	困難—爆炸性登場	
151005	第5關	困難—重建Ⅰ	
151006	第6關	困難—四天王	
151007	第7關	困難—重建Ⅲ	
151008	第8關	困難—兄弟	
1600	<故事>	致命性L♥VE	薔薇色的美夢
160001	第1關	致命性L♥VE I	
160002	第2關	心搏停止	
160003	第3關	致命性L♥VE II	
160004	第4關	出血性休克I	
160005	第5關	致命性L♥VE III	
160006	第6關	出血性休克II	
160007	第7關	致命性L♥VE IV	
160008	第8關	瀕死體驗	
1610	<故事>	致命性L♥VE	薔薇色的美夢
161001	第1關	困難-致命性L♥VE I	
161002	第2關	困難-心搏停止	
161003	第3關	困難-致命性L♥VE II	
161004	第4關	困難-出血性休克I	
161005	第5關	困難-致命性L♥VE III	
161006	第6關	困難-出血性休克II	
161007	第7關	困難-致命性L♥VE IV	
161008	第8關	困難-瀕死體驗	
1700	故事	光明與黑暗	少女與她對立面的後日談
170001	第1關	在那裡	
170002	第2關	光與暗 I	
170003	第3關	交疊	
170004	第4關	雅典娜	
170005	第5關	記憶	
170006	第6關	帕拉斯	
170007	第7關	光與暗 II	
170008	第8關	在一起	
1710	故事	光明與黑暗	少女與她對立面的後日談
171001	第1關	在那裡(困難)	
171002	第2關	光與暗 I(困難)	
171003	第3關	交疊(困難)	
171004	第4關	雅典娜(困難)	
171005	第5關	記憶(困難)	
171006	第6關	帕拉斯(困難)	
171007	第7關	光與暗 II(困難)	
171008	第8關	在一起(困難)	
1900	故事	永恆的誓言	與巴托里相遇的命運少女
190001	第1關	永恆的誓言Ⅰ	
190002	第2關	相遇	
190003	第3關	永恆的誓言Ⅱ	
190004	第4關	未完的故事	
190005	第5關	永恆的誓言Ⅲ	
190006	第6關	伙伴	
190007	第7關	永恆的誓言 Ⅳ	
190008	第8關	玻璃念珠	
1910	故事	永恆的誓言	與巴托里相遇的命運少女
191001	第1關	困難-永恆的誓言Ⅰ	
191002	第2關	困難-相遇	
191003	第3關	困難-永恆的誓言 Ⅱ	
191004	第4關	困難-繼續下去的故事	
191005	第5關	困難-永恆的誓言Ⅲ	
191006	第6關	困難-伙伴	
191007	第7關	困難-永恆的誓言 Ⅳ	
191008	第8關	困難-玻璃念珠	
2000	<故事>	雙重鉅作	一山不容二虎！\屏氣凝神欣賞兩大女神間的對決吧！
200001	第1關	雙重鉅作Ⅰ	空欄
200002	第2關	新聞快報	空欄
200003	第3關	雙重鉅作Ⅱ	空欄
200004	第4關	死麥	空欄
200005	第5關	雙重鉅作Ⅲ	空欄
200006	第6關	鉅作秀	空欄
200007	第7關	雙重鉅作Ⅳ	空欄
200008	第8關	黃金時段	空欄
2010	<故事>	雙重鉅作	一山不容二虎！\屏氣凝神欣賞兩大女神間的對決吧！
201001	第1關	雙重鉅作Ⅰ(困難)	空欄
201002	第2關	新聞快報(困難)	空欄
201003	第3關	雙重鉅作Ⅱ(困難)	空欄
201004	第4關	死麥(困難)	空欄
201005	第5關	雙重鉅作Ⅲ(困難)	空欄
201006	第6關	鉅作秀(困難)	空欄
201007	第7關	雙重鉅作Ⅳ(困難)	空欄
201008	第8關	黃金時段(困難)	空欄
2100	故事	My Dear	苦甜情人節事件？！
210001	第1關	My Dear	
210002	第2關	你喜歡哪一種巧克力？	
210003	第3關	My Dear	
210004	第4關	特別的禮物	
210005	第5關	My Dear	
210006	第6關	巧克力蛋糕失竊事件	
210007	第7關	My Dear	
210008	第8關	用愛製作	
2110	故事	My Dear	苦甜情人節事件？！
211001	第1關	My Dear (困難)	
211002	第2關	你喜歡哪一種巧克力？(困難)	
211003	第3關	My Dear (困難)	
211004	第4關	特別的禮物(困難)	
211005	第5關	My Dear (困難)	
211006	第6關	巧克力蛋糕失竊事件(困難)	
211007	第7關	My Dear (困難)	
211008	第8關	用愛製作(困難)	
2200	故事	The Revelation	誕生自混沌與虛無黑暗深淵中的微光。
220001	第1關	神啟I	
220002	第2關	偵探與惡魔教徒	
220003	第3關	神啟II	
220004	第4關	契約與回憶	
220005	第5關	神啟III	
220006	第6關	祈禱的輕煙	
220007	第7關	神啟IV	
220008	第8關	神的啟示	
2210	故事	The Revelation	誕生自混沌與虛無黑暗深淵中的微光。
221001	第1關	神啟I(困難)	
221002	第2關	偵探與惡魔教徒(困難)	
221003	第3關	神啟II(困難)	
221004	第4關	契約與回憶(困難)	
221005	第5關	神啟III(困難)	
221006	第6關	祈禱的輕煙(困難)	
221007	第7關	神啟IV(困難)	
221008	第8關	神的啟示(困難)	
2400	故事	重生迷宮歷史	惡魔式煉金術研究所的未知過去
240001	第1關	邪惡平板	無
240002	第2關	關於美的一切	無
240003	第3關	邪惡平板	無
240004	第4關	準則	無
240005	第5關	邪惡平板	無
240006	第6關	美學	無
240007	第7關	邪惡平板	無
240008	第8關	重生迷宮	無
2410	故事	重生迷宮歷史	惡魔式煉金術研究所的未知過去
241001	第1關	邪惡平板(困難)	無
241002	第2關	關於美的一切(困難)	無
241003	第3關	邪惡平板(困難)	無
241004	第4關	準則(困難)	無
241005	第5關	邪惡平板(困難)	無
241006	第6關	美學(困難)	無
241007	第7關	邪惡平板(困難)	無
241008	第8關	重生迷宮(困難)	無
2500	故事	消失的甜甜圈	誰偷了甜甜圈？！
250001	第1關	尋找甜甜圈1	
250002	第2關	犯人就在附近	
250003	第3關	尋找甜甜圈2	
250004	第4關	草莓糖霜	
250005	第5關	尋找甜甜圈3	
250006	第6關	溫泉派對	
250007	第7關	尋找甜甜圈4	
250008	第8關	究極的三選一	
2510	故事	消失的甜甜圈	誰偷了甜甜圈？！
251001	第1關	尋找甜甜圈1(困難)	
251002	第2關	犯人就在附近(困難)	
251003	第3關	尋找甜甜圈2(困難)	
251004	第4關	草莓糖霜(困難)	
251005	第5關	尋找甜甜圈3(困難)	
251006	第6關	溫泉派對(困難)	
251007	第7關	尋找甜甜圈4(困難)	
251008	第8關	究極的三選一(困難)	
2600	故事	BBCF 跨界合作	一個和「蒼」之傳說有些許不同的故事
260001	第1關	因果律1	
260002	第2關	尋找某人	
260003	第3關	因果律2	
260004	第4關	驚喜(？)相遇	
260005	第5關	因果律3	
260006	第6關	大魔術師	
260007	第7關	因果律4	
260008	第8關	個別的意志	
2610	故事	BBCF 跨界合作	一個和「蒼」之傳說有些許不同的故事
261001	第1關	困難：因果律1	
261002	第2關	困難：尋找某人	
261003	第3關	困難：因果律2	
261004	第4關	困難：驚喜(？)相遇	
261005	第5關	困難：因果律3	
261006	第6關	困難：大魔術師	
261007	第7關	困難：因果律4	
261008	第8關	困難：個別的意志	
2700	故事	仲夏之怪	用讓你心裡發寒的體驗，驅走夏日的炎熱吧！
270001	第1關	試膽1	
270002	第2關	夜晚散步	
270003	第3關	試膽2	
270004	第4關	夜半訪客	
270005	第5關	試膽3	
270006	第6關	課後怪談	
270007	第7關	試膽4	
270008	第8關	仲夏之怪	
2710	故事	仲夏之怪	用讓你心裡發寒的體驗，驅走夏日的炎熱吧！
271001	第1關	試膽1(困難)	
271002	第2關	夜晚散步(困難)	
271003	第3關	試膽2(困難)	
271004	第4關	夜半訪客(困難)	
271005	第5關	試膽3(困難)	
271006	第6關	課後怪談(困難)	
271007	第7關	試膽4(困難)	
271008	第8關	仲夏之怪(困難)	
2800	故事	No Paradise	2人的逃亡就此展開
280001	第1關	逃亡 1	
280002	第2關	我的太陽	
280003	第3關	逃亡 2	
280004	第4關	太陽永不沉	
280005	第5關	逃亡 3	
280006	第6關	黑暗	
280007	第7關	逃亡 4	
280008	第8關	迷宮之中	
2810	故事	No Paradise	2人的逃亡劇揭幕了。
281001	第1關	逃亡 1(困難)	
281002	第2關	我的太陽(困難)	
281003	第3關	逃亡 2(困難)	
281004	第4關	太陽永不沉(困難)	
281005	第5關	逃亡 3(困難)	
281006	第6關	黑暗(困難)	
281007	第7關	逃亡 4(困難)	
281008	第8關	迷宮之中(困難)	
2900	<故事>	秘密萬聖節	每個人都有不想被揭露的秘密。\我…也有這樣的秘密。
290001	第1關	萊瑪的秘密	空欄
290002	第2關	秘密揭曉	空欄
290003	第3關	萊瑪的秘密	空欄
290004	第4關	偷走相機	空欄
290005	第5關	萊瑪的秘密	空欄
290006	第6關	追逐泰風	空欄
290007	第7關	萊瑪的秘密	空欄
290008	第8關	我很抱歉！	空欄
2910	<故事>	秘密萬聖節	每個人都有不想被揭露的秘密。\我…也有這樣的秘密。
291001	第1關	困難 - 萊瑪的秘密	空欄
291002	第2關	困難 - 秘密揭曉	空欄
291003	第3關	困難 - 萊瑪的秘密	空欄
291004	第4關	困難 - 偷走相機	空欄
291005	第5關	困難 - 萊瑪的秘密	空欄
291006	第6關	困難 - 追逐泰風	空欄
291007	第7關	困難 - 萊瑪的秘密	空欄
291008	第8關	困難 - 我很抱歉！	空欄
3000	<故事>	第二次機會	沒有第二次機會！我不會再猶豫了！
300001	第1關	再一次機會	
300002	第2關	預料外的機會	
300003	第3關	再一次機會	
300004	第4關	我們上吧！	
300005	第5關	再一次機會	
300006	第6關	機會	
300007	第7關	再一次機會	
300008	第8關	沒有第二次機會	
3010	<故事>	第二次機會	沒有第二次機會！我不會再猶豫了！
301001	第1關	再一次機會(困難)	
301002	第2關	預料外的機會(困難)	
301003	第3關	再一次機會(困難)	
301004	第4關	我們上吧！(困難)	
301005	第5關	再一次機會(困難)	
301006	第6關	機會(困難)	
301007	第7關	再一次機會(困難)	
301008	第8關	沒有第二次機會(困難)	
3100	故事	你需要的只有愛	他們終於到達滑雪度假村後，卻發生了一場騷動？
310001	第1關	滑雪I	
310002	第2關	前往滑雪度假村	
310003	第3關	滑雪II	
310004	第4關	契約的機會	
310005	第5關	滑雪III	
310006	第6關	雪引起的誤解	
310007	第7關	滑雪IV	
310008	第8關	聖誕夜的煙火	
3110	故事	你需要的只有愛	他們終於到達滑雪度假村後，卻發生了一場騷動？
311001	第1關	滑雪I(困難)	
311002	第2關	前往滑雪度假村(困難)	
311003	第3關	滑雪II(困難)	
311004	第4關	契約的機會(困難)	
311005	第5關	滑雪III(困難)	
311006	第6關	雪引起的誤解(困難)	
311007	第7關	滑雪IV(困難)	
311008	第8關	聖誕夜的煙火(困難)	
3200	故事	聖誕老人要進城了	天上的榮耀與地球的和平。
320001	第1關	聖誕老人的降臨	
320002	第2關	聖誕盒	
320003	第3關	聖誕老人的降臨	
320004	第4關	榮耀與和平	
320005	第5關	聖誕老人的降臨	
320006	第6關	我最討厭煩人的臭小孩了！	
320007	第7關	聖誕老人的降臨	
320008	第8關	乖孩子的願望？	
3210	故事	聖誕老人要進城了	
321001	第1關	困難：聖誕老人的降臨	
321002	第2關	困難：聖誕盒	
321003	第3關	困難：聖誕老人的降臨	
321004	第4關	困難：聖誕老人的降臨	
321005	第5關	困難：聖誕老人的降臨	
321006	第6關	困難：煩人的臭小孩！	
321007	第7關	困難：聖誕老人的降臨	
321008	第8關	困難：乖孩子的願望？	
3300	故事	既視感	由可愛的帕赫特親手作的巧克力喔！
330001	第1關	既視感Ⅰ	
330002	第2關	反覆之晨	
330003	第3關	既視感Ⅱ	
330004	第4關	特別巧克力	
330005	第5關	既視感Ⅲ	
330006	第6關	與帕赫特相伴	
330007	第7關	既視感Ⅳ	
330008	第8關	夢之終點	
3310	故事	既視感	由可愛的帕赫特親手作的巧克力喔！
331001	第1關	既視感Ⅰ(困難)	
331002	第2關	反覆之晨(困難)	
331003	第3關	既視感Ⅱ(困難)	
331004	第4關	特別巧克力(困難)	
331005	第5關	既視感Ⅲ(困難)	
331006	第6關	與帕赫特相伴(困難)	
331007	第7關	既視感Ⅳ(困難)	
331008	第8關	夢之終點(困難)	
3400	故事	為愛盲目	主人送的糖果？我也想要！
340001	第1關	白色情人節I	
340002	第2關	特大號糖果	
340003	第3關	白色情人節II	
340004	第4關	我想幫忙	
340005	第5關	美夢行動	
340006	第6關	要來點巧克力嗎？	
340007	第7關	情敵	
340008	第8關	本命糖果	
3410	故事	為愛盲目	主人送的糖果？我也想要！
341001	第1關	白色情人節I(困難)	
341002	第2關	特大號糖果(困難)	
341003	第3關	白色情人節II(困難)	
341004	第4關	我想幫忙(困難)	
341005	第5關	美夢行動(困難)	
341006	第6關	要來點巧克力嗎？(困難)	
341007	第7關	情敵(困難)	
341008	第8關	本命糖果(困難)	
3500	<故事>	魅影 vs 驅魔師	夜幕降臨時，我會來偷走你的心。
350001	第1關	前往紐約	
350002	第2關	策劃	
350003	第3關	黛波拉與約娜	
350004	第4關	行動日	
350005	第5關	十足的災難	
350006	第6關	恐慌	
350007	第7關	戰勝	
350008	第8關	站住，不許動！	
3510	<故事>	魅影 vs 驅魔師	夜幕降臨時，我會來偷走你的心。
351001	第1關	前往紐約(困難)	
351002	第2關	策劃(困難)	
351003	第3關	黛波拉與約娜(困難)	
351004	第4關	行動日(困難)	
351005	第5關	十足的災難(困難)	
351006	第6關	恐慌(困難)	
351007	第7關	戰勝(困難)	
351008	第8關	站住，不許動！(困難)	
3600	<故事>	女生要有野心！	名聲、榮光，甚至是你，\都是我的！
360001	第1關	嫉妒之始	
360002	第2關	支援我	
360003	第3關	別插手！	
360004	第4關	我很可疑？	
360005	第5關	少女的理想 I	
360006	第6關	誘餌與狐	
360007	第7關	少女的理想 II	
360008	第8關	你逃不掉的！	
