// key	HECATE_BOOK_TITLE_SHELF_	HECATE_BOOK_TITLE_	HECATE_BOOK_TITLE_SUB_	HECATE_BOOK_DESC_
100001	Chapter.1-1\悪魔地上主義	1-1 悪魔地上主義	Destiny Child Chapter.1	悪魔を見た事ありますか？案外近くにいるんですよ。\そう、あなたが知ってるあの人も…
100002	Chapter.1-2\犬と猫の時間	1-2 犬と猫の時間	Destiny Child Chapter.1	都会がアスファルトの砂漠だと？\否、弱肉強食のコンクリートジャングルさ！
100003	Chapter.1-3\夢見る乙女たち	1-3 夢見る乙女たち	Destiny Child Chapter.1	SNSもやらないし、ニュースも見ない。なのに！\平和な日常がヤツらのせいで崩れていく…
100004	Chapter.1-4\憎み切れない\悪魔たち…	1-4 憎み切れない悪魔たち…	Destiny Child Chapter.1	良い悪魔と悪い悪魔、区別する事なんてできない！\だがしかし…憎い悪魔は存在する！
100005	Chapter.1-5\《続報》\候補生狩り！	1-5 《続報》候補生狩り！	Destiny Child Chapter.1	候補生たちの熾烈な戦い！\脱落者が続出中！十分注意されたし！！
100006	Chapter.1-6\少女たちの庭園	1-6 少女たちの庭園	Destiny Child Chapter.1	ここは繊細な少女たちの世界。\禁断のエリアに足を踏み入れた男の運命は！？
100007	Chapter.1-7\デビルアラーム！\悪魔と彷徨う少女	1-7 デビルアラーム悪魔と彷徨う少女	Destiny Child Chapter.1	深夜0時、デビルアラームが3回鳴ると…\悪魔を狙う殺し屋がやってくる。
100008	Chapter.1-8\魔王の後継者	1-8 魔王の後継者	Destiny Child Chapter.1	魔王の後継者\ルーファスが降臨する…
100009	Chapter.2-1\少女の花園	2-1 少女の花園	Destiny Child Chapter.2	祈りましょう。聖なる鐘が鳴る場所で。
100010	Chapter.2-2\ささやく闇と\花園の影	2-2 ささやく闇と花園の影	Destiny Child Chapter.2	少女の花園を黒い影が覆う…
100011	Chapter.2-3\偽りの創造主	2-3 偽りの創造主	Destiny Child Chapter.2	偽りの創造主は、自らの過ちにより没落した。
100012	Chapter.2-4\平行線上の\2人の少女	2-4 平行線上の2人の少女	Destiny Child Chapter.2	永久に続く旅の始まり。
100013	幕間1章\ VANISHING TWIN	幕間1章 VANISHING TWIN	Destiny Child Chapter.2	今、新たな《ダビ》が誕生する…！
100014	幕間2章 EVILS UNDER\THE SUN	幕間2章 EVILS UNDER\THE SUN	Destiny Child Chapter.2	ルインの元を訪れた謎の少女の正体とは…！
