// key	ITEM_OPTION_NAME_	ITEM_OPTION_MAX_VALUE_TYPE_
11000011	增加{value}敏捷度到暴擊	追加最大值限制
11000012	增加{value}敏捷度到暴擊	追加最大值限制
11000013	增加{value}敏捷度到暴擊	追加最大值限制
11000014	增加{value}敏捷度到暴擊	追加最大值限制
11000015	增加{value}敏捷度到暴擊	追加最大值限制
11000016	增加{value}敏捷度到暴擊	追加最大值限制
11000021	增加{value}防禦力到暴擊	追加最大值限制
11000022	增加{value}防禦力到暴擊	追加最大值限制
11000023	增加{value}防禦力到暴擊	追加最大值限制
11000024	增加{value}防禦力到暴擊	追加最大值限制
11000025	增加{value}防禦力到暴擊	追加最大值限制
11000026	增加{value}防禦力到暴擊	追加最大值限制
11000031	增加{value}敏捷度到HP	追加最大值限制
11000032	增加{value}敏捷度到HP	追加最大值限制
11000033	增加{value}敏捷度到HP	追加最大值限制
11000034	增加{value}敏捷度到HP	追加最大值限制
11000035	增加{value}敏捷度到HP	追加最大值限制
11000036	增加{value}敏捷度到HP	追加最大值限制
11000041	增加{value}敏捷度到攻擊力	追加最大值限制
11000042	增加{value}敏捷度到攻擊力	追加最大值限制
11000043	增加{value}敏捷度到攻擊力	追加最大值限制
11000044	增加{value}敏捷度到攻擊力	追加最大值限制
11000045	增加{value}敏捷度到攻擊力	追加最大值限制
11000046	增加{value}敏捷度到攻擊力	追加最大值限制
11000051	增加{value}暴擊到HP	追加最大值限制
11000052	增加{value}暴擊到HP	追加最大值限制
11000053	增加{value}暴擊到HP	追加最大值限制
11000054	增加{value}暴擊到HP	追加最大值限制
11000055	增加{value}暴擊到HP	追加最大值限制
11000056	增加{value}暴擊到HP	追加最大值限制
11000061	增加{value}攻擊力到暴擊	追加最大值限制
11000062	增加{value}攻擊力到暴擊	追加最大值限制
11000063	增加{value}攻擊力到暴擊	追加最大值限制
11000064	增加{value}攻擊力到暴擊	追加最大值限制
11000065	增加{value}攻擊力到暴擊	追加最大值限制
11000066	增加{value}攻擊力到暴擊	追加最大值限制
11000071	增加{value}防禦力到攻擊力	追加最大值限制
11000072	增加{value}防禦力到攻擊力	追加最大值限制
11000073	增加{value}防禦力到攻擊力	追加最大值限制
11000074	增加{value}防禦力到攻擊力	追加最大值限制
11000075	增加{value}防禦力到攻擊力	追加最大值限制
11000076	增加{value}防禦力到攻擊力	追加最大值限制
11000081	增加{value}防禦力到HP	追加最大值限制
11000082	增加{value}防禦力到HP	追加最大值限制
11000083	增加{value}防禦力到HP	追加最大值限制
11000084	增加{value}防禦力到HP	追加最大值限制
11000085	增加{value}防禦力到HP	追加最大值限制
11000086	增加{value}防禦力到HP	追加最大值限制
11000091	增加{value}HP到暴擊	追加最大值限制
11000092	增加{value}HP到暴擊	追加最大值限制
11000093	增加{value}HP到暴擊	追加最大值限制
11000094	增加{value}HP到暴擊	追加最大值限制
11000095	增加{value}HP到暴擊	追加最大值限制
11000096	增加{value}HP到暴擊	追加最大值限制
11000101	增加{value}暴擊到攻擊力	追加最大值限制
11000102	增加{value}暴擊到攻擊力	追加最大值限制
11000103	增加{value}暴擊到攻擊力	追加最大值限制
11000104	增加{value}暴擊到攻擊力	追加最大值限制
11000105	增加{value}暴擊到攻擊力	追加最大值限制
11000106	增加{value}暴擊到攻擊力	追加最大值限制
11000111	增加{value}攻擊力到HP	追加最大值限制
11000112	增加{value}攻擊力到HP	追加最大值限制
11000113	增加{value}攻擊力到HP	追加最大值限制
11000114	增加{value}攻擊力到HP	追加最大值限制
11000115	增加{value}攻擊力到HP	追加最大值限制
11000116	增加{value}攻擊力到HP	追加最大值限制
11000121	增加{value}HP到攻擊力	追加最大值限制
11000122	增加{value}HP到攻擊力	追加最大值限制
11000123	增加{value}HP到攻擊力	追加最大值限制
11000124	增加{value}HP到攻擊力	追加最大值限制
11000125	增加{value}HP到攻擊力	追加最大值限制
11000126	增加{value}HP到攻擊力	追加最大值限制
11000131	增加暴擊{value}	無
11000132	增加暴擊{value}	無
11000133	增加暴擊{value}	無
11000134	增加暴擊{value}	無
11000135	增加暴擊{value}	無
11000136	增加暴擊{value}	無
11000141	增加HP{value}	無
11000142	增加HP{value}	無
11000143	增加HP{value}	無
11000144	增加HP{value}	無
11000145	增加HP{value}	無
11000146	增加HP{value}	無
