// key	PAID_ATTENDANCE_PRODUCT_NAME_	PAID_ATTENDANCE_PRODUCT_DESC_
10001	Connexion Premium I	Jusqu'à 36 Childs 5★ !
10002	Connexion Premium II	Jusqu'à 20 cartes normales/prismatiques 5★\et 12 tickets de carte d'âme 5★ !
10003	Pack de connexion (fabrication)	700 pierres taillées de chaque : arme, armure et accessoire, \et 11 pièces d'équipement 5★ !
10004	Connexion Premium III	Jusqu'à 46 Childs 5★ !
10005	Connexion Premium IV	Jusqu'à 28 cartes normales/prismatiques 5★ \et 4 tickets de carte 5★ !
10006	Connexion pour l'anniversaire des 2 ans	C'est l'anniversaire des 2 ans ! Connectez-vous tous les jours pour obtenir des tonnes d'objets incroyables !
10007	Connexion Premium Ⅴ	Jusqu'à 51 Childs 5★ !
10008	Connexion Premium Ⅵ	Obtenez jusqu'à 42 cartes prismatiques et cartes normales 5★ !
10009	Assiduité d'assistance de noyau d'Ignition	Connectez-vous tous les jours pour obtenir diverses récompenses.
10010	Pack de remerciement d'assiduité premium (3 ans)	Connectez-vous tous les jours pour obtenir diverses récompenses.
10011	Pack d'assiduité premium (3 ans)	Connectez-vous tous les jours pour obtenir diverses récompenses.
10012	Connexion Premium VII	Jusqu'à 30 Childs 5★ !
10013	Connexion Premium VIII	Obtenez jusqu'à 30 cartes prismatiques et cartes normales 5★ !
10014	Assiduité au festival d'été	Connectez-vous tous les jours pour obtenir diverses récompenses.
10015	Pack d'assiduité premium (4 ans)	Connectez-vous tous les jours pour obtenir diverses récompenses.
10016	Pack de remerciement d'assiduité premium (4 ans)	Connectez-vous tous les jours pour obtenir diverses récompenses.
10017	Assistance - Récompenses Premium d'assiduité	Connectez-vous tous les jours pour obtenir diverses récompenses.
10018	Connexion Premium IX	Jusqu'à 30 Childs 5★ !
10019	Connexion Premium X	Obtenez jusqu'à 30 cartes prismatiques et cartes normales 5★ !
