// key	RECIPE_CONDITION_MATERIAL_NAME_	RECIPE_CONDITION_MATERIAL_DESC_
1050001	Child 5★	Un Child 5★ d'origine. Le Child sélectionné compte comme 1 unité, quel que soit son niveau de croissance.
2101011	Marionnette - Ordinaire	Marionnette - Ordinaire. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de
2101022	Marionnette - Unique	Marionnette - Unique. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de
2101033	Marionnette - Rare	Marionnette - Rare. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de
2101044	Marionnette - Épique	Marionnette - Épique. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de
2101055	Marionnette - Légendaire	Marionnette - Légendaire. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de
2155001	arme de rang A 5★	Des armes de rang A 5★. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de croissance.
2255001	armure de rang A 5★	Des armures de rang A 5★. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de croissance.
2355001	accessoire de rang A 5★	Des accessoires de rang A 5★. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de croissance.
2830001	3★ Carte d'âme	Des cartes d'âme 3★. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de croissance.
2840001	4★ Carte d'âme	Des cartes d'âme 4★. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de croissance.
2850001	5★ Carte d'âme	Des cartes d'âme 5★. L'objet sélectionné compte comme 1 unité, quel que soit son niveau de croissance.
3050001	5★ Costume	Des costumes de Child 5★.
