// key	SPECIAL_DUNGEON_NAME_	SPECIAL_DUNGEON_SECOND_NAME_	SPECIAL_DUNGEON_LOCATION_DESC_
1000		The Nightmare on Christmas	On this holy eve, a devil lurks in the shadows of the Christmas cheer.
100001	Area 1	Christmas Eve	
100002	Area 2	Krampus I	
100003	Area 3	Holy Night	
100004	Area 4	Rudolph	
100005	Area 5	Holy Night	
100006	Area 6	Santa Claus	
100007	Area 7	Holy Night	
100008	Area 8	Krampus II	
1100		Obelisk's Descent	A tower of trials has now risen up from the hot desert sands.
110001	Stage 1	Pharaoh's Tomb I	
110002	Stage 2	Bast	
110003	Stage 3	Pharaoh's Tomb II	
110004	Stage 4	Horus	
110005	Stage 5	Pharaoh's Tomb III	
110006	Stage 6	Cleopatra	
110007	Stage 7	Pharaoh's Tomb IV	
110008	Stage 8	Advent of Pharaoh	
1200		The Forbidden Flower	What lies beyond these intertwined emotions?
120001	Stage 1	A Lotus Bed in Paradise I	
120002	Stage 2	Willow Doryeong	
120003	Stage 3	A Lotus Bed in Paradise II	
120004	Stage 4	Jacheongbi I	
120005	Stage 5	A Lotus Bed in Paradise III	
120006	Stage 6	Bari	
120007	Stage 7	A Lotus Bed in Paradise IV	
120008	Stage 8	Jacheongbi II	
1300		The Macabre Empire	Ye pitiful souls of a world beyond redemption.\Your path leads only deeper into the valley of darkness.
130001	Stage 1	Sanctified NightⅠ	
130002	Stage 2	Devil’s Exorcism	
130003	Stage 3	Sanctified NightⅡ	
130004	Stage 4	Rescue Operation	
130005	Stage 5	Sanctified NightⅢ	
130006	Stage 6	Zealot's Pride	
130007	Stage 7	Sanctified NightⅣ	
130008	Stage 8	Resurrection & Awakening	
1400		Summer Scandal	Tired of the Archfiend Contest?\Head on out to Passion Island! Heaven on earth!
140001	Stage 1	Passion Island	
140002	Stage 2	Ravishing Resort	
140003	Stage 3	Passion Island	
140004	Stage 4	Beach Volleyball	
140005	Stage 5	Passion Island	
140006	Stage 6	Mystery of the Giant Ape	
140007	Stage 7	Passion Island	
140008	Stage 8	Summer Vacation	
1500		Café de Petit	Welcome to Café de Petit ♥
150001	Stage 1	The Invitation I	
150002	Stage 2	Adorable Guest	
150003	Stage 3	The Invitation II	
150004	Stage 4	Gunslinger Maid	
150005	Stage 5	The Invitation III	
150006	Stage 6	Yes, My Lord...	
150007	Stage 7	The Invitation IV	
150008	Stage 8	The One I Love	
1600		DEVILIVE!!	Let's go together to the dazzling concert of dreams!
160001	Stage 1	Concert of Dreams	
160002	Stage 2	Planet Party	
160003	Stage 3	Concert of Dreams	
160004	Stage 4	Trainees For How Long?	
160005	Stage 5	Concert of Dreams	
160006	Stage 6	A Pop Star's Pride	
160007	Stage 7	Concert of Dreams	
160008	Stage 8	Encore!	
1900		Girl on Fire	Be reborn in the fire to dream once again!
190001	Stage 1	Walking on Fire	
190002	Stage 2	-Disaster-	
190003	Stage 3	Walking on Fire	
190004	Stage 4	-Clue-	
190005	Stage 5	Walking on Fire	
190006	Stage 6	-Rage-	
190007	Stage 7	Walking on Fire	
190008	Stage 8	-Hope-	
2000		Secret Bride	My bride, leave your fate in my hands!
200001	Stage 1	Secret Bride	
200002	Stage 2	Wedding March of Fate	
200003	Stage 3	Letter From the Isle of Brides	
200004	Stage 4	Here Comes the Bride?!	
200005	Stage 5	Secret Bride	
200006	Stage 6	Enter the Groom!	
200007	Stage 7	Secret Bride	
200008	Stage 8	My Sun, My Bride	
2100		Vanishing Twin	Now, a new Davi is born!
210001	Stage 1	The Two Davis I	
210002	Stage 2	Creeping Shadow	
210003	Stage 3	The Two Davis II	
210004	Stage 4	Another Davi	
210005	Stage 5	The Two Davis III	
210006	Stage 6	Sleeping Cradle	
210007	Stage 7	Cocoon of Return	
210008	Stage 8	Awakened Davi	
2200		EVILS UNDER THE SUN	The mysterious girl who came to see Luin is...!
220001	Stage 1	Luin's Intensive Training I	
220002	Stage 2	Dojo Challenge	
220003	Stage 3	Luin's Intensive Training II	
220004	Stage 4	Demonic Deadeye	
220005	Stage 5	Luin's Intensive Training III	
220006	Stage 6	Davi's MIA	
220007	Stage 7	Luin's Intensive Training IV	
220008	Stage 8	On My Pride	
2300		Kyrie Eleison	Someone save me from this flesh trapped in death.
230001	Stage 1	Lord, Have Mercy I	
230002	Stage 2	Wandering Sheep	
230003	Stage 3	Lord, Have Mercy II	
230004	Stage 4	Rebellious One	
230005	Stage 5	Lord, Have Mercy III	
230006	Stage 6	Peace be With You	
230007	Stage 7	Lord, Have Mercy IV	
230008	Stage 8	Thou Shalt Not Kill	
2400		Summer Shooters	The spirit and will of legendary hydro shooters.
240001	Stage 1	River Outlaw	
240002	Stage 2	The Outlaw's Challenge	
240003	Stage 3	River Outlaw	
240004	Stage 4	The Water is One with the Water Gun	
240005	Stage 5	River Outlaw	
240006	Stage 6	Hydro Shooting	
240007	Stage 7	River Outlaw	
240008	Stage 8	Hydro Reload	
2500		Catherine: Full Body	K's Parallel World
250001	Stage 1	Interlude	
250002	Stage 2	Episode 1	
250003	Stage 3	Interlude	
250004	Stage 4	Episode 2	
250005	Stage 5	Interlude	
250006	Stage 6	Episode 3	
250007	Stage 7	Interlude	
250008	Stage 8	Episode 4	
2600		Les Miserables	He hath set me in dark places, as they that be dead of old.\Lamentations 3:6
260001	Stage 1	Worldly Desires	
260002	Stage 2	Taboo	
260003	Stage 3	Dead Bodies	
260004	Stage 4	Angels from Hell	
260005	Stage 5	The Mark of the Sinner	
260006	Stage 6	Dolls	
260007	Stage 7	The Second Death	
260008	Stage 8	The One Who Retaliates	
2700		Childhood's End	Now, the dreamy season is gone,\replaced by cold, windy days.
270001	Stage 1	Kill	
270002	Stage 2	Scar	
270003	Stage 3	Blind Brat	
270004	Stage 4	The King's Advent	
270005	Stage 5	Netherworld Wind	
270006	Stage 6	Reunion	
270007	Stage 7	Purgatory	
270008	Stage 8	End of Childhood	
2800		Endless Valentine	What is this feeling? Why is my heart pounding?
280001	Stage 1	Wanting to Know Love	
280002	Stage 2	For Love, A Love Potion	
280003	Stage 3	Sytry's Little Sister?	
280004	Stage 4	True Love's Kiss	
280005	Stage 5	Shady Chocolate Ending	
280006	Stage 6	Ultimate Decision Ending	
280007	Stage 7	Dead End Walkthrough	
280008	Stage 8	The Right Resolution	
2900		Salvation	He will save you from malicious intent.\Have faith in him without a doubt.
290001	Stage 1	Narrow Gate	
290002	Stage 2	Netherworld	
290003	Stage 3	Our Lady	
290004	Stage 4	The Breath of Life	
290005	Stage 5	Netherworld	
290006	Stage 6	Sheep's Clothing	
290007	Stage 7	Doubtful Disciple	
290008	Stage 8	Removing Lampstand	
3000		Romeo & Juliet	On the stage where they passed each other by, will the curtain rise to a new love?
300001	Stage 1	Courage & Love	
300002	Stage 2	True Act & True Feelings	
