// key	SUMMON_SCROLL_NAME_	SUMMON_SCROLL_DESCRIPTION_
1001	3-5★Child召唤券	在高级召唤池中召唤一名<size=1.1><color=ffc400>3★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>
1002	1-3★Child召唤券	在金币召唤池中召唤一名<size=1.1><color=ffc400>1★</color></size>至<size=1.1><color=ffc400>3★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>
1003	4-5★Child召唤券	在高级召唤池中召唤一名<size=1.1><color=ffc400>4★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1004	2-4★Child召唤券	在金币召唤池中召唤一名<size=1.1><color=ffc400>2★</color></size>至<size=1.1><color=ffc400>4★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1005	1-5★Child召唤券	在金币召唤池中召唤一名<size=1.1><color=ffc400>1★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1006	1-2★Child召唤券	在金币召唤池中召唤一名<size=1.1><color=ffc400>1★</color></size>至<size=1.1><color=ffc400>2★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1007	2-3★Child召唤券	在金币召唤池中召唤一名<size=1.1><color=ffc400>2★</color></size>至<size=1.1><color=ffc400>3★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1008	3-4★Child召唤券	在高级召唤池中召唤一名<size=1.1><color=ffc400>3★</color></size>至<size=1.1><color=ffc400>4★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1101	3★Child召唤券	在高级召唤池中召唤一名<size=1.1><color=ffc400>3★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1102	4★Child召唤券	在高级召唤池中召唤一名<size=1.1><color=ffc400>4★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1103	5★Child召唤券	在高级召唤池中召唤一名<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1201	3-5★强化Child召唤券	召唤一名强化用Child
1202	1-5★强化Child召唤券	召唤一名强化用Child
1203	1-3★强化Child召唤券	召唤一名强化用Child
1204	3★强化Child召唤券	召唤一名强化用Child
1205	4★强化Child召唤券	召唤一名强化用Child
1206	5★强化Child召唤券	召唤一名强化用Child
1400	限量5★水属性召唤券	在高级召唤池中召唤一名\<size=1.1><color=2287d8>水属性</color> <color=ffc400>5★Child</color></size>。
1401	5★Child召唤券	可让你获得奥尔加、绪林克斯、夏娃或朱庇特的5★Child召唤券。
1402	限量5★暗属性召唤券	
1403	5★Child召唤券(活动)	此5★Child召唤券将召唤米里娜、黛娜、玛亚特或潘提翁其中之一。
1404	5★Child召唤券	可召唤哈迪斯、黛娜、弗雷、梅芙或墨提斯的5★Child召唤券
1405	5★水属性Child召唤券	可让你获得5★水属性Child的5★水属性Child召唤券（包含暗黑克星丽莎）。
