// key	SUMMON_SCROLL_NAME_	SUMMON_SCROLL_DESCRIPTION_
1001	★3～5_召喚チケット	プレミアム召喚対象から<size=1.1><color=ffc400>★3</color></size>から<size=1.1><color=ffc400>★5</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1002	★1～3_召喚チケット	ゴールド召喚対象から<size=1.1><color=ffc400>★1</color></size>から<size=1.1><color=ffc400>★3</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1003	★4～5_召喚チケット	プレミアム召喚対象から<size=1.1><color=ffc400>★4</color></size>から<size=1.1><color=ffc400>★5</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1004	★2～4_召喚チケット	ゴールド召喚対象から<size=1.1><color=ffc400>★2</color></size>から<size=1.1><color=ffc400>★4</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1005	★1～5_召喚チケット	ゴールド召喚対象から<size=1.1><color=ffc400>★1</color></size>から<size=1.1><color=ffc400>★5</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1006	★1～2_召喚チケット	ゴールド召喚対象から<size=1.1><color=ffc400>★1</color></size>から<size=1.1><color=ffc400>★2</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1007	★2～3_召喚チケット	ゴールド召喚対象から<size=1.1><color=ffc400>★2</color></size>から<size=1.1><color=ffc400>★3</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1008	★3～4_召喚チケット	プレミアム召喚対象から<size=1.1><color=ffc400>★3</color></size>から<size=1.1><color=ffc400>★4</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1101	★3確定_召喚チケット	プレミアム召喚対象から<size=1.1><color=ffc400>★3</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1102	★4確定_召喚チケット	プレミアム召喚対象から<size=1.1><color=ffc400>★4</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
1103	★5確定_召喚チケット	プレミアム召喚対象から<size=1.1><color=ffc400>★5</color></size>の\<size=1.1><color=ffff33><b>チャイルド</b></color></size>を召喚します。
