// key	DAILY_DUNGEON_NAME_	DAILY_DUNGEON_SECOND_NAME_	DAILY_DUNGEON_LOCATION_DESC_
1002		Fury	
100201	Newbie	Light Evolution Dungeon	
100202	Easy	Light Evolution Dungeon	
100203	Int.	Light Evolution Dungeon	
100204	Adv.	Light Evolution Dungeon	
100205	Expert	Light Evolution Dungeon	
1003		Silent	
100301	Newbie	Fire Evolution Dungeon	
100302	Easy	Fire Evolution Dungeon	
100303	Int.	Fire Evolution Dungeon	
100304	Adv.	Fire Evolution Dungeon	
100305	Expert	Fire Evolution Dungeon	
1004		Peaceful	
100401	Newbie	Water Evolution Dungeon	
100402	Easy	Water Evolution Dungeon	
100403	Int.	Water Evolution Dungeon	
100404	Adv.	Water Evolution Dungeon	
100405	Expert	Water Evolution Dungeon	
1005		Harmonious	
100501	Newbie	Wood Evolution Dungeon	
100502	Easy	Wood Evolution Dungeon	
100503	Int.	Wood Evolution Dungeon	
100504	Adv.	Wood Evolution Dungeon	
100505	Expert	Wood Evolution Dungeon	
1006		Burning	
100601	Newbie	Dark Evolution Dungeon	
100602	Easy	Dark Evolution Dungeon	
100603	Int.	Dark Evolution Dungeon	
100604	Adv.	Dark Evolution Dungeon	
100605	Expert	Dark Evolution Dungeon	
