// key	ITEM_OPTION_NAME_	ITEM_OPTION_MAX_VALUE_TYPE_
11000011	Add {value} of AGL to CRT	Max addition capped
11000012	Add {value} of AGL to CRT	Max addition capped
11000013	Add {value} of AGL to CRT	Max addition capped
11000014	Add {value} of AGL to CRT	Max addition capped
11000015	Add {value} of AGL to CRT	Max addition capped
11000016	Add {value} of AGL to CRT	Max addition capped
11000021	Add {value} of DEF to CRT	Max addition capped
11000022	Add {value} of DEF to CRT	Max addition capped
11000023	Add {value} of DEF to CRT	Max addition capped
11000024	Add {value} of DEF to CRT	Max addition capped
11000025	Add {value} of DEF to CRT	Max addition capped
11000026	Add {value} of DEF to CRT	Max addition capped
11000031	Add {value} of AGL to HP	Max addition capped
11000032	Add {value} of AGL to HP	Max addition capped
11000033	Add {value} of AGL to HP	Max addition capped
11000034	Add {value} of AGL to HP	Max addition capped
11000035	Add {value} of AGL to HP	Max addition capped
11000036	Add {value} of AGL to HP	Max addition capped
11000041	Add {value} of AGL to ATK	Max addition capped
11000042	Add {value} of AGL to ATK	Max addition capped
11000043	Add {value} of AGL to ATK	Max addition capped
11000044	Add {value} of AGL to ATK	Max addition capped
11000045	Add {value} of AGL to ATK	Max addition capped
11000046	Add {value} of AGL to ATK	Max addition capped
11000051	Add {value} of CRT to HP	Max addition capped
11000052	Add {value} of CRT to HP	Max addition capped
11000053	Add {value} of CRT to HP	Max addition capped
11000054	Add {value} of CRT to HP	Max addition capped
11000055	Add {value} of CRT to HP	Max addition capped
11000056	Add {value} of CRT to HP	Max addition capped
11000061	Add {value} of ATK to CRT	Max addition capped
11000062	Add {value} of ATK to CRT	Max addition capped
11000063	Add {value} of ATK to CRT	Max addition capped
11000064	Add {value} of ATK to CRT	Max addition capped
11000065	Add {value} of ATK to CRT	Max addition capped
11000066	Add {value} of ATK to CRT	Max addition capped
11000071	Add {value} of DEF to ATK	Max addition capped
11000072	Add {value} of DEF to ATK	Max addition capped
11000073	Add {value} of DEF to ATK	Max addition capped
11000074	Add {value} of DEF to ATK	Max addition capped
11000075	Add {value} of DEF to ATK	Max addition capped
11000076	Add {value} of DEF to ATK	Max addition capped
11000081	Add {value} of DEF to HP	Max addition capped
11000082	Add {value} of DEF to HP	Max addition capped
11000083	Add {value} of DEF to HP	Max addition capped
11000084	Add {value} of DEF to HP	Max addition capped
11000085	Add {value} of DEF to HP	Max addition capped
11000086	Add {value} of DEF to HP	Max addition capped
11000091	Add {value} of HP to CRT	Max addition capped
11000092	Add {value} of HP to CRT	Max addition capped
11000093	Add {value} of HP to CRT	Max addition capped
11000094	Add {value} of HP to CRT	Max addition capped
11000095	Add {value} of HP to CRT	Max addition capped
11000096	Add {value} of HP to CRT	Max addition capped
11000101	Add {value} of CRT to ATK	Max addition capped
11000102	Add {value} of CRT to ATK	Max addition capped
11000103	Add {value} of CRT to ATK	Max addition capped
11000104	Add {value} of CRT to ATK	Max addition capped
11000105	Add {value} of CRT to ATK	Max addition capped
11000106	Add {value} of CRT to ATK	Max addition capped
11000111	Add {value} of ATK to HP	Max addition capped
11000112	Add {value} of ATK to HP	Max addition capped
11000113	Add {value} of ATK to HP	Max addition capped
11000114	Add {value} of ATK to HP	Max addition capped
11000115	Add {value} of ATK to HP	Max addition capped
11000116	Add {value} of ATK to HP	Max addition capped
11000121	Add {value} of HP to ATK	Max addition capped
11000122	Add {value} of HP to ATK	Max addition capped
11000123	Add {value} of HP to ATK	Max addition capped
11000124	Add {value} of HP to ATK	Max addition capped
11000125	Add {value} of HP to ATK	Max addition capped
11000126	Add {value} of HP to ATK	Max addition capped
11000131	Increase CRT by {value}	none
11000132	Increase CRT by {value}	none
11000133	Increase CRT by {value}	none
11000134	Increase CRT by {value}	none
11000135	Increase CRT by {value}	none
11000136	Increase CRT by {value}	none
11000141	Increase HP by {value}	none
11000142	Increase HP by {value}	none
11000143	Increase HP by {value}	none
11000144	Increase HP by {value}	none
11000145	Increase HP by {value}	none
11000146	Increase HP by {value}	none
11000151	Increase ATK by {value}	none
11000152	Increase ATK by {value}	none
11000153	Increase ATK by {value}	none
11000154	Increase ATK by {value}	none
11000155	Increase ATK by {value}	none
11000156	Increase ATK by {value}	none
11000161	Increase all stats by {value}	none
11000162	Increase all stats by {value}	none
11000163	Increase all stats by {value}	none
11000164	Increase all stats by {value}	none
11000165	Increase all stats by {value}	none
11000166	Increase all stats by {value}	none
11900006	Add {value} of HP to ATK	Max addition capped
12000011	When attacking with Tap Skills, add {value} of CRT to Damage	Max addition capped
12000012	When attacking with Tap Skills, add {value} of CRT to Damage	Max addition capped
12000013	When attacking with Tap Skills, add {value} of CRT to Damage	Max addition capped
12000014	When attacking with Tap Skills, add {value} of CRT to Damage	Max addition capped
12000015	When attacking with Tap Skills, add {value} of CRT to Damage	Max addition capped
12000016	When attacking with Tap Skills, add {value} of CRT to Damage	Max addition capped
12000021	When attacking with Slide Skills, add {value} of CRT to Damage	Max addition capped
12000022	When attacking with Slide Skills, add {value} of CRT to Damage	Max addition capped
12000023	When attacking with Slide Skills, add {value} of CRT to Damage	Max addition capped
12000024	When attacking with Slide Skills, add {value} of CRT to Damage	Max addition capped
12000025	When attacking with Slide Skills, add {value} of CRT to Damage	Max addition capped
12000026	When attacking with Slide Skills, add {value} of CRT to Damage	Max addition capped
12000031	When attacking with Drive Skills, add {value} of CRT to Damage	Max addition capped
12000032	When attacking with Drive Skills, add {value} of CRT to Damage	Max addition capped
12000033	When attacking with Drive Skills, add {value} of CRT to Damage	Max addition capped
12000034	When attacking with Drive Skills, add {value} of CRT to Damage	Max addition capped
12000035	When attacking with Drive Skills, add {value} of CRT to Damage	Max addition capped
12000036	When attacking with Drive Skills, add {value} of CRT to Damage	Max addition capped
12000041	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000042	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000043	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000044	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000045	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000046	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000051	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000052	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000053	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000054	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000055	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000056	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000061	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000062	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000063	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000064	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000065	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000066	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000071	When attacking with Tap Skills, add {value} of AGL to Damage	Max addition capped
12000072	When attacking with Tap Skills, add {value} of AGL to Damage	Max addition capped
12000073	When attacking with Tap Skills, add {value} of AGL to Damage	Max addition capped
12000074	When attacking with Tap Skills, add {value} of AGL to Damage	Max addition capped
12000075	When attacking with Tap Skills, add {value} of AGL to Damage	Max addition capped
12000076	When attacking with Tap Skills, add {value} of AGL to Damage	Max addition capped
12000081	When attacking with Slide Skills, add {value} of AGL to Damage	Max addition capped
12000082	When attacking with Slide Skills, add {value} of AGL to Damage	Max addition capped
12000083	When attacking with Slide Skills, add {value} of AGL to Damage	Max addition capped
12000084	When attacking with Slide Skills, add {value} of AGL to Damage	Max addition capped
12000085	When attacking with Slide Skills, add {value} of AGL to Damage	Max addition capped
12000086	When attacking with Slide Skills, add {value} of AGL to Damage	Max addition capped
12000091	When attacking with Drive Skills, add {value} of AGL to Damage	Max addition capped
12000092	When attacking with Drive Skills, add {value} of AGL to Damage	Max addition capped
12000093	When attacking with Drive Skills, add {value} of AGL to Damage	Max addition capped
12000094	When attacking with Drive Skills, add {value} of AGL to Damage	Max addition capped
12000095	When attacking with Drive Skills, add {value} of AGL to Damage	Max addition capped
12000096	When attacking with Drive Skills, add {value} of AGL to Damage	Max addition capped
12000101	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000102	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000103	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000104	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000105	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000106	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000111	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000112	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000113	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000114	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000115	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000116	When attacking with Slide Skills, add {value} Damage	Max addition capped
12000121	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000122	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000123	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000124	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000125	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000126	When attacking with Drive Skills, add {value} Damage	Max addition capped
12000131	When attacking with Tap Skills, add {value} of DEF to Damage	Max addition capped
12000132	When attacking with Tap Skills, add {value} of DEF to Damage	Max addition capped
12000133	When attacking with Tap Skills, add {value} of DEF to Damage	Max addition capped
12000134	When attacking with Tap Skills, add {value} of DEF to Damage	Max addition capped
12000135	When attacking with Tap Skills, add {value} of DEF to Damage	Max addition capped
12000136	When attacking with Tap Skills, add {value} of DEF to Damage	Max addition capped
12000141	When attacking with Slide Skills, add {value} of DEF to Damage	Max addition capped
12000142	When attacking with Slide Skills, add {value} of DEF to Damage	Max addition capped
12000143	When attacking with Slide Skills, add {value} of DEF to Damage	Max addition capped
12000144	When attacking with Slide Skills, add {value} of DEF to Damage	Max addition capped
12000145	When attacking with Slide Skills, add {value} of DEF to Damage	Max addition capped
12000146	When attacking with Slide Skills, add {value} of DEF to Damage	Max addition capped
12000151	When attacking with Drive Skills, add {value} of DEF to Damage	Max addition capped
12000152	When attacking with Drive Skills, add {value} of DEF to Damage	Max addition capped
12000153	When attacking with Drive Skills, add {value} of DEF to Damage	Max addition capped
12000154	When attacking with Drive Skills, add {value} of DEF to Damage	Max addition capped
12000155	When attacking with Drive Skills, add {value} of DEF to Damage	Max addition capped
12000156	When attacking with Drive Skills, add {value} of DEF to Damage	Max addition capped
12000161	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000162	When attacking with Tap Skills, add {value} Damage	Max addition capped
12000163	When attacking with Tap Skills, add {value} Damage	Max addition capped
