// key	LUCKY_BOX_	LUCKY_BOX_DESC_
1000	Pack de Maât libre	Cette boîte contient diverses récompenses.
1001	Boîte de Devil Pass (Maât libre)	Cette boîte contient diverses récompenses.
1002	Pack de Maât errante	Cette boîte contient diverses récompenses.
1003	Boîte de Devil Pass (Brownie)	Cette boîte contient diverses récompenses.
1004	Pack de Brownie	Cette boîte contient diverses récompenses.
1005	Pack de Hadès	Cette boîte contient diverses récompenses.
1006	Pack Lisa antiténèbres	Cette boîte contient diverses récompenses.
1007	Pack Iâh	Cette boîte contient diverses récompenses.
1008	<size=0.8>Boîte porte-bonheur de</size> PickUp de Calypso	Cette boîte contient diverses récompenses.
1009	<size=0.8>Boîte porte-bonheur de</size>Pick Up d'Ève	Cette boîte contient diverses récompenses.
1010	<size=0.8>Boîte porte-bonheur de</size> Calypso	Cette boîte contient diverses récompenses.
20000	Boîtes porte-bonheur de Serval	Cette boîte contient diverses récompenses.
20001	Boîtes porte-bonheur de Fennec	Cette boîte contient diverses récompenses.
20002	Boîte porte-bonheur de Raton Laveur	Cette boîte contient diverses récompenses.
20003	Boîte porte-bonheur FRIENDS	Cette boîte contient diverses récompenses.
20004	<size=0.8>Boîte porte-bonheur de Louve-Garou</size>	Cette boîte contient diverses récompenses.
20005	<size=0.8>Boîte porte-bonheur de Freyr</size>	Cette boîte contient diverses récompenses.
20006	Boîte porte-bonheur d'onyx	Cette boîte contient diverses récompenses.
20007	<size=0.8>Boîte porte-bonheur de Carte d'âme</size>	Cette boîte contient diverses récompenses.
20008	<size=0.8>Boîte porte-bonheur de Carte d'âme</size>	Cette boîte contient diverses récompenses.
20009	<size=0.8>Boîte porte-bonheur de Child d'évol.</size>	Cette boîte contient diverses récompenses.
20010	<size=0.8>Boîte porte-bonheur d'Équipement</size>	Cette boîte contient diverses récompenses.
20011	<size=0.8>Boîtes porte-bonheur de Kasumi</size>	Cette boîte contient diverses récompenses.
20012	<size=0.8>Boîtes porte-bonheur de Marie Rose</size>	Cette boîte contient diverses récompenses.
20013	<size=0.8>Boîtes porte-bonheur de Honoka</size>	Cette boîte contient diverses récompenses.
20014	Boîtes porte-bonheur de DOA	Cette boîte contient diverses récompenses.
20015	Boîtes porte-bonheur d'or	Cette boîte contient diverses récompenses.
20016	<size=0.8>Boîtes porte-bonheur d'Astarté</size>	Cette boîte contient diverses récompenses.
20017	<size=0.8>Boîtes porte-bonheur de Luine</size>	Cette boîte contient diverses récompenses.
20018	<size=0.8>Boîtes porte-bonheur de Durandal</size>	Cette boîte contient diverses récompenses.
20019	<size=0.8>Boîtes porte-bonheur de Syrinx</size>	Cette boîte contient diverses récompenses.
20020	<size=0.7>Boîtes porte-bonheur de gemmes de sang</size>	Cette boîte contient diverses récompenses.
20021	Boîtes à bonheur de Jacheongbi	Cette boîte contient diverses récompenses.
20022	Boîte à bonheur de raid (novice)	Cette boîte contient diverses récompenses.
20023	Paquet de Doryeong vagabond	Cette boîte contient diverses récompenses.
20024	Boîtes à bonheur d'or	Cette boîte contient diverses récompenses.
20025	Boîte porte-bonheur de Sytry	Cette boîte contient diverses récompenses.
20026	Boîte à bonheur d'Astrée	Cette boîte contient diverses récompenses.
20027	Boîte porte-bonheur de Boss majeur	Cette boîte contient diverses récompenses.
20028	Paquet de Déesse du littoral	Cette boîte contient diverses récompenses.
20029	Boîte à bonheur d'Astrée	Cette boîte contient diverses récompenses.
20030	Boîtes à bonheur de Noel	Cette boîte contient diverses récompenses.
20031	Boîtes à bonheur de Makoto	Cette boîte contient diverses récompenses.
20032	Boîtes à bonheur de Nine	Cette boîte contient diverses récompenses.
20033	<size=0.8>Boîte à bonheur de Carte d'âme</size>	Cette boîte contient diverses récompenses.
20034	Boîtes à bonheur de Bikini Lisa	Cette boîte contient diverses récompenses.
20035	Boîtes à bonheur de Jacheongbi	Cette boîte contient diverses récompenses.
20036	Pack de cartes Détente à la plage	Cette boîte contient diverses récompenses.
20037	Boîtes à bonheur d'Anémone	Cette boîte contient diverses récompenses.
20038	Boîte à bonheur de raid (novice)	Cette boîte contient diverses récompenses.
20039	Boîtes à bonheur de Natation Davi	Cette boîte contient diverses récompenses.
20040	Pack de cartes Sieste de l'après-midi	Cette boîte contient diverses récompenses.
20041	<size=0.8>Boîte porte-bonheur de</size> Calypso	Cette boîte contient diverses récompenses.
20042	Pack de cartes Salle de sieste galactique	Cette boîte contient diverses récompenses.
20043	Boîtes à bonheur de Báthory	Cette boîte contient diverses récompenses.
20044	Boîtes à bonheur de Krampus	Cette boîte contient diverses récompenses.
20045	Boîtes à bonheur de Ressuscité Freyr	Cette boîte contient diverses récompenses.
20046	Boîtes à bonheur de Féline Nemain	Cette boîte contient diverses récompenses.
20047	Boîtes à bonheur de cristaux	Cette boîte contient diverses récompenses.
20048	Porte-bonheur de Child de type Bois	Cette boîte contient diverses récompenses.
20049	Porte-bonheur de cadeau classique	Cette boîte contient diverses récompenses.
20050	Porte-bonheur de cadeau premium	Cette boîte contient diverses récompenses.
20051	<size=0.8>Boîte à bonheur de Carte d'âme</size>	Cette boîte contient diverses récompenses.
20052	Pack de cartes Salle de sieste galactique	Cette boîte contient diverses récompenses.
20053	<size=0.8>Boîte porte-bonheur de</size> Neophyte Mona	Cette boîte contient diverses récompenses.
20054	Pack de cartes Boss majeur	Cette boîte contient diverses récompenses.
20055	Boîte porte-bonheur d'onyx	Cette boîte contient diverses récompenses.
20056	Porte-bonheur de Child de type Feu	Cette boîte contient diverses récompenses.
