// key	SKILL_NAME_	SKILL_VISUAL_	SKILL_DESCRIPTION_
11010001	Water Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11010101	Water Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11010201	Water Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11010301	Water Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11010401	Water Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11010403	Spike!	sfx_atk_normal	Deal {value} Auto Attack damage
11010601	Water Attack	sfx_atk_normal	Deal Auto Attack damage
11020001	Fire Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11020101	Fire Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11020201	Fire Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11020301	Fire Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11020401	Fire Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11020403	Receive!	sfx_atk_normal	Deal {value} Auto Attack damage to the target
11020601	Fire Attack	sfx_atk_normal	Deal Auto Attack damage
11030001	Wood Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11030101	Wood Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11030201	Wood Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11030301	Wood Attack	sfx_atk_normal	Deal {value} Auto Attack damage
11030401	Wood Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11030403	Attack!	sfx_atk_normal	Deal {value} Auto Attack damage
11030601	Wood Attack	sfx_atk_normal	Deal Auto Attack damage
11040001	Light Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11040101	Light Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11040201	Light Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11040301	Light Attack	sfx_atk_normal	Deal {value} Auto Attack damage
11040401	Light Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11040501	Light Attack	sfx_atk_normal	Deal {value} Auto Attack damage
11040601	Light Attack	sfx_atk_normal	Deal Auto Attack damage
11050001	Dark Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11050101	Dark Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11050201	Dark Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11050301	Dark Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11050401	Dark Attack	sfx_atk_normal	Deal {value} Auto Attack damage to the target (Automatic)
11050601	Dark Attack	sfx_atk_normal	Deal Auto Attack damage
17000001	Recovery	buff/17000001/buff_set	Restore a set amount of HP for a certain duration
17000002	Heal	buff/17000002/buff_set	Instantly restore a set amount of HP
17000003	ATK ↑	buff/17000003/buff_set	Increase ATK
17000004	DEF ↑	buff/17000004/buff_set	Increase DEF
17000005	AGL ↑	buff/17000005/buff_set	Increase AGL
17000006	CRT ↑	buff/17000006/buff_set	Increase CRT
17000007	Skill Charge ↑	buff/17000007/buff_set	Increase Skill Gauge charge amount; Stacks with Skill Gauge charge acceleration
17000008	Immune	buff/17000008/buff_set	Grant Immunity to all debuff effects; Immediately removes all debuffs
