// key	SUMMON_SCROLL_NAME_	SUMMON_SCROLL_DESCRIPTION_
1001	3-5★_Summon Ticket	Summon a <size=1.1><color=ffc400>3★</color></size> to <size=1.1><color=ffc400>5★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Premium summon Child pool.
1002	1-3★_Summon Ticket	Summon a <size=1.1><color=ffc400>1★</color></size> to <size=1.1><color=ffc400>3★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Gold summon Child pool.
1003	4-5★_Summon Ticket	Summon a <size=1.1><color=ffc400>4★</color></size> to <size=1.1><color=ffc400>5★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Premium summon Child pool.
1004	2-4★_Summon Ticket	Summon a <size=1.1><color=ffc400>2★</color></size> to <size=1.1><color=ffc400>4★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Gold summon Child pool.
1005	1-5★_Summon Ticket	Summon a <size=1.1><color=ffc400>1★</color></size> to <size=1.1><color=ffc400>5★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Gold summon Child pool.
1006	1-2★_Summon Ticket	Summon a <size=1.1><color=ffc400>1★</color></size> to <size=1.1><color=ffc400>2★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Gold summon Child pool.
1007	2-3★_Summon Ticket	Summon a <size=1.1><color=ffc400>2★</color></size> to <size=1.1><color=ffc400>3★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Gold summon Child pool.
1008	3-4★_Summon Ticket	Summon a <size=1.1><color=ffc400>3★</color></size> to <size=1.1><color=ffc400>4★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Premium summon Child pool.
1101	3★_Summon Ticket	Summon a <size=1.1><color=ffc400>3★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Premium summon Child pool.
1102	4★_Summon Ticket	Summon a <size=1.1><color=ffc400>4★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Premium summon Child pool.
1103	5★_Summon Ticket	Summon a <size=1.1><color=ffc400>5★</color></size> <size=1.1><color=ffff33><b>Child</b></color></size>\from Premium summon Child pool.
1201	3-5★ Enha._Summon Ticket	Summon an Enhancement Child.
1202	1-5★ Enha._Summon Ticket	Summon an Enhancement Child.
1203	1-3★ Enha._Summon Ticket	Summon an Enhancement Child.
1204	3★ Enha._Summon Ticket	Summon an Enhancement Child.
1205	4★ Enha._Summon Ticket	Summon an Enhancement Child.
1206	5★ Enha._Summon Ticket	Summon an Enhancement Child.
1400	5★ Water Summon Ticket	Summon \a <size=1.1><color=2287d8>Water Type</color> <color=ffc400>5★ Child</color></size>\from Premium summon Child pool.
1401	5★ Child Summon Ticket	A 5★ Child Summon Ticket that lets you get either Olga, Syrinx, Eve, or Jupiter.
1402	5★ Dark Summon Ticket	
1403	5★ Child Summon Ticket (Event)	5★ Child Summon Ticket that summons one of the following Childs: Myrina, Dana, Maat, or Patheon
1404	5★ Child Summon Ticket	A 5★ Child Summon Ticket that summons either Hades, Dana, Frej, Medb, or Metis.
1405	5★ Water Child Summon Ticket	A 5★ Water Child Summon Ticket that lets you get a 5★ Water Child (incl. Dark Buster Lisa)
1406	5★ Child Summon Ticket	A 5★ Child Summon Ticket that lets you get an Eve, Naias, Mars, or Santa Claus
1407	5★ Child Summon Ticket	A 5★ Child Summon Ticket that lets you get Maat, Liberated Maat, Chang'e, or Guardian Chang'e.
