// key	BACKGROUND_IMAGE_NAME_	BACKGROUND_IMAGE_DESCRIPTION_
1	Ambiance grise	Un espace gris dans lequel les démons se sentent bien.
10	Pas de nom	[No description]
2	Ambiance jaune	Un espace jaune rappelant le coucher de soleil du Royaume infernal.
2001	Route de la supérette	C'est le chemin du travail.
2002	Un après-midi au café	Les démons s'y réfugient l'après-midi.
2003	Hall du grand magasin	Le hall d'un grand magasin propre et ordonné.
2004	Hall de l'hôtel	Un hôtel de luxe où les démons séjournent régulièrement.
2005	Entrée de l'appartement	Un vieil homme effrayant poursuit tous ceux qui provoquent du remue-ménage.
2006	Un matin au parc	Un nombre étonnamment grand de pactes ont été passés dans ce parc paisible.
2007	Billetterie	Difficile de trouver le temps de voir un film, mais bon...
2008	Rivière	Un chemin longeant la rivière. Une odeur d'eau stagnante plane.
2009	Salle de sport	Je vais essayer d'y aller au moins cinq fois ce mois-ci.
2010	Gare ferroviaire	Le long des rails, ma vie est un constant tumulte de trains en marche.
2011	Terrasse du café	Un café où il faut rappeler aux employés de tamponner la carte de fidélité.
2012	Route escarpée	Essayez de convaincre vos jambes tremblantes d'aller jusqu'au sommet.
2013	Bibliothèque	Chut ! On est dans une bibliothèque. Et rendez vos livres à temps !
2014	Salle de classe vide	Ce lieu est hanté par l'amertume de nombreux élèves.
2015	École	De futurs passeurs de pactes s'y réunissent.
2016	École, entrée arrière	Le temps semble s'être arrêté au printemps. Rien à voir avec les démons.
2017	Rue pluvieuse	Une odeur de terre émane de cette rue pluvieuse.
2018	Grand magasin	Un endroit populaire chez les passeurs de pactes. Rejoignons-nous devant l'entrée !
2019	Cour de récréation	Une cour d'école bien entretenue. Heureusement, il n'y a personne en ce moment.
2020	Université, entrée avant	De futurs grands académiciens privilégiés étudient ici.
2021	Café pâtisserie	Ce café vend les meilleures pâtisseries du coin.
2022	Hall de l'immeuble	Des bureaux et des appartements se trouvent dans cet immeuble sécurisé.
2023	Entrée du cinéma	109CINÉMAS, situé en plein cœur du centre-ville.
2024	Église de nuit	Une rumeur sordide circule à propos d'un exorciste travaillant ici.
2025	Inutilisé	[No description]
2026	Rue calme	Une rue tranquille et peu empruntée.
2027	Rivière de nuit	Un parc illuminé de néons.
2028	Parc de nuit	Un chemin traversant un parc. La nuit, il vous donne la chair de poule.
2029	Un matin au café	Un café lumineux aux employés compétents.
2030	Piste cyclable	Un parc qui offre une superbe piste cyclable bien entretenue.
2031	Couloir de l'immeuble	Un couloir décoré de bouquets de fleurs parfaitement arrangés.
2032	Gymnase	Les démons, c'est tout dans les muscles et rien dans la tête.
2033	Bas quartiers	Ça a l'air glauque, mais on s'y habitue.
2034	Rue de nuit	Il ne reste que la lumière des lampadaires et le clair de lune.
2035	Rue de jour	Un centre commercial bondé de visiteurs qui vont et viennent.
2036	Allée	Une petite rue fréquentée par des chats.
2037	Arrêt de bus	Un arrêt de bus à la tombée de la nuit.
2038	Train	Un train étrange plus souvent en retard qu'à l'heure.
2039	Quai	Pour des raisons de sécurité, veuillez patienter derrière la ligne.
2040	Café littéraire	La plupart des livres ici sont inconnus.
2041	Ruelle tranquille	Une petite rue tranquille que vous traversez pour rentrer.
2042	Vieille rue	Une rue mystérieuse où les habitations traditionnelles cohabitent avec les habitations rénovées.
2043	Extérieur du centre commercial	La silhouette de ces bâtiments ultra-modernes est éblouissante.
2044	Intérieur du centre commercial	Les démons perdus errent ici au milieu des lumières clignotantes.
2045	Ruines du centre commercial	D'ici, on peut voir la Voie lactée.
2046	Vue sur la côte	Les lumières de la ville fondent à la surface de la rivière.
2047	Zone côtière à minuit	Vous avez fait tout ce chemin à la recherche de passeurs de pactes.
2048	Zone côtière, vue nocturne	Il suffit d'un pas en arrière pour découvrir cette vue.
2049	Centre-ville	Un lieu de désir où se tient le concours de prétendants au trône des démons.
2050	Pied de la montagne	Le nombre de lumières au loin est équivalent au nombre de désirs.
2051	Coucher de soleil à Nakasu	Un immeuble résidentiel est en construction.
2052	Minuit à Nakasu	Le bruit et l'agitation du jour s'estompent à mesure que la nuit tombe.
2053	Au-dessus de Nakasu	Il y a sûrement un démon là-haut, au-dessus de ce banc de sable qui semble paisible.
2054	Harlem Street	Un quartier des plaisirs où les démons et leurs sbires se fondent dans la lumière des néons.
2055	Immeubles de nuit	Les véritables démons sortent la nuit.
2056	Héliport	Un héliport vide.
2057	Chantier de nuit	Un chantier vide où le travail est terminé.
2058	Chantier à minuit	Il a beau faire nuit, on entend encore le son des marteaux.
2059	Chapelle	Un lieu sacré où les exorcistes exercent leur activité.
2060	Entrepôt de l'école	L'entrepôt d'une école. Il baigne dans une aura sinistre.
2061	Plage	Le sable chaud brille à la lumière du soleil.
2062	Phare	Une vue de l'océan et d'un phare distant.
2063	Tunnel	Au loin, on voit les lumières de la ville. L'air est glacial.
2064	Tour de fer	La vue d'une tour de fer illuminée par un beau coucher de soleil.
2065	Lac	Un lac magnifique à l'eau limpide.
2066	Chemin bordant le lac	Un lac traversé par un pont, parfait pour se promener.
2067	Zone boisée	Le mélange parfait entre le parfum de la terre et celui des plantes et revigorant.
2068	Chemin des sources	La vue d'un chemin et d'un escalier de pierre menant à une source.
2069	Restaurant japonais	Un restaurant japonais chic dont le chef a étudié dans sa région d'origine.
2070	Parc tranquille	Un banc parfait pour se détendre à l'ombre des arbres.
2071	Parc d'attractions	Un petit parc d'attractions fréquenté par quelques fans inconditionnels.
2072	Parc d'attractions à minuit	Un parc d'attractions de nuit, joliment décoré pour une parade.
2073	Parc d'attractions abandonné	Un parc d'attractions abandonné depuis longtemps. La grande roue a l'air triste.
2074	Refuge de l'ours polaire	Vous avez bien travaillé, monsieur l'ours blanc.
2075	Cage aux singes	Une cage pleine de singes chamailleurs.
2076	Aquarium	Un aquarium où nagent des créatures aquatiques de toutes tailles.
2077	Allée	La terre cahoteuse a un certain charme.
2078	Marché nocturne	Une place du marché pendant un festival.
2079	Pas de nom	La vue d'un bâtiment considéré comme sacré.
2080	Inutilisé	[No description]
2081	Allée du marché	[No description]
2082	Chemin de montagne	Un chemin légèrement en pente, idéal pour une balade tranquille.
2083	Jungle de béton	Un paysage urbain grisâtre. On y voit de nombreux bâtiments en béton.
2084	Pas de nom	Un passage piéton d'une grande ville qui ne dort jamais.
2085	Intérieur de l'église	Lorsqu'on respire, l'air sacré brûle les poumons.
2086	Chambre du Maître	Le loyer serait trop cher sans votre petit boulot et votre bourse d'apprenti démon.
2087	Salon de thé de Lan Fei	Le salon de thé tenu par Lan Fei. Enfin, elle appelle ça un salon de thé...
2088	Chemin de fer pluvieux	La sortie d'une station sous la pluie.
2089	Cuisine du Maître	Toutes sortes d'incidents surviennent ici.
2090	Centre sportif	À un certain moment de l'année, une odeur d'alcool et de fête se fait sentir.
2091	Parvis du château	Un parvis chargé d'histoire.
2092	Temple au clair de lune	Un temple paisible qui baigne dans le clair de lune.
2093	Statue de bouddha	Le bodhisattva Maitrya sourit tendrement au monde.
2094	Salle de yoga	L'intérieur d'une salle de yoga.
2095	Maison du Maître	Vous vivez ici, seul et en paix.
2096	Toilettes du Maître	Il y a beaucoup plus de produits de toilette depuis l'arrivée des succubes.
2097	Petit boulot du Maître	La supérette où vous travaillez dur tous les jours pour payer le loyer.
2098	Supérette	La devanture de la supérette où vous travaillez.
2099	Studio rouge	Le studio rouge de Chaîne Evil. Toujours à vos côtés.
2100	Studio bleu	Le studio bleu de Chaîne Evil. Toujours à vos côtés.
2101	Centre-ville au matin	Le centre-ville, envahi par les touristes le matin.
2102	Centre-ville de nuit	Le centre-ville, toujours animé la nuit.
2103	Entrée du gratte-ciel	L'entrée d'un gratte-ciel.
2104	Salle d'arcade	La salle d'arcade que vous fréquentiez souvent, avant que l'argent ne manque.
2105	Vue des gratte-ciels	Un paysage urbain. Au loin, on voit des gratte-ciels.
2106	Lac d'un vieux temple	Un vieux sanctuaire et un joli lac.
2107	Tour radio	Une rue tranquille et une tour radio.
2108	Quincaillerie des Ténèbres	Une quincaillerie des Ténèbres aux marchandises douteuses.
2109	Place	Une place et une tour horloge.
2110	Église paisible	Une église paisible où travaillent des exorcistes.
2111	Chantier l'après-midi	Un chantier vide où vous venez souvent lorsque vous voulez être seul.
2112	Supérette à minuit	La supérette concurrente, qui prospère grâce à la station à proximité.
2113	Au-dessus de la ville	Une vue plongeante sur une aire résidentielle.
2114	Cour de l'église	Une cour d'église décorée d'une croix.
2115	Cabinet d'avocats	Mona a poussé le propriétaire d'origine à la laisser l'utiliser comme cabinet de conseil.
2116	Carrefour	Un carrefour urbain très fréquenté où le bruit des klaxons ne cesse jamais.
2117	Télévision du Maître	Une télévision que vous avez récupérée dans une déchetterie et réparée.
2118	Passage piéton	Un passage piéton à l'attente particulièrement longue.
2119	Parking	Un parking avec un chemin de fer.
2120	Entrée de la tour radio	L'entrée d'une tour radio.
