// key	PUPPET_ICON_	PUPPET_TARGET_VISUAL_	PUPPET_SKILL_DESC_
21120028			เอฟเฟกต์ 1:\เกจสกิล {value_1} หน่วยสำหรับพันธมิตรธาตุน้ำ 1 คน
21150011			เอฟเฟกต์ 1:\ความเร็วในการชาร์จเกจสกิล {value_1} หน่วยสำหรับพันธมิตรแบบสุ่ม 1 คน นาน {duration_1} วินาที
21220029			เอฟเฟกต์ 1:\พลังโจมตี {value_1} หน่วยสำหรับพันธมิตรธาตุไฟ 1 คน นาน {duration_1} วินาที
21310012			เอฟเฟกต์ 1:\โบนัสดาเมจ {p_value_1} ต่อเป้าหมายการโจมตี
21320009			เอฟเฟกต์ 1:\การดูดเลือด (รักษา HP {p_value_1} เมื่อโจมตี) ให้กับพันธมิตรธาตุไม้ 1 คน ยกเว้นตัวเอง นาน {duration_1} วินาที
21320030			เอฟเฟกต์ 1:\ไฟนอลโบลว์ของพลังโจมตีจุดอ่อน {value_1} หน่วยสำหรับพันธมิตรธาตุไม้ 1 คน นาน {duration_1} วินาที
21350017			เอฟเฟกต์ 1:\บาเรียร์ {value_1} หน่วย (ไม่สามารถใช้ได้พร้อมกับบาเรียร์ดีบัฟ โดยจะลดลงก่อน HP สำหรับการโจมตีทั้งหมดจากศัตรู) ให้ตัวเอง นาน {duration_1} วินาที
21410016			เอฟเฟกต์ 1:\ความเร็ว {value_1} หน่วยสำหรับพันธมิตรธาตุแสง 1 คน นาน {duration_1} วินาที
21420004			เอฟเฟกต์ 1:\โกรธแค้น (สะสมความเสียหายได้ถึง {p_value_1} จากความเสียหายที่ได้รับและแก้แค้นในครั้งเดียว) ให้ตัวเอง นาน {duration_1} ช่วง
21420031			เอฟเฟกต์ 1:\ความแม่นยำ {value_1} หน่วยสำหรับพันธมิตรธาตุแสง 1 คน นาน {duration_1} วินาที
21520003			เอฟเฟกต์ 1:\พลังป้องกัน {value_1} หน่วยสำหรับตัวเอง นาน {duration_1} วินาที
21520005			เอฟเฟกต์ 1:\พลังป้องกันความเสียหายจากสกิลทั้งหมด {value_1} หน่วยสำหรับตัวเอง นาน {duration_1} วินาที
21520032			เอฟเฟกต์ 1:\ความแม่นยำดีบัฟ {value_1} หน่วยสำหรับพันธมิตรธาตุมืด 1 คน นาน {duration_1} วินาที
22110074			เอฟเฟกต์ 1:\ทำให้ศัตรูติดพิษ 1 ตัวแบบสุ่มจากเป้าหมายการโจมตี (สร้างความเสียหาย {p_value_1} ทุกครั้งที่เป้าหมายขยับและสร้างโบนัสดาเมจทุกครั้งที่เป้าหมายได้รับความเสียหาย) นาน {duration_1} ตา
22110079			เอฟเฟกต์ 1:\โบนัสดาเมจ {p_value_1} ต่อเป้าหมายการโจมตี
22110081			เอฟเฟกต์ 1:\เกจสกิล {value_1} หน่วยสำหรับเป้าหมายการโจมตี
22140046			เอฟเฟกต์ 1:\ความเร็วในการชาร์จเกจสกิล {value_1} หน่วยสำหรับศัตรูแบบสุ่ม 1 ตัวจากเป้าหมายการโจมตี นาน {duration_1} วินาที
22210048			เอฟเฟกต์ 1:\ทำให้ศัตรู 1 ตัวแบบสุ่มจากเป้าหมายการโจมตีเลือดออก (ความเสียหายต่อเนื่อง {p_value_1} ทุก 2 วินาที) นาน {duration_1} วินาที
22220082			เอฟเฟกต์ 1:\บาเรียร์ดีบัฟ {value_1} หน่วย (ไม่สามารถใช้ได้พร้อมกับโล่ที่ดูดซับความเสียหายจากดีบัฟ ไม่สามารถใช้ได้พร้อมกับบาเรียร์อื่นๆ) ให้กับพันธมิตรธาตุไฟ 1 คน นาน {duration_1} วินาที
22310043			เอฟเฟกต์ 1:\ดูดซับ {p_value_1} มาเป็น HP ของตัวเอง
22320041			เอฟเฟกต์ 1:\รักษา HP {puppet_h_value_1} ให้ตัวเอง
22340075			เอฟเฟกต์ 1:\พลังป้องกันจุดอ่อน {value_1} หน่วยสำหรับเป้าหมายการโจมตี นาน {duration_1} วินาที
22450078			เอฟเฟกต์ 1:\ปริมาณการฟื้นฟู {value_1} หน่วยสำหรับพันธมิตร 1 คน (HP น้อย) นาน {duration_1} วินาที
22510057			เอฟเฟกต์ 1:\โอกาสคริติคอล {value_1} หน่วยสำหรับตัวเอง นาน {duration_1} วินาที
22510063			เอฟเฟกต์ 1:\คริติคอล {value_1} หน่วยสำหรับตัวเอง นาน {duration_1} วินาที
22510066			เอฟเฟกต์ 1:\ความเสียหายจากสไลด์สกิล {value_1} หน่วยสำหรับตัวเอง นาน {duration_1} วินาที
22520035			เอฟเฟกต์ 1:\พลังดูดเลือด (ฟื้นฟู HP {p_value_1} เมื่อโจมตี) ให้ตัวเอง นาน {duration_1} วินาที
22530044			เอฟเฟกต์ 1:\อัตราการหลบหลีกดีบัฟ {value_1} หน่วยสำหรับพันธมิตร 1 คน (HP น้อย) นาน {duration_1} วินาที
22550042			เอฟเฟกต์ 1:\ไฟนอลโบลว์คริติคอล {value_1} หน่วยสำหรับพันธมิตรธาตุมืด 1 คน นาน {duration_1} วินาที
23110111			เอฟเฟกต์ 1:\ทำให้เป้าหมายการโจมตีติดพิษ (สร้างความเสียหาย {p_value_1} ทุกครั้งที่เป้าหมายขยับและสร้างโบนัสดาเมจทุกครั้งที่เป้าหมายได้รับความเสียหาย) นาน {duration_1} ตา
23110144			เอฟเฟกต์ 1:\โบนัสดาเมจ {p_value_1} ต่อศัตรูธาตุไฟจากเป้าหมายการโจมตี
23120117			เอฟเฟกต์ 1:\พลังป้องกันความเสียหายจากสกิลทั้งหมด {value_1} หน่วยสำหรับตัวเอง นาน {duration_1} วินาที
23130134			เอฟเฟกต์ 1:\รักษา HP {puppet_h_value_1} หน่วยให้กับพันธมิตร 1 คน (HP น้อย)
23210106			เอฟเฟกต์ 1:\โบนัสดาเมจ {p_value_1} ต่อศัตรูธาตุไม้จากเป้าหมายการโจมตี
23210109			เอฟเฟกต์ 1:\ความเสียหายแบบไม่สนพลังป้องกัน {p_value_1} ต่อเป้าหมายการโจมตี
23220138			เอฟเฟกต์ 1:\ยั่วยุ (โอกาสในการใช้งาน: {p_value_1}) ให้ตัวเอง นาน {duration_1} วินาที
23310090			เอฟเฟกต์ 1:\โบนัสดาเมจ {p_value_1} ต่อศัตรูธาตุน้ำจากเป้าหมายการโจมตี
23330095			เอฟเฟกต์ 1:\บาเรียร์ {value_1} หน่วย (ไม่สามารถใช้ได้พร้อมกับบาเรียร์ดีบัฟ โดยจะลดลงก่อน HP สำหรับการโจมตีทั้งหมดจากศัตรู) ให้พันธมิตร 1 คน (HP น้อย) นาน {duration_1} วินาที
23350150			เอฟเฟกต์ 1:\การหลบหลีก {value_1} หน่วยสำหรับพันธมิตร 2 คน (HP น้อย) นาน {duration_1} วินาที
23410093			เอฟเฟกต์ 1:\โบนัสดาเมจ {p_value_1} ต่อศัตรูธาตุมืดจากเป้าหมายการโจมตี
23450103			เอฟเฟกต์ 1:\โอกาส {p_value_1} ในการลบล้างเอฟเฟกต์ความเสียหายต่อเนื่องจากพันธมิตร 1 คน (ติดสถานะความเสียหายต่อเนื่อง)
23450146			เอฟเฟกต์ 1:\พลังป้องกันต่อพลังโจมตีจุดอ่อน {value_1} หน่วยสำหรับพันธมิตรธาตุแสง 2 คน นาน {duration_1} วินาที
23510123			เอฟเฟกต์ 1:\โบนัสดาเมจ {p_value_1} ต่อศัตรูธาตุแสงจากเป้าหมายการโจมตี
23510130			เอฟเฟกต์ 1:\ความเสียหายแบบไม่สนพลังป้องกัน {p_value_1} ต่อเป้าหมายการโจมตี
23520135			เอฟเฟกต์ 1:\พลังดูดเลือด (ฟื้นฟู HP {p_value_1} เมื่อโจมตี) ให้ตัวเอง นาน {duration_1} วินาที
