// key	LIMITED_SHOP_HOME_NAME_	LIMITED_SHOP_SB_TITLE_	LIMITED_SHOP_SB_DESC_1_	LIMITED_SHOP_SB_DESC_2_	LIMITED_SHOP_SB_DESC_3_
20101	Pack de démarrage I	Pack exclusif aux nouveaux joueurs	1x Mafdet intransigeante \1x Dana prédicatrice \1x Chang'e lumineuse \1x Maât errante, 1x Isolde opaline \5x Cosmime hyper, 250 000 onyx	54 000 cristaux \250 000 onyx	5 tickets d'invocation de carte d'âme prismatique 5★ \5 tickets d'invocation de carte d'âme 5★ \250 000 onyx
20102	Pack de démarrage II	Cristaux à prix cassé exclusifs aux nouveaux joueurs	10 000 cristaux \12 gemmes de sang	100 000 cristaux \24 gemmes de sang	100 000 cristaux \240 gemmes de sang
20201	Pack d'assistance \d'invocation de Child	Réservé aux nouveaux venus !	5 400 cristaux \3 packs de 10 tickets d'invocation de Child	none	none
20202	Pack d'assistance \d'arme de rang A	Pour 1 heure seulement !	5 400 cristaux \3 tickets d'invocation avec arme de rang A 5★ garantie	none	none
20203	Pack d'assistance \d'armure de rang A	C'est le moment ou jamais !	5 400 cristaux \3 tickets d'invocation avec armure de rang A 5★ garantie	none	none
20204	Pack d'assistance \d'accessoire de rang A	Pour une durée limitée !	5 400 cristaux \3 tickets d'invocation avec accessoire de rang A 5★ garanti	none	none
20205	Pack d'assistance \de Child 5★	Cette fois seulement !	5 400 cristaux \1 ticket d'invocation de Child 5★	none	none
20901	Pack d'événement	Pack d'événement de nouveau Child	1x Dame Kanaloa\1x Hyper Cosmime\5x Gros Cœur d'Aurore		
20902	Pack d'événement	Pack d'événement de nouveau Child	1x Septentrionale Kubera\1x Hyper Cosmime\5x Gros Cœur d'Aurore		
20903	Pack d'événement	Pack d'événement de nouveau Child	1x Volubile Vivian\1x Hyper Cosmime\5x Gros Cœur d'Aurore		
20904	Pack d'événement	Pack d'événement de nouveau Child	1x Pouvoir inégalé Hathor\1x Hyper Cosmime\5x Gros Cœur d'Aurore		
20905	Pack d'événement	Pack d'événement de nouveau Child	1x Éclosion de plumes Yami\1x Hyper Cosmime\5x Gros Cœur d'Aurore		
20906	Pack d'événement	Pack d'événement de nouveau Child	1x Nocturne Dianus\1x Hyper Cosmime\5x Gros Cœur d'Aurore		
20907	Pack d'événement	Pack de Nouveau costume	Venimeuse Báthory x1\Sources chaudes Báthory x1\Gemmes de sang x30		
20909	Pack d'événement	Pack de costume d'événement	1x Beauté nocturne Chang'e\1x Soubrette Mayahuel\1x Sources chaudes Chang'e\1x Sources chaudes Mayahuel\30x Gem. de sang		
20910	Pack de célébration du 1 000e jour	Pack de célébration du 1 000e jour	Cristaux x10 000\Onyx x1 000 000\Pièces d'or x10 000 000		
30101	Pack de retour	Pack exclusif aux joueurs de retour	Tickets d'invocation avec\arme/armure/accessoire de rang A 5★\- 2 de chaque, 6 au total \Pierres taillées d'arme/armure/accessoire\- 200 de chaque, 600 au total	54 000 cristaux \5 tickets d'invocation de Child 5★ \5 tickets d'invocation de carte d'âme 5★	100 000 cristaux \200 gemmes de sang
30102	Pack de Nouveau Venu	Pack de Nouveau Venu	13,500 Cristaux\5x Hyper Cosmime	5 chq. x Boîte de sélect. de Matériau d'évolution 1~5★/25 x Gros Cœur d'Aurore\2 x Giga Cosmime	1x Fonceuse Dalia\1x Hyper Cosmime\5x Gros Cœur d'Aurore
