// key	CHARACTER_PROFILE_DESC_
c000_interest	
c000_like	
c000_love	
c000_profile	
c001_interest	นั่นคือความลับทางการค้า\ของซัคคิวบัสนะคะ ♥
c001_like	ข้าไปล่ะ!
c001_love	ท่านจะต้องเป็นผู้ใหญ่\มากกว่านี้อีกหน่อย...
c001_profile	หัวหน้าของซัคคิวบัส เรื่องราวมากมายของเธอยังคงเป็นความลับ\แม้ว่าเธอมักจะชอบยั่วยวนและทำตัวเจ้าชู้ แต่เมื่อเธอเอาจริงเอาจังเมื่อไหร่\ก็จะไม่มีวี่แววความอ่อนแอให้เห็น และเมื่อเธอเตรียมตัวจะต่อสู้\เธอจะระมัดระวังตัวอย่างมากผิดกับนิสัยปกติที่ชอบทำตัวตามสบาย\เธอมักห่างเหินจากมาสเตอร์ที่ใช้ชีวิตส่วนใหญ่อยู่ในโลกมนุษย์\เนื่องจากเธอเติบโต ณ ใจกลางโลกปีศาจ
c002_interest	ข้าจะทำให้ท่านเป็นราชาปีศาจ
c002_like	แม้แต่ผู้ช่วย\ก็จำเป็นต้องพักผ่อน
c002_love	ข้าจะฝึกท่านให้สมบูรณ์แบบ
c002_profile	ซัคคิวบัสบ้างานที่พร้อมต่อสู้ทั้งวันตลอด 24 ชั่วโมง\เธอพยายามพูดจาชัดเจนและไพเราะตลอดเวลา\เธอเคยวางแผนว่าจะนำเงินที่หาได้ไปใช้ชีวิตวัยเกษียณภายหลัง\ศึกชิงบัลลังก์ราชาปีศาจสิ้นสุดลงอย่างสุขสบาย แต่ในตอนนี้เธอเกือบ\ล้มเลิกความตั้งใจนั้นแล้ว อย่าว่าแต่ราชาปีศาจเลย การทำให้มาสเตอร์\กลายเป็นปีศาจที่เหมาะสมนั้น ต้องใช้เวลานานแค่ไหนนี่คิดไม่ออกเลย\นิสัยที่เคร่งเครียดและละเอียดรอบคอบจนเกินไปของเธอเริ่มดีขึ้น\ส่วนหนึ่งคงเพราะได้รับอิทธิพลจากมาสเตอร์จอมเฉื่อยนั่นแหละ\ชีวิตคนเราก็ไม่ได้เป็นไปตามแผนเสมอไปหรอก...
c003_interest	ข้าจะออกไปตามหาท่านพี่โมนา!
c003_like	เจ้าหงอนไก่จอมทึ่ม!
c003_love	ฮึ่ม! มาสเตอร์จอมทึ่ม!
c003_profile	ชื่อของเธอแสดงถึงความสามารถอันไร้ขีดจำกัด... เธอว่างั้นนะ\ด้วยความซื่อและเซ่อ ใครหน้าไหนก็หลอกให้เธอหลงกลได้ไม่ยาก\หากเธอขี้เกียจใช้สมอง เธอก็มักจะลงมือทำก่อนแล้วค่อยคิดทีหลัง\เธอใส่ใจแค่โมนาเท่านั้น ศึกชิงบัลลังก์ราชาปีศาจจึงเป็นแค่เพียงสิ่งที่\ทำให้เธอได้ใช้เวลาอยู่ใกล้ชิดกับโมนาเพิ่มมากขึ้นเท่านั้น\เธอเห็นมาสเตอร์เป็นคู่แข่งเรื่องความรักของโมนา และมักจะเรียกเขาว่า\"เจ้าหงอนไก่จอมทึ่ม" เอาเป็นว่าเรามาเฝ้าดูการเติบโตของเธอ\ต่อจากนี้ไปอย่างอบอุ่นกันเถอะ...
c004_interest	มาเล่นกับข้าสิ หัวหน้า!
