// key	OMNI_EVE_MONSTER_NAME_
1001	亚巴顿
101	红水滴
1011	绿水滴
102	看守者
103	草隆
104	复仇女孩
105	巴西利斯克
106	封箱者
107	机甲指挥官
108	卡利宇迦
109	宝箱怪
1101	蓝水滴
1102	看守者
1103	草隆
1104	复仇女孩
1105	巴西利斯克
1106	封箱者
1107	机甲指挥官
1108	卡利宇迦
1109	宝箱怪
1201	蓝水滴
1202	看守者
1203	草隆
1204	复仇女孩
1205	巴西利斯克
1206	封箱者
1207	机甲指挥官
1208	卡利宇迦
1209	宝箱怪
1301	蓝水滴
1302	看守者
1303	草隆
1304	复仇女孩
1305	巴西利斯克
1306	封箱者
1307	机甲指挥官
1308	卡利宇迦
1309	宝箱怪
1401	蓝水滴
1402	看守者
1403	草隆
1404	复仇女孩
1405	巴西利斯克
1406	封箱者
1407	机甲指挥官
1408	卡利宇迦
1409	宝箱怪
1501	万圣节
1511	草隆
1601	黄水滴
1602	看守者
1603	草隆
1604	复仇女孩
1605	巴西利斯克
1606	封箱者
1607	机甲指挥官
1608	卡利宇迦
1609	宝箱怪
1701	黄水滴
1702	看守者
1703	草隆
1704	复仇女孩
1705	巴西利斯克
1706	封箱者
1707	机甲指挥官
1708	卡利宇迦
1709	宝箱怪
1801	黄水滴
1802	看守者
1803	草隆
1804	复仇女孩
1805	巴西利斯克
1806	封箱者
1807	机甲指挥官
1808	卡利宇迦
1809	宝箱怪
1901	黄水滴
1902	看守者
1903	草隆
1904	复仇女孩
1905	巴西利斯克
1906	封箱者
1907	机甲指挥官
1908	卡利宇迦
1909	宝箱怪
2001	哥摩拉
201	红水滴
2011	看守者
202	看守者
203	草隆
204	复仇女孩
205	巴西利斯克
206	封箱者
207	机甲指挥官
208	卡利宇迦
209	宝箱怪
2101	紫水滴
2102	看守者
2103	草隆
2104	复仇女孩
2105	巴西利斯克
2106	封箱者
2107	机甲指挥官
2108	卡利宇迦
2109	宝箱怪
2201	紫水滴
2202	看守者
2203	草隆
2204	复仇女孩
2205	巴西利斯克
2206	封箱者
2207	机甲指挥官
2208	卡利宇迦
2209	宝箱怪
2301	紫水滴
2302	看守者
2303	草隆
2304	复仇女孩
2305	巴西利斯克
2306	封箱者
2307	机甲指挥官
2308	卡利宇迦
2309	宝箱怪
2401	紫水滴
2402	看守者
2403	草隆
2404	复仇女孩
2405	巴西利斯克
2406	封箱者
2407	机甲指挥官
2408	卡利宇迦
2409	宝箱怪
2501	克罗赛尔
2511	复仇女孩
2601	夏娃
2602	夏娃
2603	夏娃
2604	夏娃
301	红水滴
302	看守者
303	草隆
304	复仇女孩
305	巴西利斯克
306	封箱者
307	机甲指挥官
308	卡利宇迦
309	宝箱怪
401	红水滴
402	看守者
403	草隆
404	复仇女孩
405	巴西利斯克
406	封箱者
407	机甲指挥官
408	卡利宇迦
409	宝箱怪
501	炎龙
601	绿水滴
602	看守者
603	草隆
604	复仇女孩
605	巴西利斯克
606	封箱者
607	机甲指挥官
608	卡利宇迦
609	宝箱怪
701	绿水滴
702	看守者
703	草隆
704	复仇女孩
705	巴西利斯克
706	封箱者
707	机甲指挥官
708	卡利宇迦
709	宝箱怪
801	绿水滴
802	看守者
803	草隆
804	复仇女孩
805	巴西利斯克
806	封箱者
807	机甲指挥官
808	卡利宇迦
809	宝箱怪
901	绿水滴
902	看守者
903	草隆
904	复仇女孩
905	巴西利斯克
906	封箱者
907	机甲指挥官
908	卡利宇迦
909	宝箱怪
