// key	PIECE_NAME_	PIECE_DESCRIPTION_
10	沙灘排球	進行收集似乎會發生好事情。\2019年DOA跨界合作
11	封蠟#222	任何認真的惡魔都能收集到。\看來，收集一定的量就會有好事發生。
12	演唱會傳單	Planet Party的演唱會傳單。\成員在城市裡四處發送。
13	祈願新年紅包	嶄新的鈔票。\放在紅包當中，可以實現任何渴望。
14	榮光之章	勝利的榮光盡歸於你。\這是授予完成自己任務的惡魔的勝利之證。
15	女神的回憶	帶起盛夏和那個女孩回憶的泳裝。
16	命運金幣	一枚閃閃發光的金幣。\收集它可獲得驚喜。
17	感謝邀請函	為了慶祝有1000萬名的魔王候補生參戰，\我們邀請你來參加魔王爭奪戰了！
18	派對氣球	生日派對氣球。\一個一個收集它們之後，也許它們能帶你飛上天際。
19	椰子	直接從亞摩斯島運送而來的香甜椰子。
20	條紋救生圈	一個以純粹熱誠和\不懈製成的救生圈。
21	派對氣球	生日派對氣球。\一個一個收集它們之後，也許它們能帶你飛上天際。
22	櫻花瓣	宣告春之始的花瓣。\收集它們來獲得一個讓人開心的驚喜。
23	櫻花瓣	宣告春之始的花瓣。\收集它們來獲得一個讓人開心的驚喜。
24	父母之愛	一朵能為內心帶來平靜的康乃馨。你不能只準備一朵，而是兩朵。不是黃泉之花。
9	沙灘排球	進行收集似乎會發生好事情。
