// key	SELECT_BOX_NAME_	SELECT_BOX_DESC_
73100001	Boîte de Ticket d'invoc. 5★	Choisissez un composant pour l'obtenir.
73100002	Boîte de Carte prism. 2019	Choisissez un composant pour l'obtenir.
73100003	Boîte d'Équip. de rang A 2019	De la sortie jusqu'au 31 déc 2019. \Exclut l'Équipement d'âme de collaboration.
73100004	Boîte de Raffineurs de +15	Choisissez un composant pour l'obtenir.
73100005	Boîte de sélection de Child 2019	Du lancement au 31 déc 2019 :\Childs excl. aux collabo. et au temple de la réincarnation non inclus.
73100006	Boîte de sélection de Child 2020	Du lancement au 31 déc 2020 :\Childs excl. aux collabo. et au temple de la réincarnation non inclus.
73100007	Boîte de sélection de costume 2019	Du lancement au 31 déc 2019 :\Costumes excls. aux collabo. et de passeur de pacte non inclus.
73100008	Boîte de sélection d'équipement d'alchimie	Choisissez un composant pour l'obtenir.
73100009	Boîte de Raffineurs de +15	Choisissez un composant pour l'obtenir.
73100010	Boîte de sélection 2019 d'apparence des sources	De la sortie jusqu'au 31 déc 2019. \Exclut les apparences des sources de collaboration.
73100011	Boîte porte-bonheur de sélection de carte de vallée et de mer	Choisissez un composant pour l'obtenir.
73100012	Boîte de sél. d'app. des sources des meilleurs Childs de boss majeur	Choisissez un composant pour l'obtenir.
73100013	Boîte d'apparence des sources de Child d'épée à double tranchant	Choisissez un composant pour l'obtenir.
73100014	Boîte de sél. d'app. des sources des meilleurs Childs de mêlée	Choisissez un composant pour l'obtenir.
73100015	<size=0.95>Boîte de sélection d'app. des sources du labyrinthe de la renaiss.</size>	Choisissez un composant pour l'obtenir.
73100016	Boîte de sélection 2019 de carte prismatique	Du début du service jusqu'au 31 décembre 2019 \Carte de collaboration indisponible
73100017	Boîte de sél. d'app. des sources des meilleurs Childs de boss majeur	Choisissez un composant pour l'obtenir.
73100018	Boîte de sél. d'app. des sources des meilleurs Childs de mêlée	Choisissez un composant pour l'obtenir.
73100019	Boîte de sélect de raffineurs +3	Choisissez un composant pour l'obtenir.
73100020	Boîte de sélect de raffineurs +7	Choisissez un composant pour l'obtenir.
