// key	SCENARIO_SPEAKER_
 A COUNCIL ELDER	ผู้อาวุโสสภา
A COUNCIL ELDER	ผู้อาวุโสสภา
A.I	A.I
A_COUNCIL_CHAIRMAN	ประธานสภา
AARON	อารอน
ABADDON_CONTRACTOR	มากิโกะ มานิวดะ
ABIGAIL_CHAIRMAN	ประธานอบิเกล
ACCRASIA	อะคราเซีย
AILILL	แอลลี่
AKIMAGO	อาร์คิมาโก
ALTERED DAVI	ดาบิที่ผ่านการดัดแปลงมาแล้ว
AMBROSIA_CONTRACTOR	ซาโตะ ชิโอริ
ANCHOR	โฮสต์
ANEMONE	แอนิโมน
ANNIE	แอนนี่
ANNOUNCE	ประกาศในโรงเรียน
ANNOUNCER	ผู้ประกาศ
APOLLO_CONTRACTOR	เทชิกาวาระ มาซาโตะ
AQU CUBE	อีวิลคิวบ์
ARAHANT	พระอรหันต์
ARAHANT_FRIEND	เพื่อนของพระอรหันต์
ARGOS	อาร์กอส
ARIA	อาเรีย
ARTEMISIA_CONTRACTOR	คุรุมิกาวะ คุรุมิ
ASHRAM_TEACHER	อาจารย์แห่งอาศรม
ATALANTE_CONTRACTOR	สึชิดะ ซาชิกะ
ATTIS	แอททิส
ATUM_CONTRACTOR	คุโรอิ อากิระ
AUDIENCE1	ผู้ชม 1
AUDIENCE2	ผู้ชม 2
AUDIENCES	ผู้ชม
AURORA	ออโรร่า
AYANE	อายาเนะ
BAAL_CONTRACTOR	กอนดะ โทจิ
BABEL	บาเบล
BABY	ทารก
BAKER	ผู้จัดการคาเฟ่
BARI	บาริ
BARI_CONTRACTOR	ซุซุกิ รินโกะ
BARI_CONTRACTOR_MOM	แม่ของซุซุกิ รินโกะ
BAST	บาสต์วัยละอ่อน
BATORY	บาโทรี
BELIEVER_0	สาวก
BELIEVER_1	สาวก
BELIEVER1	สาวก 1
BELIEVER2	สาวก 2
BELIEVER3	สาวก 3
BERDLE	เวอร์เดล
BERITH_CONTRACTOR	ฮาราชินาอิ มิกิโอะ
BERMONT	แกรนด์ดยุกเวอร์มอนต์
BETH	เบธ
BILLY	บิลลี่
BIRD	นก
BOAR	หมูป่า
BOREAS	บอเรส
BOREAS_CONTRACTOR	คิทาซาโตะ ฟูกะ
BOSS	ผู้จัดการ
BOY	เด็กชาย
