// key	HECATE_BOOK_TITLE_SHELF_	HECATE_BOOK_TITLE_	HECATE_BOOK_TITLE_SUB_	HECATE_BOOK_DESC_
100001	Chapter. 1-1\Le terrain de jeu du démon	1-1 Le terrain de jeu du démon	Destiny Child Chapter.1	Avez-vous déjà vu un démon ? Ils ne sont pas si loin. Peut-être même que vous en connaissez un !
100002	Chapter. 1-2\L'ère des Chapteriens et des Chapterats	1-2 L'ère des chiens et des chats	Destiny Child Chapter.1	Les villes, des déserts d'asphalte ?\Non, ce sont des jungles de béton où seuls les plus forts survivent.
100003	Chapter. 1-3\Des jeunes filles rêveuses	1-3 Des jeunes filles rêveuses	Destiny Child Chapter.1	Je ne suis ni les réseaux sociaux, ni les actualités. Mais ils arrivent quand même à troubler ma tranquillité !
100004	Chapter. 1-4\Un démon odieux mais adorable	1-4 Un démon odieux mais adorable	Destiny Child Chapter.1	C'est difficile de distinguer les bons des mauvais démons ! Mais il y a des démons qu'on adore détester !
100005	Chapter. 1-5\Flash info : Chapterasse au prétendant !	1-5 Flash info : chasse au prétendant !	Destiny Child Chapter.1	Les prétendants se battent ! Attention ! Ils tombent comme des mouches !
100006	Chapter. 1-6\Le jardin des jeunes filles	1-6 Le jardin des jeunes filles	Destiny Child Chapter.1	Ce monde est celui des jeunes filles délicates. Quel sera le destin des hommes qui pénétreront ce lieu interdit ?
100007	Chapter. 1-7\Alerte au démon ! Le démon et la vagabonde	1-7 Alerte au démon ! Le démon et la vagabonde	Destiny Child Chapter.1	L'alerte au démon sonne trois fois à minuit, annonçant l'arrivée du pourfendeur de démons.
100008	Chapter. 1-8\L'héritier du roi démon	1-8 L'héritier du roi démon	Destiny Child Chapter.1	Rufus, successeur du Roi des démons, s'approche.
100009	Chapter. 2-1\Le jardin fleuri de la jeune fille	2-1 Le jardin fleuri de la jeune fille	Destiny Child Chapter.2	Prions là où la cloche sacrée résonne.
100010	Chapter. 2-2\Les ténèbres murmurantes et l'ombre	2-2 Les ténèbres murmurantes et l'ombre	Destiny Child Chapter.2	Une ombre noire s'abat sur le jardin fleuri de la jeune fille.
100011	Chapter. 2-3\Le faux créateur	2-3 Le faux créateur	Destiny Child Chapter.2	Le faux créateur prépare lui-même sa propre perte.
100012	Chapter. 2-4\Deux filles divisées	2-4  Deux filles divisées	Destiny Child Chapter.2	Le début d'un voyage sans fin
100013	Interruption - Chapitre 1\La jumelle disparue	Interruption - Chapitre 1. La jumelle disparue	Destiny Child Chapter.2	Une nouvelle Davi est née !
100014	Interruption - Chapitre 2. Maléfices sous \le soleil	Interruption - Chapitre 2. Maléfices sous \le soleil	Destiny Child Chapter.2	La fille mystérieuse qui est venue voir Luine n'est autre que...
100019	Songe d'une\nuit d'été	Songe d'une nuit d'été	Ragna:Break Season 18	Un seul amour, deux cœurs qui s'opposent.\Mais quel est cet amour ?
100023	Point de vue \démoniaque	Point de vue démoniaque	Narrative Dungeon	On va s'occuper d'eux avant que Torii l'apprenne.
100090	Boutique de raid	Boutique de raid	Tutorial	Comme on dit, "les murs ont des oreilles"...\Brownie l'informatrice a ouvert une nouvelle boutique de raids.
100091	Cauchemar de Noël	Cauchemar de Noël	Ragna:Break Season 0	En cette sainte nuit, un démon rôde dans l'ombre de la joie de Noël.
