// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	落髮	這縷頭髮中的每一根，都有靈力的痕跡。
10000102	鏽釘	上面覆蓋著如血跡般鏽蝕的釘子。
10000103	染紅的絲線	小心別被針扎到了。\被血染紅的絲線會招來怨恨。
10000104	指甲	小心處理剪下來的指甲。\可能會有人覬覦你殘留在上面的靈魂。
10000105	黑鹽	鹽能驅魔；\黑鹽則是能開啟地獄之門。
10000201	填充棉	從遺棄玩偶的肚子裡抽出的棉花。
10000202	棉花團	從遺棄玩偶中收集的\棉花團。
10000203	老舊棉花	就算是無生命的物件，也會隨著時間而誕生出力量。
10000204	蜘蛛網棉	以魔界蜘蛛網製作的棉花。
10000205	孢子棉	以盛開的孢子所製作的棉花。
1010013	嘎啦嘎啦	能發出輕快的聲音。適合用來安撫寶寶，或是挑釁發怒的對手。
1010014	嘎啦嘎啦	能發出輕快的聲音。適合用來安撫寶寶，或是挑釁發怒的對手。
1010015	嘎啦嘎啦	能發出輕快的聲音。適合用來安撫寶寶，或是挑釁發怒的對手。
1010023	橡皮擦	在名為「教室」的戰場上，這是最佳的遠距離攻擊手段。\但要小心被友軍的流彈波及。
1010024	橡皮擦	在名為「教室」的戰場上，這是最佳的遠距離攻擊手段。\但要小心被友軍的流彈波及。
1010025	橡皮擦	在名為「教室」的戰場上，這是最佳的遠距離攻擊手段。\但要小心被友軍的流彈波及。
1010033	塑膠瓶	裝有碳酸飲料的塑膠瓶。\在戰鬥結束後別忘了補充水分。
1010034	塑膠瓶	裝有碳酸飲料的塑膠瓶。\在戰鬥結束後別忘了補充水分。
1010035	塑膠瓶	裝有碳酸飲料的塑膠瓶。\在戰鬥結束後別忘了補充水分。
1020043	棒棒糖	附在棒子上又甜又硬的糖果。\但是糖果部分的耐用度卻遠不及棒子。
1020044	棒棒糖	附在棒子上又甜又硬的糖果。\但是糖果部分的耐用度卻遠不及棒子。
1020045	棒棒糖	附在棒子上又甜又硬的糖果。\但是糖果部分的耐用度卻遠不及棒子。
1020053	捲起來的報紙	一份捲起來的報紙。\是初出茅蘆的勇者們愛用的劍。
1020054	捲起來的報紙	一份捲起來的報紙。\是初出茅蘆的勇者們愛用的劍。
1020055	捲起來的報紙	一份捲起來的報紙。\是初出茅蘆的勇者們愛用的劍。
1020063	橡膠鎚	軟軟的橡膠鎚。\是個考慮到安全性的武器，成為了銷售冠軍。
1020064	橡膠鎚	軟軟的橡膠鎚。\是個考慮到安全性的武器，成為了銷售冠軍。
1020065	橡膠鎚	軟軟的橡膠鎚。\是個考慮到安全性的武器，成為了銷售冠軍。
1020073	鍋蓋	你也應該有拿過這個東西。\無論男女老幼都能使用的武器。
1020074	鍋蓋	你也應該有拿過這個東西。\無論男女老幼都能使用的武器。
1020075	鍋蓋	你也應該有拿過這個東西。\無論男女老幼都能使用的武器。
1030083	立式麥克風	該選哪個當武器才好呢…\是要選擇麥克風還是立架呢…
1030084	立式麥克風	該選哪個當武器才好呢…\是要選擇麥克風還是立架呢…
1030085	立式麥克風	該選哪個當武器才好呢…\是要選擇麥克風還是立架呢…
1030093	手裏劍	異國的暗殺者所使用的小小手裏劍。\要丟它的話需要一定的技術。
1030094	手裏劍	異國的暗殺者所使用的小小手裏劍。\要丟它的話需要一定的技術。
1030095	手裏劍	異國的暗殺者所使用的小小手裏劍。\要丟它的話需要一定的技術。
