// key	CHARACTER_DUNGEON_NAME_	CHARACTER_DUNGEON_SECOND_NAME_	CHARACTER_DUNGEON_LOCATION_DESC_
1000	《コラボ》	雪ミク	純白の雪の中で遭遇した雪ミクとの思い出
100001	ステージ1	遭難Ⅰ	
100002	ステージ2	銀世界Ⅰ	
100003	ステージ3	遭難Ⅱ	
100004	ステージ4	出会いⅠ	
100005	ステージ5	出会いⅡ	
100006	ステージ6	二人の約束Ⅰ	
100007	ステージ7	銀世界Ⅱ	
100008	ステージ8	二人の約束Ⅱ	
1010	《コラボ》	雪ミク	純白の雪の中で遭遇した雪ミクとの思い出
101001	ステージ1	《HARD》遭難Ⅰ	
101002	ステージ2	《HARD》銀世界Ⅰ	
101003	ステージ3	《HARD》遭難Ⅱ	
101004	ステージ4	《HARD》出会いⅠ	
101005	ステージ5	《HARD》出会いⅡ	
101006	ステージ6	《HARD》二人の約束Ⅰ	
101007	ステージ7	《HARD》銀世界Ⅱ	
101008	ステージ8	《HARD》二人の約束Ⅱ	
1100	《NARRATIVE》	Holy War	天を割き、深き闇の神が降臨する
110001	ステージ1	死にゆく者への祈りⅠ	
110002	ステージ2	死にゆく者への祈りⅡ	
110003	ステージ3	壊れた魂Ⅰ	
110004	ステージ4	Tempter	
110005	ステージ5	堕落	
110006	ステージ6	壊れた魂Ⅱ	
110007	ステージ7	聖戦	
110008	ステージ8	Incarnation	
1110	《NARRATIVE》	Holy War	天を割き、深き闇の神が降臨する
111001	ステージ1	《HARD》死にゆく者への祈りⅠ	
111002	ステージ2	《HARD》死にゆく者への祈りⅡ	
111003	ステージ3	《HARD》壊れた魂Ⅰ	
111004	ステージ4	《HARD》Tempter	
111005	ステージ5	《HARD》堕落	
111006	ステージ6	《HARD》壊れた魂Ⅱ	
111007	ステージ7	《HARD》聖戦	
111008	ステージ8	《HARD》Incarnation	
1200	《NARRATIVE》	新魔王の登場	ここに3代目魔王が降臨…
120001	ステージ1	Dooms day!	
120002	ステージ2	Dooms day!!	
120003	ステージ3	Dooms day?!	
120004	ステージ4	Dooms day!!!	
1210	《NARRATIVE》	新魔王の登場	ここに3代目魔王が降臨…
121001	ステージ1	《HARD》 Dooms day!	
121002	ステージ2	《HARD》 Dooms day!!	
121003	ステージ3	《HARD》 Dooms day?!	
121004	ステージ4	《HARD》 Dooms day!!!	
1300	《NARRATIVE》	冷たい花	悪魔に憧れる少女の闇。
130001	ステージ1	ストーカー	
130002	ステージ2	追跡者	
130003	ステージ3	冷たい花Ⅰ	
130004	ステージ4	かくれんぼ	
130005	ステージ5	冷たい花Ⅱ	
130006	ステージ6	ライアーゲーム	
130007	ステージ7	冷たい花Ⅲ	
130008	ステージ8	静かなる狂気	
1310	《NARRATIVE》	冷たい花	悪魔に憧れる少女の闇。
131001	ステージ1	《HARD》ストーカー	
131002	ステージ2	《HARD》追跡者	
131003	ステージ3	《HARD》冷たい花Ⅰ	
131004	ステージ4	《HARD》かくれんぼ	
131005	ステージ5	《HARD》冷たい花Ⅱ	
131006	ステージ6	《HARD》ライアーゲーム	
131007	ステージ7	《HARD》冷たい花Ⅲ	
131008	ステージ8	《HARD》静かなる狂気	
1400	《NARRATIVE》	守るべき正義	人それぞれに、譲れない思いが…
140001	ステージ1	暗闇の中の光	
140002	ステージ2	泥沼	
140003	ステージ3	守るべき正義Ⅰ	
140004	ステージ4	過去の清算	
140005	ステージ5	守るべき正義Ⅱ	
140006	ステージ6	古い記憶	
140007	ステージ7	守るべき正義Ⅲ	
140008	ステージ8	進むべき道	
1410	《NARRATIVE》	守るべき正義	人それぞれに、譲れない思いが…
141001	ステージ1	《HARD》暗闇の中の光	
141002	ステージ2	《HARD》泥沼	
141003	ステージ3	《HARD》守るべき正義Ⅰ	
141004	ステージ4	《HARD》過去の清算	
141005	ステージ5	《HARD》守るべき正義Ⅱ	
141006	ステージ6	《HARD》古い記憶	
141007	ステージ7	《HARD》守るべき正義Ⅲ	
141008	ステージ8	《HARD》進むべき道	
1500	《NARRATIVE》	Re:build	新しいミダスの誕生秘話。
150001	ステージ1	逃避	
150002	ステージ2	罪	
150003	ステージ3	Re:buildⅠ	
150004	ステージ4	爆誕	
150005	ステージ5	Re:buildⅡ	
150006	ステージ6	四天王	
150007	ステージ7	Re:buildⅢ	
150008	ステージ8	兄と弟	
1510	《NARRATIVE》	Re:build	新しいミダスの誕生秘話。
151001	ステージ1	《HARD》逃避	
151002	ステージ2	《HARD》罪	
151003	ステージ3	《HARD》Re:buildⅠ	
151004	ステージ4	《HARD》爆誕	
151005	ステージ5	《HARD》Re:buildⅡ	
151006	ステージ6	《HARD》四天王	
151007	ステージ7	《HARD》Re:buildⅢ	
151008	ステージ8	《HARD》兄と弟	
1600	《NARRATIVE》	致命的なL♥VE	悦楽に咲く紅い薔薇の夢。
160001	ステージ1	致命的なL♥VEⅠ	
160002	ステージ2	心停止	
160003	ステージ3	致命的なL♥VEⅡ	
160004	ステージ4	出血性ショックⅠ	
160005	ステージ5	致命的なL♥VEⅢ	
160006	ステージ6	出血性ショックⅡ	
160007	ステージ7	致命的なL♥VE Ⅳ	
160008	ステージ8	臨死体験	
1610	《NARRATIVE》	致命的なL♥VE	悦楽に咲く紅い薔薇の夢。
161001	ステージ1	《HARD》致命的なL♥VEⅠ	
161002	ステージ2	《HARD》心停止	
161003	ステージ3	《HARD》致命的なL♥VE Ⅱ	
161004	ステージ4	《HARD》出血性ショックⅠ	
161005	ステージ5	《HARD》致命的なL♥VE Ⅲ	
161006	ステージ6	《HARD》出血性ショックⅡ	
161007	ステージ7	《HARD》致命的なL♥VE Ⅳ	
161008	ステージ8	《HARD》臨死体験	
1700	《NARRATIVE》	光と、闇と	少女と出会った対なる2人の後日談
170001	ステージ1	BE THERE	
170002	ステージ2	光と闇とⅠ	
170003	ステージ3	OVERLAP	
170004	ステージ4	Athena	
170005	ステージ5	想い出	
170006	ステージ6	Pallas	
170007	ステージ7	光と闇とⅡ	
170008	ステージ8	BE TOGETHER	
1710	《NARRATIVE》	光と、闇と	少女と出会った対なる2人の後日談
171001	ステージ1	《HARD》BE THERE	
171002	ステージ2	《HARD》光と闇とⅠ	
171003	ステージ3	《HARD》OVERLAP	
171004	ステージ4	《HARD》Athena	
171005	ステージ5	《HARD》想い出	
171006	ステージ6	《HARD》Pallas	
171007	ステージ7	《HARD》光と闇とⅡ	
171008	ステージ8	《HARD》BE TOGETHER	
1900	《NARRATIVE》	永遠の誓い	バートリーが出会った運命の少女
190001	ステージ1	永遠の誓いⅠ	
190002	ステージ2	出会い	
190003	ステージ3	永遠の誓いⅡ	
190004	ステージ4	続く物語	
190005	ステージ5	永遠の誓いⅢ	
190006	ステージ6	同伴者	
190007	ステージ7	永遠の誓いⅣ	
190008	ステージ8	硝子のロザリオ	
1910	《NARRATIVE》	永遠の誓い	バートリーが出会った運命の少女
191001	ステージ1	《HARD》永遠の誓いⅠ	
191002	ステージ2	《HARD》出会い	
191003	ステージ3	《HARD》永遠の誓いⅡ	
191004	ステージ4	《HARD》続く物語	
191005	ステージ5	《HARD》永遠の誓いⅢ	
191006	ステージ6	《HARD》同伴者	
191007	ステージ7	《HARD》永遠の誓いⅣ	
191008	ステージ8	《HARD》硝子のロザリオ	
2000	《NARRATIVE》	Dual block buster	ステージに太陽は2つもいらない！\騙し、騙され…最後に勝利を掴み取るのは！
200001	ステージ1	Dual block busterⅠ	空欄
200002	ステージ2	Breaking news	空欄
200003	ステージ3	Dual block busterⅡ	空欄
200004	ステージ4	Dead mic	空欄
200005	ステージ5	Dual block busterⅢ	空欄
200006	ステージ6	Block buster show	空欄
200007	ステージ7	Dual block busterⅣ	空欄
200008	ステージ8	Prime time	空欄
2010	《NARRATIVE》	Dual block buster	ステージに太陽は2つもいらない！\騙し、騙され…最後に勝利を掴み取るのは！
201001	ステージ1	HARD Dual block busterⅠ	空欄
201002	ステージ2	HARD Breaking news	空欄
201003	ステージ3	HARD Dual block busterⅡ	空欄
201004	ステージ4	HARD Dead mic	空欄
201005	ステージ5	HARD Dual block busterⅢ	空欄
201006	ステージ6	HARD Block buster show	空欄
201007	ステージ7	HARD Dual block busterⅣ	空欄
201008	ステージ8	HARD Prime time	空欄
2100	《NARRATIVE》	My Dear	バレンタインデーのスイートでビターな事件！？
210001	ステージ1	My Dear	
210002	ステージ2	どんなチョコが好き？	
210003	ステージ3	My Dear	
210004	ステージ4	大事なプレゼント	
210005	ステージ5	My Dear	
210006	ステージ6	チョコケーキ盗難事件	
210007	ステージ7	My Dear	
210008	ステージ8	心を込めて	
2110	《NARRATIVE》	My Dear	バレンタインデーのスイートでビターな事件！？
211001	ステージ1	《HARD》My Dear	
211002	ステージ2	《HARD》どんなチョコが好き？	
211003	ステージ3	《HARD》My Dear	
211004	ステージ4	《HARD》大事なプレゼント	
211005	ステージ5	《HARD》My Dear	
211006	ステージ6	《HARD》チョコケーキ盗難事件	
211007	ステージ7	《HARD》My Dear	
211008	ステージ8	《HARD》心を込めて	
2200	《NARRATIVE》	THE REVELATION	混沌と虚無、暗黒の深淵より生まれし小さな光。
220001	ステージ1	啓示Ⅰ	
220002	ステージ2	探偵と悪魔信者	
220003	ステージ3	啓示Ⅱ	
220004	ステージ4	契約と記憶	
220005	ステージ5	啓示Ⅲ	
220006	ステージ6	祈りの香煙	
220007	ステージ7	啓示Ⅳ	
220008	ステージ8	神の啓示	
2210	《NARRATIVE》	THE REVELATION	混沌と虚無、暗黒の深淵より生まれし小さな光。
221001	ステージ1	《HARD》啓示Ⅰ	
221002	ステージ2	《HARD》探偵と悪魔信者	
221003	ステージ3	《HARD》啓示Ⅱ	
221004	ステージ4	《HARD》契約と記憶	
221005	ステージ5	《HARD》啓示Ⅲ	
221006	ステージ6	《HARD》祈りの香煙	
221007	ステージ7	《HARD》啓示Ⅳ	
221008	ステージ8	《HARD》神の啓示	
2400	《NARRATIVE》	Re:birth LAB HISTORIA	知られざる悪魔式錬金術研究所の過去
240001	ステージ1	Evil Tablet	無
240002	ステージ2	美しさについて	無
240003	ステージ3	Evil Tablet	無
240004	ステージ4	カノン	無
240005	ステージ5	Evil Tablet	無
240006	ステージ6	耽美	無
240007	ステージ7	Evil Tablet	無
240008	ステージ8	Re:birth LAB	無
2410	《NARRATIVE》	Re:birth LAB HISTORIA	知られざる悪魔式錬金術研究所の過去
241001	ステージ1	HARD Evil Tablet	無
241002	ステージ2	HARD 美しさについて	無
241003	ステージ3	HARD Evil Tablet	無
