// key	ITEM_OPTION_NAME_	ITEM_OPTION_MAX_VALUE_TYPE_
11000011	機敏性の{value}をクリティカルに追加	追加最大値制限
11000012	機敏性の{value}をクリティカルに追加	追加最大値制限
11000013	機敏性の{value}をクリティカルに追加	追加最大値制限
11000014	機敏性の{value}をクリティカルに追加	追加最大値制限
11000015	機敏性の{value}をクリティカルに追加	追加最大値制限
11000016	機敏性の{value}をクリティカルに追加	追加最大値制限
11000021	防御力の{value}をクリティカルに追加	追加最大値制限
11000022	防御力の{value}をクリティカルに追加	追加最大値制限
11000023	防御力の{value}をクリティカルに追加	追加最大値制限
11000024	防御力の{value}をクリティカルに追加	追加最大値制限
11000025	防御力の{value}をクリティカルに追加	追加最大値制限
11000026	防御力の{value}をクリティカルに追加	追加最大値制限
11000031	機敏性の{value}をHPに追加	追加最大値制限
11000032	機敏性の{value}をHPに追加	追加最大値制限
11000033	機敏性の{value}をHPに追加	追加最大値制限
11000034	機敏性の{value}をHPに追加	追加最大値制限
11000035	機敏性の{value}をHPに追加	追加最大値制限
11000036	機敏性の{value}をHPに追加	追加最大値制限
11000041	機敏性の{value}を攻撃力に追加	追加最大値制限
11000042	機敏性の{value}を攻撃力に追加	追加最大値制限
11000043	機敏性の{value}を攻撃力に追加	追加最大値制限
11000044	機敏性の{value}を攻撃力に追加	追加最大値制限
11000045	機敏性の{value}を攻撃力に追加	追加最大値制限
11000046	機敏性の{value}を攻撃力に追加	追加最大値制限
11000051	クリティカルの{value}をHPに追加	追加最大値制限
11000052	クリティカルの{value}をHPに追加	追加最大値制限
11000053	クリティカルの{value}をHPに追加	追加最大値制限
11000054	クリティカルの{value}をHPに追加	追加最大値制限
11000055	クリティカルの{value}をHPに追加	追加最大値制限
11000056	クリティカルの{value}をHPに追加	追加最大値制限
11000061	攻撃力の{value}をクリティカルに追加	追加最大値制限
11000062	攻撃力の{value}をクリティカルに追加	追加最大値制限
11000063	攻撃力の{value}をクリティカルに追加	追加最大値制限
11000064	攻撃力の{value}をクリティカルに追加	追加最大値制限
11000065	攻撃力の{value}をクリティカルに追加	追加最大値制限
11000066	攻撃力の{value}をクリティカルに追加	追加最大値制限
11000071	防御力の{value}を攻撃力に追加	追加最大値制限
11000072	防御力の{value}を攻撃力に追加	追加最大値制限
11000073	防御力の{value}を攻撃力に追加	追加最大値制限
11000074	防御力の{value}を攻撃力に追加	追加最大値制限
11000075	防御力の{value}を攻撃力に追加	追加最大値制限
11000076	防御力の{value}を攻撃力に追加	追加最大値制限
11000081	防御力の{value}をHPに追加	追加最大値制限
11000082	防御力の{value}をHPに追加	追加最大値制限
11000083	防御力の{value}をHPに追加	追加最大値制限
11000084	防御力の{value}をHPに追加	追加最大値制限
11000085	防御力の{value}をHPに追加	追加最大値制限
11000086	防御力の{value}をHPに追加	追加最大値制限
11000091	HPの{value}をクリティカルに追加	追加最大値制限
11000092	HPの{value}をクリティカルに追加	追加最大値制限
11000093	HPの{value}をクリティカルに追加	追加最大値制限
11000094	HPの{value}をクリティカルに追加	追加最大値制限
11000095	HPの{value}をクリティカルに追加	追加最大値制限
11000096	HPの{value}をクリティカルに追加	追加最大値制限
11000101	クリティカルの{value}を攻撃力に追加	追加最大値制限
11000102	クリティカルの{value}を攻撃力に追加	追加最大値制限
11000103	クリティカルの{value}を攻撃力に追加	追加最大値制限
11000104	クリティカルの{value}を攻撃力に追加	追加最大値制限
11000105	クリティカルの{value}を攻撃力に追加	追加最大値制限
11000106	クリティカルの{value}を攻撃力に追加	追加最大値制限
11000111	攻撃力の{value}をHPに追加	追加最大値制限
11000112	攻撃力の{value}をHPに追加	追加最大値制限
11000113	攻撃力の{value}をHPに追加	追加最大値制限
11000114	攻撃力の{value}をHPに追加	追加最大値制限
11000115	攻撃力の{value}をHPに追加	追加最大値制限
11000116	攻撃力の{value}をHPに追加	追加最大値制限
11000121	HPの{value}を攻撃力に追加	追加最大値制限
11000122	HPの{value}を攻撃力に追加	追加最大値制限
11000123	HPの{value}を攻撃力に追加	追加最大値制限
11000124	HPの{value}を攻撃力に追加	追加最大値制限
11000125	HPの{value}を攻撃力に追加	追加最大値制限
11000126	HPの{value}を攻撃力に追加	追加最大値制限
11000131	クリティカル{value}増加	(none)
11000132	クリティカル{value}増加	(none)
11000133	クリティカル{value}増加	(none)
11000134	クリティカル{value}増加	(none)
11000135	クリティカル{value}増加	(none)
11000136	クリティカル{value}増加	(none)
11000141	HP{value}増加	(none)
11000142	HP{value}増加	(none)
11000143	HP{value}増加	(none)
11000144	HP{value}増加	(none)
11000145	HP{value}増加	(none)
11000146	HP{value}増加	(none)
11000151	攻撃力{value}増加	(none)
11000152	攻撃力{value}増加	(none)
11000153	攻撃力{value}増加	(none)
11000154	攻撃力{value}増加	(none)
11000155	攻撃力{value}増加	(none)
11000156	攻撃力{value}増加	(none)
11000161	全ステータス{value}増加	(none)
11000162	全ステータス{value}増加	(none)
11000163	全ステータス{value}増加	(none)
11000164	全ステータス{value}増加	(none)
11000165	全ステータス{value}増加	(none)
11000166	全ステータス{value}増加	(none)
11900006	HP{value}を攻撃力に追加	追加最大値制限
12000011	ノーマルスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000012	ノーマルスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000013	ノーマルスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000014	ノーマルスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000015	ノーマルスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000016	ノーマルスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000021	スライドスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000022	スライドスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000023	スライドスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000024	スライドスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000025	スライドスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000026	スライドスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000031	ドライブスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000032	ドライブスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000033	ドライブスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
12000034	ドライブスキル攻撃時、クリティカルの{value}をダメージに追加	追加最大値制限
