// key	MAIL_SENDER_	MAIL_TITLE_	MAIL_TEXT_
1	营运团队	购买特典	赠送商店购买特典。
1000	A.I	恶斗擂台奖励	你从恶斗擂台广播员A.I那里获得了一份联赛阶级奖励。\\「你获得了[reason]点恶斗点数！继续保持下去吧！」
10000	莫娜	单位奖励	你因完成了一个团队而获得了一份奖励。
1001	A.I	恶斗擂台奖励	你从恶斗擂台广播员A.I那里获得了一份排名奖励。\\「恭喜你达到了第[reason]名！\能见到你茁壮成长，我感到很高兴！继续保持下去吧！」
1002	A.I	恶斗擂台奖励	你因为贏得对手挑战而获得了一份奖励！
1003	GM	GM猎人活动奖励	你因为打败了GM而获得了一个加成奖励。
1004	A.I	恶斗擂台里程奖励	你获得了一份恶斗擂台里程奖励。
1005	管理队伍	无限决斗奖励	你的无尽对决排名奖励。
1006	管理队伍	无限决斗奖励	你的无尽对决排名奖励。
1007	管理队伍	先锋对决奖励	你的无尽对决排名奖励。
1008	管理队伍	先锋对决奖励	你的无尽对决排名奖励。
1009	管理队伍	进阶对决奖励	你的无尽对决排名奖励。
1010	管理队伍	进阶对决奖励	你的无尽对决排名奖励。
11	营运团队	首次购买	购买活动：首次购买加成奖励。
11000	莫娜	召唤LIVE捐献	观看你的召唤LIVE的好友对你捐献了！
11001	莫娜	召唤LIVE奖励	你收到了一份召唤LIVE参与奖励。
11002	莫娜	召唤LIVE奖励	你在召唤LIVE期间贏得了一张召唤券！
11003	莫娜	召唤LIVE奖励	你获得了一个3★Double奖励。
11004	莫娜	召唤LIVE奖励	你获得了一个3★Triple奖励。
11005	莫娜	召唤LIVE奖励	你获得了一个3★Quadra奖励。
11006	莫娜	召唤LIVE奖励	你获得了一个3★Penta奖励。
11007	莫娜	召唤LIVE奖励	你获得了一个3★Hexa奖励。
11008	莫娜	召唤LIVE奖励	你获得了一个4★Double奖励。
11009	莫娜	召唤LIVE奖励	你获得了一个4★Triple奖励。
11010	莫娜	召唤LIVE奖励	你获得了一个4★Quadra奖励。
11011	莫娜	召唤LIVE奖励	你获得了一个4★Penta奖励。
11012	莫娜	召唤LIVE奖励	你获得了一个4★Hexa奖励。
11013	莫娜	召唤LIVE奖励	你获得了一个5★Double奖励。
11014	莫娜	召唤LIVE奖励	你获得了一个5★Triple奖励。
11015	莫娜	召唤LIVE奖励	你获得了一个5★Quadra奖励。
11016	莫娜	召唤LIVE奖励	你获得了一个5★Penta奖励。
11017	莫娜	召唤LIVE奖励	你获得了一个5★Hexa奖励。
12	营运团队	累计充值	购买活动：累计充值加成奖励。
12000	莫娜	召唤奖励	你获得了一个3★Double奖励。
12001	莫娜	召唤奖励	你获得了一个3★Triple奖励。
12002	莫娜	召唤奖励	你获得了一个3★Quadra奖励。
12003	莫娜	召唤奖励	你获得了一个3★Penta奖励。
12004	莫娜	召唤奖励	你获得了一个3★Hexa奖励。
12005	莫娜	召唤奖励	你获得了一个4★Double奖励。
12006	莫娜	召唤奖励	你获得了一个4★Triple奖励。
12007	莫娜	召唤奖励	你获得了一个4★Quadra奖励。
12008	莫娜	召唤奖励	你获得了一个4★Penta奖励。
12009	莫娜	召唤奖励	你获得了一个4★Hexa奖励。
12010	莫娜	召唤奖励	你获得了一个5★Double奖励。
12011	莫娜	召唤奖励	你获得了一个5★Triple奖励。
12012	莫娜	召唤奖励	你获得了一个5★Quadra奖励。
12013	莫娜	召唤奖励	你获得了一个5★Penta奖励。
12014	莫娜	召唤奖励	你获得了一个5★Hexa奖励。
12100	运营团队	召唤加成	你的召唤加成。
13	营运团队	今日充值	购买活动：今日充值加成奖励。
13002	巴托里	致亲爱的恶魔	谢谢你的友谊与信任。\保重身体。\愿神保佑你。
14100	运营团队	世界BOSS每季排名奖励	这是你跻身世界BOSS每季排名第{max}名应得的奖励。\感谢你的参与。
14200	运营团队	世界BOSS每季排名奖励	这是你跻身世界BOSS每季排名第{min}名到第{max}名之间应得的奖励。\感谢你的参与。
14300	运营团队	世界BOSS每季排名奖励	这是你跻身世界BOSS每季排名第{max}%%名到第{min}%%名之间应得的奖励。\感谢你的参与。
14400	营运团队	世界BOSS每季排名奖励	这是你跻身世界BOSS每季排名第{max}%%名应得的奖励。\感谢你的参与。
14500	营运团队	世界BOSS每季排名奖励	这是你跻身世界BOSS每季排名第{max}%%名到第{min}%%名之间应得的奖励。\感谢你的参与。
15	营运团队	累计召唤	购买活动：累计召唤加成奖励。
15000	布朗尼	弑神奖励	这是您的弑神排名奖励！
15100	布朗尼	诸神排名奖励	这是您的诸神排名奖励！
15200	布朗尼	交换诸神点数	诸神强袭剩余诸神点数已兑换完毕！ \感谢你的参与！
15300	布朗尼	诸神：爆发票券交换	诸神强袭剩余诸神：爆发票券已兑换完毕！ \感谢你的参与！
16	营运团队	今日召唤	购买活动：今日召唤加成奖励。
2	营运团队	购买活动特典	赠送在活动期间内商店购买特典。
2000	莫娜	觉醒奖励	恭喜你进行了觉醒！这是送给你的召唤券
20000	营运团队	CBT奖励	此赫耳墨斯召唤券已作为额外的特殊奖品\送给了完成CBT魔鬼狂欢节的玩家。
20001	营运团队	事先登录特典	你收到了一份事先登录特殊奖励！
20002	营运团队	事先登录特典	「30万人」事先登录达成！有额外的特殊礼物要送给你！
20003	营运团队	事先登录特典	「50万人」事先登录达成！有额外的特殊礼物要送给你！
20004	营运团队	事先登录特典	「70万人」事先登录达成！有额外的特殊礼物要送给你！
20005	营运团队	事先登录特典	「100万人」事先登录达成！有额外的特殊礼物要送给你！
2001	莫娜	觉醒加成奖励	恭喜你进行了觉醒。
2002	营运团队	成长奖励	你的Child已达到最高等级，因此你获得了一份成长奖励。
21	运营团队	绯红商店物品	从绯红商店购入的物品。
3	运营团队	连续购买奖励	商店购买特典。
3000	丽莎	任务完成奖励	你获得了一份通关奖励！
31	管理队伍	购买特典	从Codashop获得额外购买特典
4000	营运团队	登录奖励	你获得了一份登录奖励。
4001	营运团队	连续登录奖励	你获得了连续登录奖励。
4002	营运团队	8日的约定奖励	你获得了8日的约定奖励。
4003	妮可	紧急支援	特别礼物来了。
4004	运营团队	道具收集活动奖励	你获得了物品收集活动奖励。
4005	运营团队	回归登录奖励	你获得了登录奖励
4100	运营团队	高级点名册奖励	完成第[reason]次登录的高级点名册奖励
4101	运营团队	高级点名册奖励	完成所有登录的最終高级点名册奖励。
5000	莫娜	友谊战	你获得了一份与好友进行友谊战的礼物。
50000	莫娜	候补生升级奖励	莫娜刺激的升级奖励！
50001	运营团队	商店奖励	你获得了商店奖励。
50006	管理队伍	内容奖励	你获得了一个内容奖励。
5001	莫娜	好友礼物	好友送来了一份礼物呢。快来领取它吧！
50011	运营团队	Devil Pass奖励	你获得了Devil Pass奖励。
50012	管理队伍	Mission Pass奖励	你获得了Mission Pass奖励。
5002	莫娜	好友支援	请确认你参与好友的战斗而获得的道具。
6000	莫娜	友情点数扭蛋	从友情点数扭蛋中所获得的物品。
7000	莫娜	宝箱礼物	从宝箱中所获得的物品。
8000	营运团队	每日支援服务特典	每日支援服务特典。
8999	管理员团队	每日支援服务系统更新与补偿	伴随每日支援服务系统的更新，我们将立即发放当期所有剩余的水晶。详情请见公告。
90	营运团队	取得票券	领取你所选择的票券。
9000	营运团队	促销代码特典	使用促销代码所获得的特典物品。
91	琉刻	玛门的支援	这是你的玛门合理的支援奖励。
