// key	MAIL_SENDER_	MAIL_TITLE_	MAIL_TEXT_
1	Équipe d'administration	Bonus d'achat	Un cadeau bonus pour avoir fait des achats dans la boutique.
1000	A.I	Récompense de mêlée démoniaque	A.I, la présentatrice de la mêlée démoniaque, vous a donné une récompense de ligue.\\"Vous avez obtenu de points de mêlée de [reason] ! Continuez comme ça !"
10000	Mona	Récompense de groupe	Vous avez gagné une récompense pour avoir terminé une unité.
1001	A.I	Récompense de mêlée démoniaque	A.I, la présentatrice de la mêlée démoniaque, vous a donné une récompense de classement.\\"Bravo pour avoir obtenu [reason] !\C'est génial de vous voir faire des progrès ! Continuez comme ça !"
1002	A.I	Récompense de mêlée démoniaque	Vous avez gagné une récompense pour avoir remporté le défi de rival !
1003	MJ	Récompense d'événement Chasseur de MJ	Vous avez gagné un bonus pour avoir battu un MJ.
1004	A.I	Récompense d'activité de mêlée démoniaque	Vous avez gagné une récompense d'activité de la mêlée démoniaque.
1005	Équipe d'administration	Récompense de Duel sans fin	Votre récompense de rang pour le Duel sans fin.
1006	Équipe d'administration	Récompense de Duel sans fin	Votre récompense de rang pour le Duel sans fin.
1007	Équipe d'administration	Récompense de Duel de frontière	Votre récompense de rang pour le Duel sans fin.
1008	Équipe d'administration	Récompense de Duel de frontière	Votre récompense de rang pour le Duel sans fin.
1009	Équipe d'administration	Récompense de Duel expert	Votre récompense de rang pour le Duel sans fin.
1010	Équipe d'administration	Récompense de Duel expert	Votre récompense de rang pour le Duel sans fin.
11	Équipe d'administration	Premier achat	Événement d'achat : bonus de premier achat.
11000	Mona	Don pour invocation en direct	Un ami qui a regardé votre invocation en direct vous a envoyé un don !
11001	Mona	Récompense d'invocation en direct	Vous avez reçu une récompense de participation à une invocation en direct.
11002	Mona	Récompense d'invocation en direct	Vous avez gagné un ticket d'invocation pendant une invocation en direct !
11003	Mona	Récompense d'invocation en direct	Vous avez reçu une double récompense 3★.
11004	Mona	Récompense d'invocation en direct	Vous avez reçu une triple récompense 3★.
11005	Mona	Récompense d'invocation en direct	Vous avez reçu une quadruple récompense 3★.
11006	Mona	Récompense d'invocation en direct	Vous avez reçu une quintuple récompense 3★.
11007	Mona	Récompense d'invocation en direct	Vous avez reçu une sextuple récompense 3★.
11008	Mona	Récompense d'invocation en direct	Vous avez reçu une double récompense 4★.
11009	Mona	Récompense d'invocation en direct	Vous avez reçu une triple récompense 4★.
11010	Mona	Récompense d'invocation en direct	Vous avez reçu une quadruple récompense 4★.
11011	Mona	Récompense d'invocation en direct	Vous avez reçu une quintuple récompense 4★.
11012	Mona	Récompense d'invocation en direct	Vous avez reçu une sextuple récompense 4★.
11013	Mona	Récompense d'invocation en direct	Vous avez reçu une double récompense 5★.
11014	Mona	Récompense d'invocation en direct	Vous avez reçu une triple récompense 5★.
11015	Mona	Récompense d'invocation en direct	Vous avez reçu une quadruple récompense 5★.
11016	Mona	Récompense d'invocation en direct	Vous avez reçu une quintuple récompense 5★.
11017	Mona	Récompense d'invocation en direct	Vous avez reçu une sextuple récompense 5★.
12	Équipe d'administration	Charge complète	Événement d'achat : bonus de charge complète.
12000	Mona	Récompense d'invocation	Vous avez reçu une double récompense 3★.
12001	Mona	Récompense d'invocation	Vous avez reçu une triple récompense 3★.
12002	Mona	Récompense d'invocation	Vous avez reçu une quadruple récompense 3★.
12003	Mona	Récompense d'invocation	Vous avez reçu une quintuple récompense 3★.
12004	Mona	Récompense d'invocation	Vous avez reçu une sextuple récompense 3★.
12005	Mona	Récompense d'invocation	Vous avez reçu une double récompense 4★.
12006	Mona	Récompense d'invocation	Vous avez reçu une triple récompense 4★.
12007	Mona	Récompense d'invocation	Vous avez reçu une quadruple récompense 4★.
12008	Mona	Récompense d'invocation	Vous avez reçu une quintuple récompense 4★.
12009	Mona	Récompense d'invocation	Vous avez reçu une sextuple récompense 4★.
12010	Mona	Récompense d'invocation	Vous avez reçu une double récompense 5★.
12011	Mona	Récompense d'invocation	Vous avez reçu une triple récompense 5★.
12012	Mona	Récompense d'invocation	Vous avez reçu une quadruple récompense 5★.
12013	Mona	Récompense d'invocation	Vous avez reçu une quintuple récompense 5★.
12014	Mona	Récompense d'invocation	Vous avez reçu une sextuple récompense 5★.
12100	Équipe d'administration	Bonus d'invocation	Vos bonus d'invocation.
13	Équipe d'administration	Charge quotidienne	Événement d'achat : bonus de charge quotidienne.
13002	Bathory	Cher démon	Merci de votre amitié et de votre confiance. \J'espère que tout va bien. \Portez-vous le mieux possible.
14100	Équipe d'administration	Récompense de rang saisonnier (boss majeur)	Récompense pour avoir atteint le rang saisonnier {max} (boss majeur).\Merci de votre participation.
14200	Équipe d'administration	Récompense de rang saisonnier (boss majeur)	Récompense pour avoir atteint un rang saisonnier entre {min} et {max} (boss majeur).\Merci de votre participation.
