// key	SUMMON_SCROLL_NAME_	SUMMON_SCROLL_DESCRIPTION_
1001	3-5★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>3★</color></size> à <size=1.1><color=ffc400>5★</color></size>\du groupe des invocations premium.
1002	1-3★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>1★</color></size> à <size=1.1><color=ffc400>3★</color></size>\du groupe de l'invocation d'or.
1003	4-5★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>4★</color></size> à <size=1.1><color=ffc400>5★</color></size>\du groupe des invocations premium.
1004	2-4★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>2★</color></size> à <size=1.1><color=ffc400>4★</color></size>\du groupe de l'invocation d'or.
1005	1-5★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>1★</color></size> à <size=1.1><color=ffc400>5★</color></size>\du groupe de l'invocation d'or.
1006	1-2★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>1★</color></size> à <size=1.1><color=ffc400>2★</color></size>\du groupe de l'invocation d'or.
1007	2-3★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>2★</color></size> à <size=1.1><color=ffc400>3★</color></size>\du groupe de l'invocation d'or.
1008	3-4★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>3★</color></size> à <size=1.1><color=ffc400>4★</color></size>\du groupe des invocations premium.
1101	3★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>3★</color></size>\du groupe des invocations premium.
1102	4★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>4★</color></size>\du groupe des invocations premium.
1103	5★_Ticket de child	Invoquez un <size=1.1><color=ffff33><b>Child</b></color></size> <size=1.1><color=ffc400>5★</color></size>\du groupe des invocations premium.
1201	3-5★_Ticket de child amélioré	Invoque un Child d'amélioration.
1202	1-5★_Ticket de child amélioré	Invoque un Child d'amélioration.
1203	1-3★_Ticket de child amélioré	Invoque un Child d'amélioration.
1204	3★_Ticket de child amélioré	Invoque un Child d'amélioration.
1205	4★_Ticket de child amélioré	Invoque un Child d'amélioration.
1206	5★_Ticket de child amélioré	Invoque un Child d'amélioration.
1400	Ticket de child Eau 5★	Invoquez un <size=1.1><color=ffc400>Child 5★</color> de <color=2287d8>type Eau</color></size>\du groupe des invocations premium.
1401	Ticket d'invoc. de Child 5★	Ticket d'invocation de Child 5★ vous permettant d'obtenir Iâh, Syrinx, Ève ou Jupiter.
1402	Ticket de child Ombre 5★	
1403	5★ Child Summon Ticket (Event)	5★ Child Summon Ticket that summons one of the following Childs: Myrina, Dana, Maat, or Patheon
1404	Ticket d'invocation de Child 5★	Ticket d'invocation de Child 5★ vous permettant d'obtenir Hadès, Dana, Freyr, Medb ou Métis.
1405	Ticket d'invocation de Child d'Eau 5★	Ticket d'invocation de Child d'Eau 5★ vous permettant d'obtenir un Child d'Eau 5★ (notamment Lisa antiténèbres).
1406	Ticket d'invocation de Child 5★	Ticket d'invocation de Child 5★ vous permettant d'obtenir Ève, Naïade, Mars ou le Père Noël.
1407	Ticket d'invocation de Child 5★	Ticket d'invocation de Child 5★ vous permettant d'obtenir Maât, Maât libre, Chang'e ou Chang'e gardienne.
1408	Ticket d'invocation de Child d'Eau 5★	Ticket d'invocation de Child 5★ vous permettant d'obtenir Thanatos, Iâh, Ève, Naïade, Mars, Roussalka, Chang'e ou Calypso.
1409	Ticket de Child de type Bois 5★	Ticket d'invocation de Child vous permettant d'obtenir Serval, Midas, Abaddon, Mammon, Épona, Syrinx, Sirène ou Héra.
1410	Ticket de Child 5★	Ticket d'invocation de Child vous permettant d'obtenir Freyr, Panthéon, Maât ou Chang'e.
1411	Ticket de choix d'utilisateur I	Ticket permettant d'invoquer les 3 meilleurs Childs de soutien d'après le sondage.
1412	Ticket de choix d'utilisateur II	Ticket permettant d'invoquer les 3 meilleurs Childs affaiblisseurs d'après le sondage.
1413	Ticket du choix d'utilisateur	Ticket permettant d'invoquer les 3 meilleurs attaquants de la liste que vous avez choisie.
1414	Ticket d'invoc. de Child 5★	Ticket d'invocation de Child 5★ vous permettant d'obtenir Brownie, Epona, Krampus, ou Midas
1415	Ticket de choix d'utilisateur IV	Ticket permettant d'invoquer les 3 meilleurs Childs de Soigneur d'après le sondage.
1416	Ticket d'invocation de Child 5★	Ticket d'invocation de Child 5★ vous permettant d'obtenir Mafdet, Bastet, Arès, ou Jupiter.
