// key	ITEM_OPTION_NAME_	ITEM_OPTION_MAX_VALUE_TYPE_
11000011	Ajoute {value} de l'AGI au CRT	Ajout max limité
11000012	Ajoute {value} de l'AGI au CRT	Ajout max limité
11000013	Ajoute {value} de l'AGI au CRT	Ajout max limité
11000014	Ajoute {value} de l'AGI au CRT	Ajout max limité
11000015	Ajoute {value} de l'AGI au CRT	Ajout max limité
11000016	Ajoute {value} de l'AGI au CRT	Ajout max limité
11000021	Ajoute {value} de la DÉF au CRT	Ajout max limité
11000022	Ajoute {value} de la DÉF au CRT	Ajout max limité
11000023	Ajoute {value} de la DÉF au CRT	Ajout max limité
11000024	Ajoute {value} de la DÉF au CRT	Ajout max limité
11000025	Ajoute {value} de la DÉF au CRT	Ajout max limité
11000026	Ajoute {value} de la DÉF au CRT	Ajout max limité
11000031	Ajoute {value} de l'AGI aux PV	Ajout max limité
11000032	Ajoute {value} de l'AGI aux PV	Ajout max limité
11000033	Ajoute {value} de l'AGI aux PV	Ajout max limité
11000034	Ajoute {value} de l'AGI aux PV	Ajout max limité
11000035	Ajoute {value} de l'AGI aux PV	Ajout max limité
11000036	Ajoute {value} de l'AGI aux PV	Ajout max limité
11000041	Ajoute {value} de l'AGI à l'ATQ	Ajout max limité
11000042	Ajoute {value} de l'AGI à l'ATQ	Ajout max limité
11000043	Ajoute {value} de l'AGI à l'ATQ	Ajout max limité
11000044	Ajoute {value} de l'AGI à l'ATQ	Ajout max limité
11000045	Ajoute {value} de l'AGI à l'ATQ	Ajout max limité
11000046	Ajoute {value} de l'AGI à l'ATQ	Ajout max limité
11000051	Ajoute {value} du CRT aux PV	Ajout max limité
11000052	Ajoute {value} du CRT aux PV	Ajout max limité
11000053	Ajoute {value} du CRT aux PV	Ajout max limité
11000054	Ajoute {value} du CRT aux PV	Ajout max limité
11000055	Ajoute {value} du CRT aux PV	Ajout max limité
11000056	Ajoute {value} du CRT aux PV	Ajout max limité
11000061	Ajoute {value} de l'ATQ au CRT	Ajout max limité
11000062	Ajoute {value} de l'ATQ au CRT	Ajout max limité
11000063	Ajoute {value} de l'ATQ au CRT	Ajout max limité
11000064	Ajoute {value} de l'ATQ au CRT	Ajout max limité
11000065	Ajoute {value} de l'ATQ au CRT	Ajout max limité
11000066	Ajoute {value} de l'ATQ au CRT	Ajout max limité
11000071	Ajoute {value} de la DÉF à l'ATQ	Ajout max limité
11000072	Ajoute {value} de la DÉF à l'ATQ	Ajout max limité
11000073	Ajoute {value} de la DÉF à l'ATQ	Ajout max limité
11000074	Ajoute {value} de la DÉF à l'ATQ	Ajout max limité
11000075	Ajoute {value} de la DÉF à l'ATQ	Ajout max limité
11000076	Ajoute {value} de la DÉF à l'ATQ	Ajout max limité
11000081	Ajoute {value} de la DÉF aux PV	Ajout max limité
11000082	Ajoute {value} de la DÉF aux PV	Ajout max limité
11000083	Ajoute {value} de la DÉF aux PV	Ajout max limité
11000084	Ajoute {value} de la DÉF aux PV	Ajout max limité
11000085	Ajoute {value} de la DÉF aux PV	Ajout max limité
11000086	Ajoute {value} de la DÉF aux PV	Ajout max limité
11000091	Ajoute {value} des PV au CRT	Ajout max limité
11000092	Ajoute {value} des PV au CRT	Ajout max limité
11000093	Ajoute {value} des PV au CRT	Ajout max limité
11000094	Ajoute {value} des PV au CRT	Ajout max limité
11000095	Ajoute {value} des PV au CRT	Ajout max limité
11000096	Ajoute {value} des PV au CRT	Ajout max limité
