// key	CHARACTER_PROFILE_DESC_
c000_interest	
c000_like	
c000_love	
c000_profile	
c001_interest	這是魅魔的商業機密♥
c001_like	要上囉！
c001_love	請更加成熟一點…
c001_profile	魅魔的領導者。她的身上充滿著謎團。\雖然很喜歡誘惑和挑逗人，但她認真起來的表情會讓人知道她不是開玩笑的。和平時好相處的形象不同，她在準備戰鬥時是極為一絲不苟的。\由於在魔界的中心長大，她和在人界中生活大半輩子的主人公常常意見不同。
c002_interest	我會讓主人成為魔王的。
c002_like	就算是助手也需要休息。
c002_love	我會好好調教你的。
c002_profile	每天都準備好要24小時奮戰的工作狂魅魔。隨時都盡力保持著清晰和優雅的語調。\她曾經計畫著在魔王爭奪戰結束後，用她入手的財寶享受悠閒的退休生活。但時至今日，她已經快要放棄了。要讓主人公成為稍微像樣的惡魔，並當上魔王要花上多少時間啊？\她易怒的個性和過度依照計畫行事的天性，由於主人公的影響而開始有所改善。\就像人們常說的，人生不一定都會按照計畫進行…
c003_interest	我要去找莫娜姐姐！
c003_like	你這個雞冠頭笨蛋！
c003_love	哼！笨主人！
c003_profile	她的名字裡包含著無限的可能性…至少她是這麼宣稱的。\她頭腦簡單而且容易受騙。常常會因為一時興起而隨意行動。\她最在乎的只有莫娜，魔王爭奪戰對她而言僅僅是與莫娜一起渡過更多時光的好理由而已。她將主人公視為搶奪莫娜的情敵，並且稱呼他為「雞冠頭笨蛋」。\總之，以後還會繼續默默地在旁守護她…
c004_interest	來跟我一起玩吧，隊長！
c004_like	你只想…\利用我…對吧？
c004_love	我會助你一臂之力的，隊長！
c004_profile	一位孤獨的少女因為渴望獲得朋友，而向惡魔許下了願望。\而一名Child因此而誕生了，她最寶貴的事物是每天和她的朋友進行充滿逆境的冒險。其名為「處容」，名字原本的擁有者被視為外邦人，就像處容的契約者一樣。\是一位希望能全力奔跑，只為了向前方急速前進的魯莽少女。
c005_interest	最弱的惡魔？\真是沒用啊。
c005_like	我很擔心像你一樣的弱雞。
c005_love	我想我們可以當朋友…
c005_profile	她的名字繼承自戰爭之神「瑪爾斯」，表示出潛藏在她端莊外觀下的好戰個性。\在她完成復仇之前，會無止盡地戰鬥下去。對她來說，復仇的重要性遠遠超過讓主人公成為魔王這件事。她的契約者和「揶揄的摩墨斯」的契約者有些因緣，因此她也對揶揄的摩墨斯有些在意。\由於瑪爾斯著迷於策畫她的復仇，所以她總是無法和其他的Child們有良好的互動。
c007_interest	老子才不是派羅！
c007_like	打倒派羅！
c007_love	給我滾出來！派羅！
c007_profile	一名和「灼熱的派羅」共享契約者的Child。他認為派羅奪走了屬於他的地位。\從靈魂的碎片中誕生的他，處境就和從灰燼中誕生的不死鳥相似，因此被授予了這個名字。\他人生的終極目標就是擊敗派羅，並取而代之。\也許他真的會是派羅的好對手…
c008_interest	你只是個小鬼頭。
c008_like	你是強大的惡魔嗎？
c008_love	有機會的話，我想和你比試一下！
