// key	HELP_	DESCRIPTION_
1		
10	你想要更加了解你的Child们吗？\我找到了一位能告诉你详情的人哦♥	
11	试着造访夜世界内的<color=ffdf00>战斗区域</color>吧！	
12	现在我们知道那位<color=ffdf00>麻烦的驱魔师</color>是谁了。\作为一名恶魔，你不该生气吗？	
13	<color=ffdf00>试炼之塔</color>即将在夜世界里开放了，对吧？\主人，快到那里试试你的实力吧！	
14	请将你的道具托付给地下市场吧。\这么一来便可以轻松地进行<color=ffdf00>强化</color>了♥	
15	让你的Child们变得更强吧！试着使用素材来<color=ffdf00>强化Child</color>吧♥	
16	这名Child已达强化上限。\现在试着使用<color=ffdf00>合成选单</color>进行加强觉醒吧～	
2		
3	看来你已经去过了<color = "ffdf00">人界</ color>，并找到了一位契约者。\这就是你成为魔王的第一步♥	
4	看来你获得了一些水晶♥\那么现在就来试着<color=ffdf00>召唤</color>Child吧。	
5	你有很多契约者的灵魂！\现在试着网罗一些Child吧。	
6	获得Child后就能在战斗中善加运用他们！\试着通过Child选单将他们加入你的<color=ffdf00>队伍</color>。	
7	你现在正要去<color=ffdf00>商店</color>吧？\别忘了查看夜世界里的造型箱检查标志。	
8	你收到了来自<color=ffdf00>夜世界</color>的邀请函。\这些恶魔教徒真的很懂得如何引起你的注意呢♥	
9	试着将艾波娜派出去<color=ffdf00>探索</color>吧。\她会找到各式各样的道具哦♥	
