// key	SPECIAL_DUNGEON_NAME_	SPECIAL_DUNGEON_SECOND_NAME_	SPECIAL_DUNGEON_LOCATION_DESC_
1000		ฝันร้ายในวันคริสต์มาส	ในช่วงก่อนวันศักดิ์สิทธิ์ ปีศาจตนหนึ่งซ่อนตัวอยู่ในเงาแห่งความรื่นเริงในวันคริสต์มาส
100001	พื้นที่ 1	คริสต์มาสอีฟ	
100002	พื้นที่ 2	แครมปัส I	
100003	พื้นที่ 3	ค่ำคืนศักดิ์สิทธิ์	
100004	พื้นที่ 4	รูดอล์ฟ	
100005	พื้นที่ 5	ค่ำคืนศักดิ์สิทธิ์	
100006	พื้นที่ 6	ซานตาคลอส	
100007	พื้นที่ 7	ค่ำคืนศักดิ์สิทธิ์	
100008	พื้นที่ 8	แครมปัส II	
1100		ผู้สืบทอดเสาโอเบลิสก์	บัดนี้หอคอยแห่งการตัดสินได้ปรากฏท่ามกลางทะเลทรายที่ร้อนดั่งไฟ
110001	ด่าน 1	สุสานฟาโรห์ I	
110002	ด่าน 2	บาสต์	
110003	ด่าน 3	สุสานฟาโรห์ II	
110004	ด่าน 4	โฮรัส	
110005	ด่าน 5	สุสานฟาโรห์ III	
110006	ด่าน 6	คลีโอพัตรา	
110007	ด่าน 7	สุสานฟาโรห์ IV	
110008	ด่าน 8	การปรากฎตัวของฟาโรห์	
1200		ดอกไม้ต้องห้าม	สิ่งที่อยู่นอกเหนืออารมณ์ที่ผสมปนเปกันเหล่านี้คืออะไร?
120001	ด่าน 1	เตียงดอกบัวในสรวงสวรรค์ I	
120002	ด่าน 2	วิลโลว์ ดอร์ยัง	
120003	ด่าน 3	เตียงดอกบัวในสรวงสวรรค์ II	
120004	ด่าน 4	จาชองบี I	
120005	ด่าน 5	เตียงดอกบัวในสรวงสวรรค์ III	
120006	ด่าน 6	บาริ	
120007	ด่าน 7	เตียงดอกบัวในสรวงสวรรค์ IV	
120008	ด่าน 8	จาชองบี II	
1300		อาณาจักรที่น่าขยะแขยง	เจ้าวิญญาณที่น่าเวทนาในโลกที่ไม่อาจจะเยียวยาได้\เส้นทางของเจ้ามีแต่จะถลำลึกเข้าไปสู่หุบเขาแห่งความมืดมิด
130001	ด่าน 1	ค่ำคืนที่ชำระบาป 1	
130002	ด่าน 2	พิธีไล่ผีของปีศาจ	
130003	ด่าน 3	ค่ำคืนที่ชำระบาป 2	
130004	ด่าน 4	ปฏิบัติการช่วยชีวิต	
130005	ด่าน 5	ค่ำคืนที่ชำระบาป 3	
130006	ด่าน 6	ความลำพองใจของผู้คลั่งศาสนา	
130007	ด่าน 7	ค่ำคืนที่ชำระบาป 4	
130008	ด่าน 8	การฟื้นคืนชีพและการปลุกพลัง	
1400		ซัมเมอร์สแกนดัล	เบื่อศึกชิงบัลลังก์ราชาปีศาจใช่เปล่าล่ะ?\งั้นมุ่งหน้าออกไปยังเกาะแห่งความหลงใหลเถอะ! สวรรค์บนดินเลยล่ะ!
140001	ด่าน 1	เกาะแห่งความหลงใหล	
140002	ด่าน 2	รีสอร์ตที่สวยงาม	
140003	ด่าน 3	เกาะแห่งความหลงใหล	
140004	ด่าน 4	วอลเลย์บอลชายหาด	
140005	ด่าน 5	เกาะแห่งความหลงใหล	
140006	ด่าน 6	ปริศนาของลิงยักษ์	
140007	ด่าน 7	เกาะแห่งความหลงใหล	
