// key	BACKGROUND_GROUP_NAME_	BACKGROUND_GROUP_DESCRIPTION_
basic_1	พื้นหลังพื้นฐาน	-
scenario_101	พิเศษ	พื้นหลังพิเศษ
scenario_11	เมืองยามราตรี	เหล่าปีศาจหิวโหยเพ่นพ่านตามท้องถนน\ถ้าโชคดี คุณอาจพบปีศาจที่จะมอบพรวิเศษให้คุณ
scenario_12	สถานที่ศักดิ์สิทธิ์	อย่าประมาทแค่เพราะได้ยินคำว่าศักดิ์สิทธิ์\เพราะปีศาจหลายตนอยู่ภายใต้หน้ากากของเทวดา
scenario_13	บ่ายแสนสงบ	นี่คือเวลาที่แมวชอบนอนหลับ\เพราะฉะนั้นอย่าไปกวนพวกมันล่ะ!
scenario_14	ชนบทเขียวชอุ่ม	การออกนอกเมืองนี่แหละคือการผ่อนคลายที่ดีที่สุด\โมนา เจ้าตามข้ามาทำไม
scenario_15	เมืองในเงามืด	เมืองแห่งนี้คือศูนย์รวมความชั่วร้าย\และยิ่งเมืองอันตราย ปีศาจก็ยิ่งร้ายกาจ
scenario_16	บ้านเกิด	ปีศาจคือเพื่อนบ้านที่แสนดี\คำทักทายที่เป็นมิตรจะช่วยให้ปีศาจหายเหนื่อยจากการทำงาน
scenario_19	บรรยากาศภายในห้อง	เอ่อ ขอโทษที\บ้านเจ้านี่รกน่าดูเลยนะ
scenario_21	โลกแห่งความมืด	-
scenario_22	การท่องเที่ยวที่งดงาม	
