// key	EXP_CHAR_DUNGEON_NAME_	EXP_CHAR_DUNGEON_SECOND_NAME_	EXP_CHAR_DUNGEON_LOCATION_DESC_
100201	Newbie	Light Enhancement Dungeon	Everything I need to know, I learned in kindergarten. Start strong!
100202	Easy	Light Enhancement Dungeon	"Yesterday is history, tomorrow is a mystery, but today is a gift. That is why it is called the present." I gotta figure out what that means!
100203	Int.	Light Enhancement Dungeon	You couldn't pay me to work hard when I was younger, but I ain't young anymore!
100204	Adv.	Light Enhancement Dungeon	Even if you fail once or twice, you can succeed if you just keep trying. That's what I'm gonna do!
100205	Expert	Light Enhancement Dungeon	It's not about why you live, it's just about living. Once you make it this far, the rest is up to you!
100301	Newbie	Fire Enhancement Dungeon	Everything I need to know, I learned in kindergarten. Start strong!
100302	Easy	Fire Enhancement Dungeon	"Yesterday is history, tomorrow is a mystery, but today is a gift. That is why it is called the present." I gotta figure out what that means!
100303	Int.	Fire Enhancement Dungeon	You couldn't pay me to work hard when I was younger, but I ain't young anymore!
100304	Adv.	Fire Enhancement Dungeon	Even if you fail once or twice, you can succeed if you just keep trying. That's what I'm gonna do!
100305	Expert	Fire Enhancement Dungeon	It's not about why you live, it's just about living. Once you make it this far, the rest is up to you!
100401	Newbie	Water Enhancement Dungeon	Everything I need to know, I learned in kindergarten. Start strong!
100402	Easy	Water Enhancement Dungeon	"Yesterday is history, tomorrow is a mystery, but today is a gift. That is why it is called the present." I gotta figure out what that means!
100403	Int.	Water Enhancement Dungeon	You couldn't pay me to work hard when I was younger, but I ain't young anymore!
100404	Adv.	Water Enhancement Dungeon	Even if you fail once or twice, you can succeed if you just keep trying. That's what I'm gonna do!
100405	Expert	Water Enhancement Dungeon	It's not about why you live, it's just about living. Once you make it this far, the rest is up to you!
100501	Newbie	Wood Enhancement Dungeon	Everything I need to know, I learned in kindergarten. Start strong!
100502	Easy	Wood Enhancement Dungeon	"Yesterday is history, tomorrow is a mystery, but today is a gift. That is why it is called the present." I gotta figure out what that means!
100503	Int.	Wood Enhancement Dungeon	You couldn't pay me to work hard when I was younger, but I ain't young anymore!
100504	Adv.	Wood Enhancement Dungeon	Even if you fail once or twice, you can succeed if you just keep trying. That's what I'm gonna do!
100505	Expert	Wood Enhancement Dungeon	It's not about why you live, it's just about living. Once you make it this far, the rest is up to you!
100601	Newbie	Dark Enhancement Dungeon	Everything I need to know, I learned in kindergarten. Start strong!
100602	Easy	Dark Enhancement Dungeon	"Yesterday is history, tomorrow is a mystery, but today is a gift. That is why it is called the present." I gotta figure out what that means!
100603	Int.	Dark Enhancement Dungeon	You couldn't pay me to work hard when I was younger, but I ain't young anymore!
100604	Adv.	Dark Enhancement Dungeon	Even if you fail once or twice, you can succeed if you just keep trying. That's what I'm gonna do!
100605	Expert	Dark Enhancement Dungeon	It's not about why you live, it's just about living. Once you make it this far, the rest is up to you!
