// key	OMNI_EVE_ITEM_NAME_	OMNI_EVE_ITEM_DESC_
10101	Baguette magique	Pressez-la pour tirer du pollen. Dans les mauvaises mains,\elle peut devenir une arme extrêmement énervante.
10102	Journal enroulé	Un journal enroulé. Beaucoup de combattants\en herbe commencent leur entraînement avec.
10103	Marteau en caoutchouc	La sécurité avant tout.\Ce marteau a eu un succès fou.
10104	Gants de boxe	Des gants de boxe rouge vif.\Une droite avec eux mettrait même le Diable KO.
10201	Hache	Une arme pratique qui peut trancher humains comme démons.\Indispensable pour faire un feu de camp.
10202	Hachette de survie	Indispensable pour le camping !\Une hachette portable pour tout le monde.
10203	Fouet	Habituellement utilisé pour dompter des animaux.\Inflige de gros dégâts s'il est utilisé sur des gens ou des démons.
10204	Nunchaku	Yaaah ! Une arme fantastique qui en impose !\Attention à ne pas vous le prendre en pleine figure.
10205	Dague de miko	Dague que les mikos portent pour se défendre.\Malgré sa petite taille, elle reste un accessoire encombrant.
10206	Joli balai	Embellit les maisons huppées.\Il ne balaie pas très bien.
10207	Sucre d'orge de Père Noël	Un sucre d'orge gourmand.\Bénis soient les gentils petits démons.
10301	Seringue de Déméter	Un filon de colère source de puissance.\Une seringue de fureur de Déméter.
10302	Parasol gothique	Parasol gothique de Báthory.\Amélioré pour bloquer les UV.\Dégage un doux parfum de roses séchées.
10303	Hallebarde	Forgée avec minutie de la garde jusqu'à la lame.\Son maniement demande de l'entraînement, cela dit.
10304	Faux cimeterre	L'arme de prédilection des vieillards barbus et des jolies jeunes filles.\Elle n'a pas de lame, mais son aspect très réaliste en fait\un accessoire de cosplay populaire.
10305	Rapière de Laima	L'arme de l'homme que Laima aimait autrefois.
10306	Tronçonneuse électrique	Aurait été utilisée par un meurtrier légendaire.\Un produit 100 % domestique.
10307	Baguette magique	Mystérieuse baguette utilisée par une demoiselle... magique. \Seuls les élus peuvent la brandir.
10308	Bague sacrée du dieu de la guerre	Un charme qu'Ophois a créé avec une magie aléatoire.\Elle prétend qu'il porte chance et garantit le succès.
10309	Sucre d'orge de Père Noël	Un sucre d'orge gourmand.\Bénis soient les gentils petits démons.
10401	Trident de Limos	Petit trident spécial permettant à Limos d'embrocher des donuts \avec une vitesse et une précision terrifiantes. Sert aussi de fourchette.
10402	Rose d'acier	Joyau dont la taille dépend du pouvoir magique de Brigit. \Ne contient aucune rose.
10403	Férule de Caïn	Bâton représentant l'autorité sacrée.
10404	Gants en cuir	Gants utilisés pour récolter de nombreuses molaires de démons.\Il paraît que Kubaba est encore plus exceptionnel\dans des combats rapprochés.
10405	Bâton améthyste du clair de lune	Une baguette magique ornée d'une améthyste mystique.\Une aura dangereuse émane de cette gemme.
10406	Bracelet de pouvoir bouddhiste	Un bracelet empreint du pouvoir magique d'un exorciste.\Seuls les exorcistes illuminés peuvent le porter.
10407	Bâton de Dana	La crosse qu'utilise Dana pour guider les brebis égarées.
10408	Khakkhara sacré	Un khakkhara sacré qui irradie une énergie spirituelle légère.\Elle doit être authentique.
10409	Sucre d'orge de Père Noël	Un sucre d'orge gourmand.\Bénis soient les gentils petits démons.
10501	Épée sacrée du Nirvana	Une épée précieuse empreinte du pouvoir magique d'un exorciste.\Elle brille en présence d'un être impur.
10502	Lance du châtiment divin	Une lance sacrée née d'une partie de l'âme de Maât.\Son extrémité peut être pointée sur vous.
10503	Fleur maléfique	Une épée à la forme peu anodine, modifiée spécialement pour Astarté.\Une fois entrée, difficile de la faire sortir.
10504	Hache éclatante	Une arme puissante qui peut faire exploser des monstres\d'un seul coup.
10505	Maillet écrasant	Maniez ce marteau de toutes vos forces et peut-être\que vous réussirez à vous échapper d'ici.
10506	Baguette de l'univers	Une baguette magique qui incarne la détermination\de son utilisateur à s'échapper.
10507	Lance de feu	Quittez cet univers dans une boucle infinie.
10508	Épée ailée	L'épée d'un sauveur qui peut vous aider à quitter cet univers infernal.
10509	Sucre d'orge de Père Noël	Un sucre d'orge gourmand.\Bénis soient les gentils petits démons.
29001	Potion du crépuscule	Une vague de pouvoir mystérieux vous traverse.\<color=ffc400>Restaure jusqu'à 30 % de PV max.</color>
