// key	CHARACTER_DESCRIPTION_
10100002	悪魔を補佐する美人秘書、人間界のサキュバスリーダー\ダメな悪魔調教専門。
10100003	SS級ポテンシャルを誇る敏腕サキュバス。\仕事を片づけたと思ったら突然消えてしまう…
10100004	モナ姉さまがいるところなら魔界の果てまで！\ダビちゃん、ただいま参上！
10100005	弱者のために悪を討伐！\復讐と正義の女戦士。
10100007	私の敵は私が倒す。\自分の身を守るために剣を持った女戦士。
10100008	ひたすら稼ぐため戦う、貪欲な傭兵。
10100009	退屈でヒマな看護師が作り出した、あなたの女王様。
10100010	次の方どーぞ。はーい、横になってくださいねー\実習は0点だけど、自信は満点です！
10100011	少しでいいわ。静かにしてちょうだい。\天才少女が作り出した静かなチャイルド
10100012	正義の星となり、世界を照らす！
10100015	死んだ飼い主の幽霊を守っていた犬。\飼い主と同じ匂いがするチャイルドに従う。
10100016	聞こえますか？\私の友達の声が…
10100017	彼女の力の源は怒り！\消せない怒りで敵を制する。
10100018	人生は選択の連続。\でも、結局サイコロですべての運命が決まる。
10100019	自称、脱力系スーパー天才美少年\…のゲームオタク。
10100021	素直で自由奔放な破壊少女。\他人との関わりや束縛がイヤだから、口数が少ない。
10100022	あれ、この格好は…\バッ○マンじゃないじゃん、悪魔じゃん！
10100023	私は美しい。そう思わない？\ねぇ、あなたも私の虜でしょう？
10100024	闇が怖いなら自分で照らせばいい。\夜に勝つため、月になったチャイルド。
10100025	おばあちゃんの名にかけて！\混沌とした魔王争奪戦に現れた少女探偵！
10100026	いつもあなたを見守ってるニャン。
10100027	究極のメイド。それが私の存在意義！\掃除も！料理も！完璧に！…こなすつもりです。
10100028	誰も信じられない。\信じられるのは自分だけ。
10100029	下級悪魔が誤って召喚した、異世界の大魔法使い…\…と思い込んでいるチャイルド。
10100030	魔界と人間界を行き来する交渉のスペシャリスト。\信頼が何よりも大切です。
10100031	好みがマニアック！怪力で無愛想な少女。\夢は世界一のコレクター。
10100032	私だけを愛して！\愛にすべてを捧げる純情チャイルド。
10100033	ひとりで充分よ。\私を愛してくれる男なんて。
10100034	歪んだこの世界を、厳格な法で正せ！
10100035	もう子供じゃないわ。\困った時はお姉さまに任せなさい。
10100036	ここで一首。\荒天の風の流れに抗わず、さすらい人は浮雲如し。
10100037	目指せ！トップアイドル！\みんなに夢と感動を与えるため、レッスンは終わらない。
10100039	私は炎になりたい。\誰にも消せない、熱く激しく燃え盛る炎に…
10100040	制御不能なハイパーネガティブガール。
10100041	神を求めてさまよう、悲運な聖職者。
10100043	魔界のエリート、フレイ降臨！\魔王の座は俺のものだ！
10100044	テキトーな話ばかりする、軽薄な司祭。\仕事はやらずにムダ話で時間をつぶす！
10100045	あなたの心が読めます。\私に隠し事はできないんですよ。
10100046	主君を守る影、夜のレジェンド。\本当の洗礼名は忍者なので、秘密でござる。
10100048	悪魔は退け！みな退治するぞ！\私の手で神の敵を無に還してやる！
10100049	夜の世界の女主人、闇に溶け込むミステリアスな女。
10100050	あなたが望むものは、血と殺戮。\大いなる破壊の意思。
10100052	男って、いつも腹黒いことを考えてる。\あなたは違うの？試してみようか？
10100053	新曲を作りました！聞いてください！\《ある日～海の中～セイレーンと～出会った♪》
10100054	魔界に咲く、一輪の欲望の花…
10100055	…この手紙を…あなたに…伝えられたら…
10100056	覚えておいて、私の名前を…\あなたを支配する者の名を。
10100057	ファビュラスなバラの香りはいかが？\あら、もう私に惚れたみたいね。
10100058	私の死に場所はどこだ？\誰か私と一緒にあの世に行ってみないか？
10100059	ねぇ、私の料理を食べてくれない？\塩の代わりに砂糖が入ってて美味しいよ。
10100060	この世でいちばん必要なのは、\ボルトとナットとモンキーレンチ！
10100063	口下手な戦士。\ひたむきにあなたを守る。
10100064	私には何もない…\生きる気力を失った空虚なチャイルド、ナヴィ。
10100065	ファイトです！\あなたのために私が応援します！
10100069	こんなふうに出会う気がしていました。\気のせいかもしれませんが。
10100070	改造ロケットランチャーを持って現れた\お年頃の不良チャイルド。
10100072	何でも料理して何でも食べる少女。\清純で明るいが、問題は味音痴ということ。
10100075	忠実な戦士は、ただひたすら主の意思に従うのみ。
10100079	私は迷わない！\恐怖なんて、ぜんぶ燃やしてやる！
10100080	ロックンロールベイべー！\エレキギターで武装したチャイルド。
10100081	さあ、私を見て、やさしく笑って。\私はいつもあなたの味方です。
10100082	人形って本当にカワイイですよね？\あなたも…私の人形になりませんか？
10100083	ひまわりの花言葉は「崇拝」です…
10100084	真理を求めて彷徨う、孤独な錬金術師。
10100086	街でレクイエムを演奏する、\孤独な幽霊チェリスト。
10100088	闇の信者。\悪魔の力で奇跡を起こす。
10100089	花は人を幸せにするんだよ。\世界中がお花畑だったら、争いもなくなるのになぁ。
