// key	CHAT_
c001_17_boss_long	แท่นแท๊น! สวัสดี มาสเตอร์สุดที่รักของข้า ♥
c001_17_boss_short	ยินดีต้อนรับ!
c001_17_ctskill	เจ็บจัง!
c001_17_death_1	อ๊า! ได้เวลาถอยกลับไปตั้งหลักแล้ว...
c001_17_death_2	ว๊าก...
c001_17_drive	ตาข้าแล้ว!
c001_17_hit_1	อึก!
c001_17_hit_2	เจ็บนะเนี่ย!
c001_17_hit_3	อ๊า...
c001_17_prskill	พร้อมนะ!
c001_17_skill	ตอนนี้แหละ มาสเตอร์!
c001_17_spa	อ๊ะ! ระวัง มาสเตอร์!
c001_17_startbt	วันนี้ก็คงจะเป็นวันที่ยอดเยี่ยมอีกตามเคย!
c001_17_story1	สวัสดี มาสเตอร์สุดที่รักของข้า ♥\ข้าเอง โมนา ยินดีรับใช้ค่ะ!
c001_17_story2	ถ้าเจ้าไม่ตื่นตั้งแต่ตอนนี้ ผลที่ตามมาคงดูไม่จืดเลยล่ะ ♥
c001_17_story3	ให้ตายเถอะ! เดาไม่ถูกเลยว่าหนุ่มๆ เขาคิดอะไรกันอยู่
c001_17_true1	มาสเตอร์! เจ้าต้องโตเป็นผู้ใหญ่ได้แล้วนะถ้าอยากจะทำอะไรให้ประสบความสำเร็จ!
c001_17_true2	อยากรู้เรื่องของข้ามากขนาดนั้นเชียวเหรอ\ขอโทษนะ ส่วนสูงของข้าเป็นความลับจ้ะ!
c001_17_true3	เจ้าอย่าได้ประมาทศึกชิงบัลลังก์จ้าวปีศาจเป็นอันขาด!\การออกไปต่อสู้ทุกวันมันก็น่าเบื่อ ใช่ไหม\เพราฉะนั้นเราควรจะให้เวลากับตัวเองแบบนี้บ้างในบางครั้ง!
c001_17_victory	เราชนะแล้ว!
c001_boss_long	ข้ามาแล้ว ♥
c001_boss_short	เจ้าจะถูกทำโทษนะ ♥
c001_ctskill	ข้าหวังว่าเจ้าจะเซ็นพินัยกรรมและเตรียมการอะไรเรียบร้อยแล้วนะ
c001_death_1	ว่าแล้วเชียว...
c001_death_2	โอ๊ย...!
c001_drive	ให้ข้าจัดการเอง ♥
c001_hit_1	อ๊ะ!
c001_hit_2	อ๊า?!
c001_hit_3	นี่มันอะไรกัน?
c001_prskill	ข้าคงต้องขอให้เจ้าออกไปก่อน ♥
c001_skill	เจ้าเป็นคนเปิดกว้าง ♥
c001_spa	โล่งอกไปที... รู้อะไรไม่สู้รู้เอาตัวรอดนะ ♥
c001_startbt	ข้ามั่นใจว่าจะคว้าชัยชนะมาได้ มาสเตอร์ ♥
c001_story1	ได้เวลาเอาจริงแล้ว!\ศึกชิงบัลลังก์จ้าวปีศาจง่ายเหมือนปอกกล้วยเข้าปาก!
c001_story2	ข้าขอพักสักหน่อยนะ ♥
c001_story3	ไม่พูดแล้วนะ! วันนี้มีเรื่องต้องทำอีกเยอะ!
c001_true1	ตอนนี้มีอะไรที่ต้องทำมั้ย มาสเตอร์? ศึกชิงบัลลังก์จ้าวปีศาจได้เริ่มต้นขึ้นแล้ว\หากไม่ระวังให้ดี อาจต้องมาพลีชีพที่นี่ก็ได้นะ
c001_true2	พยากรณ์อากาศวันนี้...ฝนตกหนัก!\เราจะทำให้การประลองราชาปีศาจเจิ่งนองไปด้วยเลือดของผู้ท้าชิงคนอื่น ♥
