// key	PIECE_NAME_	PIECE_DESCRIPTION_
10	沙滩排球	进行收集似乎会发生好事情。\2019年DOA跨界合作
11	封蜡#222	只要认真，就能收集到。\看来，收集到一定的数量，就会有好事发生。
12	演唱会传单	Planet Party的演唱会传单。\成员在城市里四处派发。
13	祈愿新年红包	崭新的钞票。\放在红包当中，可以实现任何愿望。
14	荣光之章	胜利的荣光尽归于你。\这是授予完成自己任务的恶魔的胜利之证。
15	女神的记忆	一件让人想起炎热夏天和那个女孩的泳装。
16	命运金币	闪闪发光的金币。\收集起来会有惊喜。
17	感谢邀请函	为了庆祝有1000万名魔王候补生参战，\我们邀请你来参加魔王争夺战了！
18	派对气球	生日派对气球。\一个一个收集它们之后，也许它们能带你飞上天际。
19	椰子	直接从阿摩司岛运送来的香甜椰子。
20	条纹救生圈	一个以纯粹热诚和\不懈制成的救生圈。
21	派对气球	生日派对气球。\一个一个收集它们之后，也许它们能带你飞上天际。
22	樱花瓣	宣告春之始的花瓣。\收集它们来获得一个很棒的惊喜。
23	樱花瓣	宣告春之始的花瓣。\收集它们来获得一个很棒的惊喜。
24	父母之爱	一朵能为家族带来平静的康乃馨。你不能只准备一朵，而应准备两朵。不是黄泉之花。
9	沙滩排球	进行收集似乎会发生好事情。
