// key	RANDOM_BOX_NAME_	RANDOM_BOX_DESC_
30001	ゴールドラッキーボックス	さまざまな補償が入っているBOXです。
30002	今日のラッキーボックス	多様な報酬が入っているラッキーボックスです
30003	細工石ラッキーボックス	多様な報酬が入っているラッキーボックスです
30004	水属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30005	火属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30006	木属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30007	光属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30008	暗属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30009	召喚チケットラッキーボックス	さまざまな補償が入っているBOXです。
30010	細工器具ラッキーボックス	多様な報酬が入っているラッキーボックスです
30011	毎日支援ラッキーボックス	多様な報酬が入っているラッキーボックスです
30012	悪魔のラッキーボックス	悪魔が直接ラッピングしたプレゼント箱。\受け取る側の欲望に合わせてプレゼントを選んでいる。\中に何が入っているかは…秘密。
30013	細工特別ラッキーボックス	多様な報酬が入っているラッキーボックスです
30014	かぼちゃのドーナツセット	さまざまな補償が入っているBOXです。
30015	ジャックオーランタンドーナツセット	さまざまな補償が入っているBOXです。
30016	補助型召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30017	運命のラッキーボックス	多様な報酬が入っているラッキーボックスです
30018	増幅コアラッキーボックス	多様な報酬が入っているラッキーボックスです
30019	コアラッキーボックス	多様な報酬が入っているラッキーボックスです
30020	増幅攻撃力コアラッキーボックス	多様な報酬が入っているラッキーボックスです
30021	増幅防御力コアラッキーボックス	多様な報酬が入っているラッキーボックスです
30022	増幅機敏性コアラッキーボックス	多様な報酬が入っているラッキーボックスです
30023	増幅クリコアラッキーボックス	多様な報酬が入っているラッキーボックスです
30024	イグニッション記念チャイルドラッキーボックス	多様な報酬が入っているラッキーボックスです
30025	攻撃型召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30026	防御型召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30027	回復型召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30028	妨害型召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
30029	イグニッションコア素材ラッキーボックス	多様な報酬が入っているラッキーボックスです
30030	イグニッションコア素材ラッキーボックス	多様な報酬が入っているラッキーボックスです
30031	イグニッションコア素材ラッキーボックス	多様な報酬が入っているラッキーボックスです
30032	新年福袋ラッキーボックス	多様な報酬が入っているラッキーボックスです
30033	プラネットパーティーラッキーボックス	プラネットパーティーの本当のファンだけが獲得できるというペンライト！\誰のペンライトが当たるかな？
30034	2020水属性★5チャイルド温泉スキンラッキーボックス	ロンチングから2020.12.31まで\コラボ温泉スキンを除く。
30035	2020火属性★5チャイルド温泉スキンラッキーボックス	ロンチングから2020.12.31まで\コラボ温泉スキンを除く。
30036	2020木属性★5チャイルド温泉スキンラッキーボックス	ロンチングから2020.12.31まで\コラボ温泉スキンを除く。
30037	2020光属性★5チャイルド温泉スキンラッキーボックス	ロンチングから2020.12.31まで\コラボ温泉スキンを除く。
30038	2020暗属性★5チャイルド温泉スキンラッキーボックス	ロンチングから2020.12.31まで\コラボ温泉スキンを除く。
30039	モーモー選択ボックス	多様な報酬が入っているラッキーボックスです
30040	イグニッションコア素材ラッキーボックス	多様な報酬が入っているラッキーボックスです
30041	細工石ラッキーボックス	多様な報酬が入っているラッキーボックスです
30042	1000万ダウンロード記念ラッキーボックス	多様な報酬が入っているラッキーボックスです。
30043	ホワイトデー細工ラッキーボックス	多様な報酬が入っているラッキーボックスです。
30044	デイリーラッキーボックス	多様な報酬が入っているラッキーボックスです
30045	細工石ラッキーボックス	多様な報酬が入っているラッキーボックスです
30046	コア素材OR細工石ラッキーボックス	多様な報酬が入っているラッキーボックスです
30047	イベントラッキーボックス1	多様な報酬が入っているラッキーボックスです
30048	イベントラッキーボックス2	多様な報酬が入っているラッキーボックスです
30049	イベントラッキーボックス3	多様な報酬が入っているラッキーボックスです
30050	イベントラッキーボックス4	多様な報酬が入っているラッキーボックスです
30051	イベントラッキーボックス5	多様な報酬が入っているラッキーボックスです
30052	イベントラッキーボックス6	多様な報酬が入っているラッキーボックスです
30053	イベントラッキーボックス7	多様な報酬が入っているラッキーボックスです
30054	イベントラッキーボックス8	多様な報酬が入っているラッキーボックスです
30055	イベントラッキーボックス9	多様な報酬が入っているラッキーボックスです
30056	イベントラッキーボックス10	多様な報酬が入っているラッキーボックスです
30057	イベントラッキーボックス11	多様な報酬が入っているラッキーボックスです
30058	イベントラッキーボックス12	多様な報酬が入っているラッキーボックスです
30059	イベントラッキーボックス13	多様な報酬が入っているラッキーボックスです
30060	イベントラッキーボックス14	多様な報酬が入っているラッキーボックスです
30061	イベントラッキーボックス15	多様な報酬が入っているラッキーボックスです
30062	増幅攻撃力コアラッキーボックス	多様な報酬が入っているラッキーボックスです
30063	増幅防御力コアラッキーボックス	多様な報酬が入っているラッキーボックスです
30064	増幅機敏性コアラッキーボックス	多様な報酬が入っているラッキーボックスです
30065	増幅クリコアラッキーボックス	多様な報酬が入っているラッキーボックスです
30066	イグニッションコア素材ラッキーボックス	多様な報酬が入っているラッキーボックスです
30067	ヘパイストス温泉スキンラッキーボックス	多様な報酬が入っているラッキーボックスです
30069	スペシャル報酬BOX	ワールドボススペシャル報酬BOXです
30070	魔鏡カード報酬BOX	ワールドボス魔鏡カード報酬BOXです
30071	細工石ラッキーボックス	多様な報酬が入っているラッキーボックスです
30072	新年福袋ラッキーボックス	多様な報酬が入っているラッキーボックスです。
30073	温泉提灯ラッキーボックス	多様な報酬が入っているラッキーボックスです。
30074	限定コアラッキーボックス	多様な報酬が入っているラッキーボックスです。
30075	2021光属性★5チャイルド温泉スキンラッキーボックス	ロンチングから2021.12.31まで\コラボ温泉スキンを除く。
30076	2021温泉スキンラッキーボックス	多様な報酬が入っているラッキーボックスです。
30078	イベントラッキーボックス 1	多様な報酬が入っているラッキーボックスです。
30079	イベントラッキーボックス 2	多様な報酬が入っているラッキーボックスです。
30080	イベントラッキーボックス 3	多様な報酬が入っているラッキーボックスです。
30081	イベントラッキーボックス 4	多様な報酬が入っているラッキーボックスです。
30082	イベントラッキーボックス 5	多様な報酬が入っているラッキーボックスです。
30083	イベントラッキーボックス 6	多様な報酬が入っているラッキーボックスです。
30084	イベントラッキーボックス 7	多様な報酬が入っているラッキーボックスです。
30085	イベントラッキーボックス 8	多様な報酬が入っているラッキーボックスです。
30086	イベントラッキーボックス 9	多様な報酬が入っているラッキーボックスです。
30087	イベントラッキーボックス 10	多様な報酬が入っているラッキーボックスです。
30088	イベントラッキーボックス 11	多様な報酬が入っているラッキーボックスです。
30089	イベントラッキーボックス 12	多様な報酬が入っているラッキーボックスです。
30090	イベントラッキーボックス 13	多様な報酬が入っているラッキーボックスです。
30091	イベントラッキーボックス 14	多様な報酬が入っているラッキーボックスです。
30092	イベントラッキーボックス 15	多様な報酬が入っているラッキーボックスです。
30093	イベントラッキーボックス 16	多様な報酬が入っているラッキーボックスです。
30094	2021水属性★5チャイルド温泉スキンラッキーボックス	ロンチングから2021.12.31まで\コラボ温泉スキンを除く。
30095	レイドボスチャイルドラッキーボックス	多様な報酬が入っているラッキーボックスです。
30096	レイドボスチャイルドラッキーボックス	多様な報酬が入っているラッキーボックスです。
30097	研磨剤ラッキーボックス	多様な報酬が入っているラッキーボックスです。
30098	2021火属性★5チャイルド温泉スキンラッキーボックス	多様な報酬が入っているラッキーボックスです。
30099	4周年記念増幅コアラッキーボックス	多様な報酬が入っているラッキーボックスです。
30100	4周年記念限定コアラッキーボックス	多様な報酬が入っているラッキーボックスです。
30101	クリスマスプレゼント	多様な報酬が入っているラッキーボックスです。
30102	新年福袋ラッキーボックス	多様な報酬が入っているラッキーボックスです。
30103	イグニッションコア素材ラッキーボックス	多様な報酬が入っているラッキーボックスです。
30104	レイドベスト温泉スキンラッキーボックス	多様な報酬が入っているラッキーボックスです。
30105	2022温泉スキンラッキーボックス	多様な報酬が入っているラッキーボックスです。
30108	2022温泉スキンラッキーボックス	多様な報酬が入っているラッキーボックスです。
30111	春のラッキーボックス	多様な報酬が入っているラッキーボックスです。
30112	夏のラッキーボックス	多様な報酬が入っているラッキーボックスです。
30113	レイドスキンラッキーボックス	多様な報酬が入っているラッキーボックスです。
