// key	CHARACTER_NAME_	CHARACTER_SKIN_DESCRIPTION_
c000_01	_Maître	On ne peut pas dire que ce démon fauché soit à la pointe de la mode.
c000_10	Mystérieux_Maître	Tenue de fille à l'air étrangement familier.
c000_11	École de filles_Maître	Uniforme d'étudiante d'une école de filles prestigieuse.
c000_12	Maillot de bain_Maître	
c000_13	_Maître	
c000_14	Robe_Maître	
c000_15	_Maître	
c000_16	_Maître	
c001_01	_Mona	Un uniforme raffiné pour une entraîneuse de démons paresseux.
c001_02	Combattante_Mona	Mona la succube est prête à lancer l'assaut ♥
c001_12	Bord de mer_Mona	Femme du moment, vêtue d'un maillot de bain très moulant.\Juste ce qu'il faut pour... embraser l'atmosphère !
c001_14	Professeur_Mona	Tenue portée par Mona, la succube intransigeante.
c001_16	Baigneuse_Mona	Un bikini sexy porté par la femme qui fait tourner les têtes. Votre été promet d'être chaud !
c001_17	Jeune_Mona	La forme enfant de Mona, créée à partir de ses données biologiques !
c002_00	_Lisa	Le pyjama secret de la Lisa la succube.
c002_01	_Lisa	Un uniforme magnifique porté par la super succube de classe S.
c002_02	Combattante_Lisa	Les stats de la super succube de classe S ont augmenté !
c002_10	Bord de mer_Lisa	Bikini sexy porté par la femme qui fait tourner toutes les têtes.\L'été va être... chaud !
c002_11	Étudiante_Lisa	Uniforme d'étudiante d'honneur de Lisa la succube.
c002_12	Estivale_Lisa	Le maillot de bain élégant de Lisa. Indispensable pour supporter la chaleur de l'été !
c003_01	_Davi	Davi est toujours mignonne, quelle que soit sa tenue !
c003_02	Combattante_Davi	L'adorable Davi est encore plus mignonne !
c003_10	Bord de mer_Davi	Davi, la fille du moment, dans son propre bikini.\Amusez-vous avec un démon !
c003_11	Étudiante_Davi	Uniforme scolaire pour Davi, désormais dans les affres de l'adolescence.
c003_13	Estivale_Davi	Le maillot de bain une pièce de Davi, qui privilégie le côté pratique.
c003_14	Lucifer_Davi	Le look idéal de Reine des démons selon Davi !
c003_15	Satan_Davi	La création fatale de Davi, un rêve dans un rêve.
c003_16	Pourpre_Davi	La création de Davi, une fleur pourpre qui fleurit dans un rêve.
c003_17	Mini_Davi	Version de Davi créée à partir d'un fragment de Davi reine des démons.\C'est moi, ou... ça rappelle quelque chose ?
c003_18	Pom-pom girl_Davi	C'est pas pour le maître, que je mets ça, hein !\Uniforme de pom-pom girl de Davi, qu'elle met uniquement pour Mona.
c003_89	Lucifer_Davi	Le look idéal de Reine des démons selon Davi !
c004_00	_Jennifer	Une jupe décontractée qui lui va comme un gant.
c004_01	Amicale_Cheoyong	Une tenue de combat ultra souple pour un Child destructeur.
c004_02	Chaleureuse_Cheoyong	Une tenue de combat spéciale qui améliore la puissance de ses armes.
c005_00	Natsume_Sawaki	Attention, les pistolets à eau n'ont pas de fonction de visée !
c005_01	Intrépide_Arès	Attention, selon son humeur, ça peut se terminer en carnage !
c005_02	Ravageuse_Arès	Armée jusqu'aux dents ! L'heure de la vengeance a sonné !
