// key	CHARACTER_PROFILE_DESC_
c000_interest	
c000_like	
c000_love	
c000_profile	
c001_interest	サキュバスの\営業秘密です♥
c001_like	行きますね~
c001_love	もう少し、\大人になってください…
c001_profile	謎に包まれたサキュバスのリーダー。\誘惑や試すような言動が多いが、時折みせる真面目な表情には甘さは感じられない。\普段の軽く見える態度の裏では、戦いの準備に余念がない。\幼い頃から魔界の中心部で生活していた為か、人間界の生活が長い主人公とは会話がかみ合わない事もしばしば…
c002_interest	御主人様を魔王に\して見せます。
c002_like	サポーターにも\休息が必要ですね。
c002_love	完璧に調教して\あげましょう。
c002_profile	24時間戦えるワーカホリックサキュバス。\抑揚のない、丁寧なしゃべり方をする。\魔王争奪戦を終えた後は、手に入れた財宝で快適な老後を送る事が目標だったが、今に至っては半分諦めている。\主人公を一人前の悪魔に育て、魔王にさせるには一体どのくらいの時間と労力が必要だろうか？全てを計画通りに進める几帳面で神経質な性格は、主人公の影響を受けて改善に向かっている。\そう、世の中は計画通りには進まないのである…\
c003_interest	モナ姉さまを探しに行くよ！
c003_like	このトサカ野郎！
c003_love	ふん！バカご主人！
c003_profile	名前には、無限の可能性が秘められている…\誰でも簡単に信じ、簡単に騙されてしまう単純な性格。その時々の気分に応じて行動する気分屋さん。\興味のある事はモナの事だけで、魔王争奪戦は、モナの近くにいる為の理由でしかない。\主人公を恋敵と見ており「トサカ野郎」と罵倒する。\彼女の今後の成長を暖かく見守りたいと思う…
c004_interest	一緒に遊ぼうよ、隊長！
c004_like	私を...利用したい\だけでしょ？
c004_love	私が隊長の助けに\なってあげる！
c004_profile	孤独な少女は、友達が欲しいと悪魔に願い事をした。\毎日友達と一緒に楽しく走り回る事がすべてのチャイルド、\《処容：ショヨウ》\友達に異邦人扱いをされた契約者の姿を見て、その昔に同じく異邦人扱いされた「処容」の名を借りた。\求めていることは疾走。\ただ前だけを向いて突き進む暴走少女だ。
c005_interest	最弱の悪魔なんて\情けない。
c005_like	弱虫だと\心配になるよ。
c005_love	友達くらいなら…
c005_profile	見かけによらず好戦的な性格をしている為、戦争の神《マルス》の名前を借りた。\報復が達成されるまで、戦いは終わらないだろう。\主人公が魔王になることよりも、仕返しを成功させる事が全て。\契約者同士に因縁があり《嘲笑のモムス》が気になっている。\仕返しする事ばかりを考えている為、他のチャイルドとのコミュニケーションは苦手。
c007_interest	俺はファイロじゃない！
c007_like	ファイロを倒す！
c007_love	ファイロ出てこい！
c007_profile	《烈火のファイロ》と同じ契約者から生まれたチャイルド。\ファイロが自分の居場所を奪ったと思っている。\魂の破片から生まれてきた彼の境遇と灰から生まれる不死鳥が似ていると感じ《フェニックス》という名前を与えた。\彼の目的はファイロに勝って自分がファイロになること。\もしかしたら、彼こそが本当のファイロのライバルなのかも知れない…
c008_interest	ただのガキ
c008_like	もしかして、強い悪魔…？
c008_love	はっ！\一度競ってみたいな！
