// key	EXP_CHAR_DUNGEON_NAME_	EXP_CHAR_DUNGEON_SECOND_NAME_	EXP_CHAR_DUNGEON_LOCATION_DESC_
100201	Novice	Donjon d'amélior. de lumière	Tout ce que je dois savoir, je l'ai appris à la maternelle. Il faut commencer fort !
100202	Facile	Donjon d'amélior. de lumière	"Hier, c'est du passé ; demain, c'est un mystère ; mais aujourd'hui est un cadeau. C'est pour ça qu'on l'appelle le présent."\Je dois trouver ce que ça veut dire !
100203	Inter.	Donjon d'amélior. de lumière	Dans ma jeunesse, jamais je n'aurais travaillé dur, même si on m'avait payé. Mais je ne suis plus jeune !
100204	Avancé	Donjon d'amélior. de lumière	Même si on échoue une fois ou deux, on peut réussir en persévérant.\C'est ce que je vais faire !
100205	Expert	Donjon d'amélior. de lumière	Quelle que soit la raison de notre existence, l'important, c'est de vivre.\Si tu es arrivé jusqu'ici, à toi de deviser la suite !
100301	Novice	Donjon d'amélior. de feu	Tout ce que je dois savoir, je l'ai appris à la maternelle. Il faut commencer fort !
100302	Facile	Donjon d'amélior. de feu	"Hier, c'est du passé ; demain, c'est un mystère ; mais aujourd'hui est un cadeau. C'est pour ça qu'on l'appelle le présent."\Je dois trouver ce que ça veut dire !
100303	Inter.	Donjon d'amélior. de feu	Dans ma jeunesse, jamais je n'aurais travaillé dur, même si on m'avait payé. Mais je ne suis plus jeune !
100304	Avancé	Donjon d'amélior. de feu	Même si on échoue une fois ou deux, on peut réussir en persévérant.\C'est ce que je vais faire !
100305	Expert	Donjon d'amélior. de feu	Quelle que soit la raison de notre existence, l'important, c'est de vivre.\Si tu es arrivé jusqu'ici, à toi de deviser la suite !
100401	Novice	Donjon d'amélior. d'eau	Tout ce que je dois savoir, je l'ai appris à la maternelle. Il faut commencer fort !
100402	Facile	Donjon d'amélior. d'eau	"Hier, c'est du passé ; demain, c'est un mystère ; mais aujourd'hui est un cadeau. C'est pour ça qu'on l'appelle le présent."\Je dois trouver ce que ça veut dire !
100403	Inter.	Donjon d'amélior. d'eau	Dans ma jeunesse, jamais je n'aurais travaillé dur, même si on m'avait payé. Mais je ne suis plus jeune !
100404	Avancé	Donjon d'amélior. d'eau	Même si on échoue une fois ou deux, on peut réussir en persévérant.\C'est ce que je vais faire !
100405	Expert	Donjon d'amélior. d'eau	Quelle que soit la raison de notre existence, l'important, c'est de vivre.\Si tu es arrivé jusqu'ici, à toi de deviser la suite !
100501	Novice	Donjon d'amélior. de bois	Tout ce que je dois savoir, je l'ai appris à la maternelle. Il faut commencer fort !
100502	Facile	Donjon d'amélior. de bois	"Hier, c'est du passé ; demain, c'est un mystère ; mais aujourd'hui est un cadeau. C'est pour ça qu'on l'appelle le présent."\Je dois trouver ce que ça veut dire !
100503	Inter.	Donjon d'amélior. de bois	Dans ma jeunesse, jamais je n'aurais travaillé dur, même si on m'avait payé. Mais je ne suis plus jeune !
100504	Avancé	Donjon d'amélior. de bois	Même si on échoue une fois ou deux, on peut réussir en persévérant.\C'est ce que je vais faire !
100505	Expert	Donjon d'amélior. de bois	Quelle que soit la raison de notre existence, l'important, c'est de vivre.\Si tu es arrivé jusqu'ici, à toi de deviser la suite !
100601	Novice	Donjon d'amélior. d'ombre	Tout ce que je dois savoir, je l'ai appris à la maternelle. Il faut commencer fort !
100602	Facile	Donjon d'amélior. d'ombre	"Hier, c'est du passé ; demain, c'est un mystère ; mais aujourd'hui est un cadeau. C'est pour ça qu'on l'appelle le présent."\Je dois trouver ce que ça veut dire !
100603	Inter.	Donjon d'amélior. d'ombre	Dans ma jeunesse, jamais je n'aurais travaillé dur, même si on m'avait payé. Mais je ne suis plus jeune !
100604	Avancé	Donjon d'amélior. d'ombre	Même si on échoue une fois ou deux, on peut réussir en persévérant.\C'est ce que je vais faire !
100605	Expert	Donjon d'amélior. d'ombre	Quelle que soit la raison de notre existence, l'important, c'est de vivre.\Si tu es arrivé jusqu'ici, à toi de deviser la suite !
