// key	HELP_	DESCRIPTION_
1		
10	Vous voulez en savoir plus sur vos Childs ?\J'ai trouvé quelqu'un qui vous dira tout ♥	
11	Essayez d'aller dans l'<color=ffdf00>arène de combat</color>\des Ténèbres !	
12	On sait maintenant qui est l'<color=ffdf00>exorciste problématique</color>.\En tant que démon, vous ne devriez pas être énervé ?	
13	La <color=ffdf00>Tour des épreuves</color> s'ouvre dans les Ténèbres, non ?\Rendez-vous-y et voyez ce que vous pouvez faire !	
14	Confiez vos objets au marché.\Comme ça, vous pourrez les <color=ffdf00>améliorer</color> très facilement ♥	
15	Vous voulez rendre vos Childs plus forts ? <color=ffdf00>Améliorez-les</color> avec des matériaux ♥	
16	Ce Child a atteint sa puissance maximale.\Maintenant, allez dans la <color=ffdf00>section Combiner</color> pour renforcer son éveil.	
2		
3	On dirait que vous êtes allé dans le <color = "ffdf00">Royaume des mortels</ color> et avez trouvé un passeur de pacte.\C'est la première étape pour devenir le Roi des démons ♥	
4	On dirait que vous avez trouvé des cristaux ♥\Essayez d'<color=ffdf00>invoquer</color> un Child avec.	
5	Vous avez obtenu beaucoup d'âmes de passeurs de pactes !\À présent, essayez d'inclure des Childs.	
6	Une fois que vous obtenez un Child, vous pouvez l'utiliser au combat !\Essayez de l'ajouter à votre <color=ffdf00>équipe</color> dans la section Childs.	
7	Vous allez sûrement vous rendre à la <color=ffdf00>boutique</color>, maintenant.\N'oubliez pas de vérifier les coches de boîtes de costumes dans les Ténèbres.	
8	Vous avez reçu une invitation des <color=ffdf00>Ténèbres</color>.\Ces adorateurs des démons savent capter votre attention ♥	
9	Essayez d'envoyer Épona en <color=ffdf00>exploration</color>.\Elle devrait trouver toutes sortes d'objets ♥	
