// key	HECATE_BOOK_TITLE_SHELF_	HECATE_BOOK_TITLE_	HECATE_BOOK_TITLE_SUB_	HECATE_BOOK_DESC_
100001	Chapter. 1-1\Devil's Playground	1-1 Devil's Playground	Destiny Child Chapter.1	Have you ever seen the Devil? It's closer than you think.\In fact, you might already know him!
100002	Chapter. 1-2\A Time of Dogs and Cats	1-2 A Time of Dogs and Cats	Destiny Child Chapter.1	Cities are asphalt deserts?\No, they are concrete jungles where only the fittest survive!
100003	Chapter. 1-3\Dreaming Girls	1-3 Dreaming Girls	Destiny Child Chapter.1	I don't use social media or even watch the news.\But they are still ruining any hope of peace I had!
100004	Chapter. 1-4\A Hateful Devil, but I can't hate it...	1-4 A Hateful Devil, but I can't hate it...	Destiny Child Chapter.1	With demons, you can't tell the good from the bad!\But there are definitely demons you love to hate!
100005	Chapter. 1-5\《Breaking News: Candidate Hunt!》	1-5 《Breaking News: Candidate Hunt!》	Destiny Child Chapter.1	The candidates are battling it out!\But watch out! They're dropping like flies!
100006	Chapter. 1-6\The Girl's Garden	1-6 The Girl's Garden	Destiny Child Chapter.1	This is the world of delicate maidens.\What will be the fate of men who set foot in this forbidden place?
100007	Chapter. 1-7\Devil Alarm! A Demon and A Wandering Girl	1-7 Devil Alarm! A Demon and A Wandering Girl	Destiny Child Chapter.1	The Devil's alarm rings thrice at midnight\heralding the coming of the demon slayer.
100008	Chapter. 1-8\Satan's Heir	1-8 Satan's Heir	Destiny Child Chapter.1	Rufus, the Archfiend's Successor, comes.
100009	Chapter. 2-1\Maiden's Flower Garden	2-1 Maiden's Flower Garden	Destiny Child Chapter.2	Let us pray where the sacred bell rings.
100010	Chapter. 2-2\Whispering Darkness and the Shade	2-2 Whispering Darkness and the Shade	Destiny Child Chapter.2	A black shadow falls over the Maiden's Flower Garden.
100011	Chapter. 2-3\False Creator	2-3 False Creator	Destiny Child Chapter.2	The false creator is the author of his own ruin.
100012	Chapter. 2-4\Two Girls Divided	2-4 Two Girls Divided	Destiny Child Chapter.2	The start of an endless journey.
100013	Intermission Chapter 1\Vanishing Twin	Intermission Chapter 1. Vanishing Twin	Destiny Child Chapter.2	Now, a new Davi is born!
100014	Intermission Chapter 2.Evils Under\the Sun	Intermission Chapter 2.Evils Under\the Sun	Destiny Child Chapter.2	The mysterious girl who came to see Luin is...!
100019	Midsummer\Night's Dream	Midsummer Night's Dream	Ragna:Break Season 18	One love, two warring hearts.\What's this love that you're talking about?
100023	Demonic\Interfering View	Demonic Interfering View	Narrative Dungeon	We'll take care of them before Torii knows.
100090	Raid Shop	Raid Shop	Tutorial	As they say, "the walls have ears."\Info Broker Brownie has opened up a new Raid Shop.
100091	The Nightmare on Christmas	The Nightmare on Christmas	Ragna:Break Season 0	On this holy eve, a devil lurks in the shadows of the Christmas cheer.
100092	Obelisk's Descent	Obelisk's Descent	Ragna:Break Season 2	A tower of trials has now risen up from the hot desert sands.
100093	The Forbidden Flower	The Forbidden Flower	Ragna:Break Season 3	What lies beyond these intertwined emotions?
100094	The Macabre Empire	The Macabre Empire	Ragna:Break Season 5	Ye pitiful souls of a world beyond redemption.\Your path leads only deeper into the valley of darkness.
100095	Summer Scandal	Summer Scandal	Ragna:Break Season 4	Tired of the Archfiend Contest?\Head on out to Passion Island! Heaven on earth!
100096	Café de Petit	Café de Petit	Ragna:Break Season 1	Welcome to Café de Petit ♥
100097	DEVILIVE!!	DEVILIVE!!	Ragna:Break Season 6	Let's go together to the dazzling concert of dreams!
100099	Girl on Fire	Girl on Fire	Ragna:Break Season 7	Be reborn in the fire to dream once again!
100100	Secret Bride	Secret Bride	Ragna:Break Season 8	My bride, leave your fate in my hands!
100104	Summer Shooters	Summer Shooters	Ragna:Break Season 10	The spirit and will of legendary hydro shooters.
100105	Catherine: Full Body	Catherine: Full Body	Ragna:Break	K's Parallel World
100110	World Boss Trials	World Boss Trials	Tutorial	A sudden surge of magic power has washed over the area.\What IS Infernal Mirroring?
100111	SNOW MIKU	SNOW MIKU	Narrative Dungeon	Memories of Meeting SNOW MIKU in Pure-White Snow
100112	Holy War	Holy War	Narrative Dungeon	The heavens sunder,\and down comes the god of darkness
100113	A New Archfiend	A New Archfiend	Narrative Dungeon	Here the 3rd Archfiend descends...
100114	Cold Flower	Cold Flower	Narrative Dungeon	The darkness of the girl who admires demons.
100115	Justice Upheld	Justice Upheld	Narrative Dungeon	We all have feelings we hold dear.
100116	Re:build	Re:build	Narrative Dungeon	A Secret Tale of a New Midas
100117	Hyperlethal L♥VE	Hyperlethal L♥VE	Narrative Dungeon	Dreams of a Fine Red Rose
100118	Light and Dark	Light and Dark	Narrative Dungeon	What became of the girl and her opposite
100120	Eternal Vow	Eternal Vow	Narrative Dungeon	The Fated Girl Who Bathory Met
100121	Dual Block Buster	Dual Block Buster	Narrative Dungeon	There cannot be two suns on the stage!\Hold your breath and watch the showdown between the two great divas!
100122	My Dear	My Dear	Narrative Dungeon	A Bitter-Sweet Valentine's Day Case?!
100123	The Revelation	The Revelation	Narrative Dungeon	A glimmer of light born from chaos and void-\a stygian abyss.
