// key	OMNI_EVE_ITEM_NAME_	OMNI_EVE_ITEM_DESC_
10101	魔法使い用杖	押すと花粉が飛び出してくる。\人によっては非常に迷惑で憎たらしい武器。
10102	丸めた新聞紙	棒状に丸めた新聞紙。\幼き勇者たちの御用達の剣。
10103	ゴムハンマー	ぶよぶよしたゴムのハンマー。\安全性に配慮されたベストセラー商品だ。
10104	パンチグローブ	真っ赤なボクシング用グローブ。\これで殴れば悪魔もノックアウト。
10201	斧	人間でも悪魔でも簡単に斬れる実用的な武器。\薪割りにも最適。
10202	サバイバル手斧	キャンピングマンに速報！誰でも簡単に携帯できるサバイバル手斧！
10203	鞭	打たれると非常に痛いが\だんだん気持ち良くなってくる恐ろしい武器。
10204	ヌンチャク	アチョ～！俺の双節棍を受けてみろ！\誤って顔に当たると格好悪い。
10205	巫女の懐刀	古代の巫女が携帯した護身刀。\それにしては装飾品が大きくて邪魔。
10206	キュートなほうき	高級インテリア用ほうき。\実用性はない。
10207	サンタのステッキ	中にキャンディが入ったクリスマスステッキ。\優しい悪魔に聖なる祝福を。
10301	デメテルシリンジ	静脈を流れる憤怒が新たな力を生んだ。\デメテルの怒りがこもった注射器。
10302	ゴシックパラソル	バートリーのゴシック風パラソル。\UVカット機能強化。乾いたバラの香り付き。
10303	ハルバート	刃から柄の部分まで、すべて職人の手作り。\使いこなすには高い技術が必要だ。
10304	偽物偃月刀	髭のおじさんや美少女が良く持ち歩いている武器。\刃は無いが、リアルな作りでコスプレでよく使われる。
10305	ライマのレイピア	かつてライマが愛した悪魔の武器。
10306	チェーンソー	伝説の殺人鬼したチェーンソーという噂を聞いた。\ 100％国内生産。
10307	魔法ステッキ	魔法少女が使う不思議なステッキ。\選ばれし魔法少女しか使えない。
10308	軍神の聖輪	オフォイスが謎の呪術で生み出した聖なる輪。\万事を成功させる力を持つ。
10309	サンタのステッキ	中にキャンディが入ったクリスマスステッキ。\優しい悪魔に聖なる祝福を。
10401	マルルの三叉槍	マルル愛用の三叉槍。\ドーナツを食べる時、フォークの代わりに使える。
10402	スティールローズ	ブリジットの魔力で収縮・膨張する珠玉。\中に薔薇は入っていない。
10403	カインの杖	神聖なる権威を象徴する杖。
10404	レザーグローブ	数多の悪魔を殴り倒した特注革製手袋。\クババは近接戦が得意らしい。
10405	月影の杖	奇妙な魔力を放つ魔法の杖。\アメシストに狂気が宿る。
10406	法力腕甲	涅槃の境地に達した祓魔師に力を与える腕甲。
10407	ダナのバクルス	愚者を導くダナの司教杖。
10408	神聖な錫杖	うっすら魂の気運が感じられる 神聖な錫杖. \これは確かに本物だ。.
10409	サンタのステッキ	中にキャンディが入ったクリスマスステッキ。\優しい悪魔に聖なる祝福を。
10501	寂光の宝剣	悪鬼を斬り裂き衆生を救う破邪顕正の宝剣。
10502	神罰の聖槍	マアトの魂の一部が実体化した聖なる槍。\その矛先が自分に向いているのかもしれない。
10503	悪の花	アシュトレス専用に改造した異形の剣。\一度突き刺すと簡単には抜けない…
10504	シャイン・アックス	モンスターを一撃で倒せる強力な武器。
10505	クラッシュ・マレット	渾身の力で振りかざすとここから抜け出せるかも…
10506	ユニバース・ワンド	脱出の念願を込めた魔法の杖。
10507	ファイア・スピア	無限ループのユニバースから抜け出そう。
10508	ウィングス・ソード	地獄のユニバースから脱出させてくれる救援の剣。
10509	サンタのステッキ	中にキャンディが入ったクリスマスステッキ。\優しい悪魔に聖なる祝福を。
29001	トワイライト・ポーション	不思議な力がみなぎる。\<color=ffc400>最大HPの30%を回復させる。</color>
