// key	SPECIAL_DUNGEON_NAME_	SPECIAL_DUNGEON_SECOND_NAME_	SPECIAL_DUNGEON_LOCATION_DESC_
1000		Cauchemar de Noël	En cette sainte nuit, un démon rôde dans l'ombre de la joie de Noël.
100001	Zone 1	Veille de Noël	
100002	Zone 2	Krampus I	
100003	Zone 3	Sainte nuit	
100004	Zone 4	Rudolphe	
100005	Zone 5	Sainte nuit	
100006	Zone 6	Père Noël	
100007	Zone 7	Sainte nuit	
100008	Zone 8	Krampus II	
1100		Arrivée de l'obélisque	Une tour des épreuves a surgi des sables brûlants du désert.
110001	Niveau 1	Tombeau de Pharaonne I	
110002	Niveau 2	Bast	
110003	Niveau 3	Tombeau de Pharaonne II	
110004	Niveau 4	Horus	
110005	Niveau 5	Tombeau de Pharaonne III	
110006	Niveau 6	Cléopâtre	
110007	Niveau 7	Tombeau de Pharaonne IV	
110008	Niveau 8	Avènement de Pharaonne	
1200		La fleur interdite	Qu'y a-t-il au-delà de toutes ces émotions ?
120001	Niveau 1	Un lit de lotus au paradis I	
120002	Niveau 2	Salican Doryeong	
120003	Niveau 3	Un lit de lotus au paradis II	
120004	Niveau 4	Jacheongbi I	
120005	Niveau 5	Un lit de lotus au paradis III	
120006	Niveau 6	Bari	
120007	Niveau 7	Un lit de lotus au paradis IV	
120008	Niveau 8	Jacheongbi II	
1300		L'Empire macabre	Pauvres de vous, âmes d'un monde condamné.\Votre chemin vous mène au plus profond de la vallée des ténèbres.
130001	Niveau 1	Nuit sanctifiée I	
130002	Niveau 2	L'exorcisme du démon	
130003	Niveau 3	Nuit sanctifiée II	
130004	Niveau 4	Opération de sauvetage	
130005	Niveau 5	Nuit sanctifiée III	
130006	Niveau 6	Fierté de fanatique	
130007	Niveau 7	Nuit sanctifiée IV	
130008	Niveau 8	Résurrection et éveil	
1400		Scandale de l'été	Marre du concours du Roi des démons ?\Partez sur l'île de la Passion ! Un véritable paradis sur terre !
140001	Niveau 1	Île de la Passion	
140002	Niveau 2	Station balnéaire somptueuse	
140003	Niveau 3	Île de la Passion	
140004	Niveau 4	Beach-volley	
140005	Niveau 5	Île de la Passion	
140006	Niveau 6	Le mystère du gorille géant	
140007	Niveau 7	Île de la Passion	
140008	Niveau 8	Vacances d'été	
1500		Café de Petit	Bienvenue au Café de Petit ♥
150001	Niveau 1	L'invitation I	
150002	Niveau 2	Invitée adorable	
150003	Niveau 3	L'invitation II	
150004	Niveau 4	Servante artilleuse	
150005	Niveau 5	L'invitation III	
150006	Niveau 6	Yes, My Lord...	
150007	Niveau 7	L'invitation IV	
150008	Niveau 8	La personne que j'aime	
1600		DIABLO-CONCERT !!	Allons ensemble à ce concert de rêve !
160001	Niveau 1	Concert de rêve	
160002	Niveau 2	Planet Party	
160003	Niveau 3	Concert de rêve	
160004	Niveau 4	Apprenties pour longtemps ?	
160005	Niveau 5	Concert de rêve	
160006	Niveau 6	La fierté d'une pop star	
160007	Niveau 7	Concert de rêve	
160008	Niveau 8	Rappel !	
1900		Cœur enflammé	Renais dans le feu pour rêver à nouveau !
190001	Niveau 1	Marche sur le feu	
190002	Niveau 2	-Désastre-	
190003	Niveau 3	Marche sur le feu	
190004	Niveau 4	-Indice-	
190005	Niveau 5	Marche sur le feu	
190006	Niveau 6	-Rage-	
190007	Niveau 7	Marche sur le feu	
190008	Niveau 8	-Espoir-	
2000		Mariée secrète	Ma promise, mets ton destin entre mes mains !
200001	Niveau 1	Mariée secrète	
200002	Niveau 2	Marche nuptiale du destin	
200003	Niveau 3	Lettre de l'île des mariées	
200004	Niveau 4	Voilà la mariée !	
200005	Niveau 5	Mariée secrète	
200006	Niveau 6	Faites entrer le marié !	
200007	Niveau 7	Mariée secrète	
200008	Niveau 8	Mon soleil, ma femme	
2100		Jumelle disparue	Une nouvelle Davi est née !
210001	Niveau 1	Les deux Davi I	
210002	Niveau 2	Spectre sournois	
210003	Niveau 3	Les deux Davi II	
210004	Niveau 4	Une autre Davi	
210005	Niveau 5	Les deux Davi III	
210006	Niveau 6	Berceau du sommeil	
210007	Niveau 7	Cocon créateur	
210008	Niveau 8	Davi éveillée	
2200		EVILS UNDER THE SUN	La fille mystérieuse qui est venue voir Luine n'est autre que...
220001	Niveau 1	L'entraînement intensif de Luine I	
220002	Niveau 2	Défi Dojo	
220003	Niveau 3	L'entraînement intensif de Luine II	
220004	Niveau 4	Tireuse d'élite	
220005	Niveau 5	L'entraînement intensif de Luine III	
220006	Niveau 6	Davi a disparu	
220007	Niveau 7	L'entraînement intensif de Luine IV	
220008	Niveau 8	Une question de fierté	
2300		Kyrie Eleison	Sauvez-moi de cette chair soumise à la mort.
230001	Niveau 1	Seigneur, ayez pitié I	
230002	Niveau 2	Brebis égarée	
230003	Niveau 3	Seigneur, ayez pitié II	
230004	Niveau 4	Le rebelle	
230005	Niveau 5	Seigneur, ayez pitié III	
230006	Niveau 6	Que la paix soit avec vous	
230007	Niveau 7	Seigneur, ayez pitié IV	
230008	Niveau 8	Tu ne tueras point	
2400		Tireuses d'été	Le courage et la volonté des hydrotireuses légendaires.
240001	Niveau 1	Hors-la-loi des rivières	
240002	Niveau 2	Le défi de la hors-la-loi	
240003	Niveau 3	Hors-la-loi des rivières	
240004	Niveau 4	L'eau ne fait qu'un avec le pistolet à eau	
240005	Niveau 5	Hors-la-loi des rivières	
240006	Niveau 6	Hydrotir	
240007	Niveau 7	Hors-la-loi des rivières	
240008	Niveau 8	Hydrochargement	
2500		Catherine: Full Body	Monde parallèle de K
250001	Niveau 1	Interlude	
250002	Niveau 2	Épisode 1	
250003	Niveau 3	Interlude	
250004	Niveau 4	Épisode 2	
250005	Niveau 5	Interlude	
250006	Niveau 6	Épisode 3	
250007	Niveau 7	Interlude	
250008	Niveau 8	Épisode 4	
2600		Les Misérables	Il me fait habiter dans les ténèbres, comme ceux qui sont morts depuis longtemps.\Lamentations 3:6
260001	Niveau 1	Désirs matériels	
260002	Niveau 2	Tabou	
260003	Niveau 3	Cadavres	
260004	Niveau 4	Anges maléfiques	
260005	Niveau 5	La marque du pécheur	
260006	Niveau 6	Poupées	
