// key	CHARACTER_NAME_	CHARACTER_SKIN_DESCRIPTION_
c000_01	_主人公	窮惡魔的時尚感令人髮指。
c000_10	神秘的_主人公	看起來異常熟悉的少女服裝。
c000_11	女校_主人公	為就讀貴族學校的女生打造的西裝校服。
c000_12	泳裝_主人公	
c000_13	_主人公	
c000_14	禮服_主人公	
c000_15	_主人公	
c000_16	_主人公	
c001_01	_莫娜	一件精美的制服，要給怠惰惡魔的調教師。
c001_02	戰鬥服_莫娜	魅魔莫娜，已經準備好囉♥
c001_12	海邊_莫娜	緊身泳裝包裹下的吸睛女性。\就是這樣才能讓你的夏日升溫！
c001_14	教師_莫娜	嚴格的魅魔，莫娜老師的服裝。
c001_16	泳裝_莫娜	話題女王的性感比基尼。將讓你的夏天更火熱！
c001_17	小小_莫娜	這是用莫娜的DNA數據，所創造出的年幼姿態！
c002_00	_麗莎	魅魔麗莎的秘密睡衣。
c002_01	_麗莎	超S級天才魅魔所穿著的華麗制服。
c002_02	戰鬥服_麗莎	超S級天才魅魔的能力值提升了！
c002_10	海邊_麗莎	充滿話題的她所穿著的性感比基尼。\夏日預報：熱血沸騰！
c002_11	學生_麗莎	魅魔麗莎的榮譽學生制服。
c002_12	夏令營_麗莎	麗莎的泳衣，設計相當精美。對抗炎熱的夏天吧！
c003_01	_妲比	可愛的妲比！不管穿什麼都好可愛喔！
c003_02	戰鬥服_妲比	討喜的妲比的可愛度正在急遽上升中！
c003_10	海邊_妲比	吸睛女孩，妲比的比基尼。\快和惡魔一同享樂吧！
c003_11	學生_妲比	妲比的學生制服，現在正值青春期。
c003_13	盛夏之夢_妲比	妲比的重視功能性的全身泳裝。
c003_14	路西法_妲比	這個妲比想像中的魔王姿態，就是的妲比的夢想！妲比的希望！
c003_15	撒旦_妲比	妲比致命的想像力，卻只是夢中夢。
c003_16	緋紅_妲比	在夢中盛開的紅花，是來自妲比的想像。
c003_17	迷你_妲比	從魔王妲比的碎片中誕生的妲比。\是我的錯覺，還是真的很眼熟呢？
c003_18	啦啦隊長_妲比	別會錯意囉！我完全沒有要為主人應援的意思！\妲比的啦啦隊長制服，專門用來為莫娜姐姐加油打氣。
c003_89	路西法_妲比	這個妲比想像中的魔王姿態，就是的妲比的夢想！妲比的希望！
c004_00	_珍妮佛	運動短裙跟她簡直是天生絕配。
c004_01	鄰居_處容	為暴走的Child所設計，伸縮性強的戰鬥服。
c004_02	親切的_處容	可大幅提升武器數量的特殊戰鬥衣。
c005_00	澤木_夏木	請注意水槍是沒有瞄準的功能的。
c005_01	疾走的_瑪爾斯	穿著時要注意心情，以免暴怒！
c005_02	暴走的_瑪爾斯	子彈裝填完成！報仇的時間到了！
c007_00	加賀_京介	有菲尼克斯商標的休閒服是用火製成的。
c007_01	燃燒的_菲尼克斯	有菲尼克斯商標的服裝！別說這是同樣的東西！
c007_02	烈火_菲尼克斯	有著菲尼克斯商標的服裝是用火製成的！
c008_00	若月_杏子	女孩的配件握把是最棒的！
c008_01	戰士_芙麗嘉	芙麗嘉的靈魂散發著白色的光芒。
c008_02	好戰的_芙麗嘉	芙麗嘉的鬥志閃耀出純白的光輝。
c009_00	宇藤_仁	只要有心，就算只有一支模型槍也能戰鬥！
c009_01	傭兵_赫克特	所帶來的損壞或傷害，顧客需自行負責。
c009_02	解決者_赫克特	給戰場上冒險生命的傭兵的服裝，有最大的耐用性。
c010_00	高梨_真理華	這是盡心盡力的護士服。
c010_01	虛張聲勢的_狄蜜特	現在我是一個護士了，也許我該試試如何打針？
c010_02	愛慕虛榮的_狄蜜特	在一個秘密的醫院裡發現了狄蜜特的戰鬥服。
c011_00	灰藤_不差子	誠實的醫學生的戰鬥服。穿著會連連出錯。
c011_01	奉仕的_迪諾	勤勉女孩的戰鬥服。就算認真工作也會犯錯。
c011_02	奉獻的_迪諾	熱心女孩的戰鬥服。就算熱心過頭也會犯錯。
c012_00	武藤_龍藏	資深偵探的外套。
c012_01	熱血的_阿伽門農	阿伽門農的服飾。\隨時隨地做好戰鬥準備。
c012_02	最終的_阿伽門農	隨時放馬過來吧。\阿伽門農的真正服飾。
c013_00	櫻川_霞	一個對時尚感毫無興趣的聰明女孩實在是討人喜歡。
c013_01	暗夜的_阿提蜜絲	安靜夜晚，穿著黑色晚禮服。
c013_02	月光的_阿提蜜絲	寒冷夜晚，穿著月光晚禮服。
c014_00	藤堂_勝美	阿斯特莉亞契約者的軍裝。
c014_01	星夜_阿斯特莉亞	十字的吊飾是阿斯特莉亞的象徵。
c014_02	銀河_阿斯特莉亞	黑色珍珠服裝呈現了阿斯特莉亞嚴謹的個性。
c015_01	季節的_海倫娜	她對基本服裝的製作是非常講究的。
c017_00	猛犬_小麥	如果你不喜歡狗的味道，就每個禮拜幫牠洗澡一次！
c017_01	看門犬_庫西	「相信我！來感受看門狗的戰鬥精神吧！」
c017_02	防禦者_庫西	「一旦我咬下去，就不會鬆口了！來感受看門狗的戰鬥精神吧！」
c018_00	八神_彌生	憂鬱人偶製造師的服裝。
c018_01	小不點_格蕾	人偶師格蕾的服裝，也有提供讓人偶說話的客製服務喔。
c018_02	不成熟的_格蕾	人偶師格蕾的服裝，跟它同類型的商品是被附身的人偶。
c019_00	漆原_靜音	這個新任老師的服裝流露出滿滿的熱情。
c019_01	激情的_厄里絲	冷酷無情的厄里絲所穿的戰鬥服。
c019_02	憤怒的_厄里絲	冷酷無情的厄里絲所穿的戰鬥服。憤怒的火焰強化了她的力量。
c020_00	油川_愛紗	拿骰子給怠惰的猛獸當武器就足夠了。
c020_01	危險的_福爾圖娜	賭徒福爾圖娜的幸運服裝。
