// key	OMNI_EVE_MONSTER_NAME_
1001	アバドン
101	アカロング
1011	ミドロング
102	ウォッチャー
103	チョロン
104	レッド
105	バシリ
106	ボクサー
107	バズコマンド
108	リユガー
109	ミミック
1101	アオロング
1102	ウォッチャー
1103	チョロン
1104	ブルー
1105	バシリ
1106	ボクサー
1107	バズコマンド
1108	リユガー
1109	ミミック
1201	アオロング
1202	ウォッチャー
1203	チョロン
1204	ブルー
1205	バシリ
1206	ボクサー
1207	バズコマンド
1208	リユガー
1209	ミミック
1301	アオロング
1302	ウォッチャー
1303	チョロン
1304	ブルー
1305	バシリ
1306	ボクサー
1307	バズコマンド
1308	リユガー
1309	ミミック
1401	アオロング
1402	ウォッチャー
1403	チョロン
1404	ブルー
1405	バシリ
1406	ボクサー
1407	バズコマンド
1408	リユガー
1409	ミミック
1501	ハロウィン
1511	チョロン
1601	キロロング
1602	ウォッチャー
1603	チョロン
1604	ライト
1605	バシリ
1606	ボクサー
1607	バズコマンド
1608	リユガー
1609	ミミック
1701	キロロング
1702	ウォッチャー
1703	チョロン
1704	ライト
1705	バシリ
1706	ボクサー
1707	バズコマンド
1708	リユガー
1709	ミミック
1801	キロロング
1802	ウォッチャー
1803	チョロン
1804	ライト
1805	バシリ
1806	ボクサー
1807	バズコマンド
1808	リユガー
1809	ミミック
1901	キロロング
1902	ウォッチャー
1903	チョロン
1904	ライト
1905	バシリ
1906	ボクサー
1907	バズコマンド
1908	リユガー
1909	ミミック
2001	ゴモラ
201	アカロング
2011	ウォッチャー
202	ウォッチャー
203	チョロン
204	レッド
205	バシリ
206	ボクサー
207	バズコマンド
208	リユガー
209	ミミック
2101	ムラロング
2102	ウォッチャー
2103	チョロン
2104	パープル
2105	バシリ
2106	ボクサー
2107	バズコマンド
2108	リユガー
2109	ミミック
2201	ムラロング
2202	ウォッチャー
2203	チョロン
2204	パープル
2205	バシリ
2206	ボクサー
2207	バズコマンド
2208	リユガー
2209	ミミック
2301	ムラロング
2302	ウォッチャー
2303	チョロン
2304	パープル
2305	バシリ
2306	ボクサー
2307	バズコマンド
2308	リユガー
2309	ミミック
2401	ムラロング
2402	ウォッチャー
2403	チョロン
2404	パープル
2405	バシリ
2406	ボクサー
2407	バズコマンド
2408	リユガー
2409	ミミック
2501	クロセル
2511	パープル
2601	イブ
2602	イブ
2603	イブ
2604	イブ
301	アカロング
302	ウォッチャー
303	チョロン
304	レッド
305	バシリ
306	ボクサー
307	バズコマンド
308	リユガー
309	ミミック
401	アカロング
402	ウォッチャー
403	チョロン
404	レッド
405	バシリ
406	ボクサー
407	バズコマンド
408	リユガー
409	ミミック
501	炎龍
601	ミドロング
602	ウォッチャー
603	チョロン
604	グリーン
605	バシリ
606	ボクサー
607	バズコマンド
608	リユガー
609	ミミック
701	ミドロング
702	ウォッチャー
703	チョロン
704	グリーン
705	バシリ
706	ボクサー
707	バズコマンド
708	リユガー
709	ミミック
801	ミドロング
802	ウォッチャー
803	チョロン
804	グリーン
805	バシリ
806	ボクサー
807	バズコマンド
808	リユガー
809	ミミック
901	ミドロング
902	ウォッチャー
903	チョロン
904	グリーン
905	バシリ
906	ボクサー
907	バズコマンド
908	リユガー
909	ミミック
