// key	HELP_	DESCRIPTION_
1		
10	你想要更加了解你的Child們嗎？\我找到了一位能告訴你詳情的人囉♥	
11	試著造訪夜世界內的<color=ffdf00>戰鬥區域</color>吧！	
12	現在我們知道那位<color=ffdf00>麻煩的驅魔師</color>是誰了。\作為一名惡魔，你不該生氣嗎？	
13	<color=ffdf00>試煉之塔</color>即將在夜世界裡開放了，對吧？\主人，快到那裡試試你的實力吧！	
14	請將你的道具託付給地下市場吧。\這麼一來便可以輕鬆地進行<color=ffdf00>強化</color>唷♥	
15	讓你的Child們變得更強吧！試著使用素材來<color=ffdf00>強化Child</color>吧♥	
16	這名Child已達強化上限。\現在試著使用<color=ffdf00>合成選單</color>進行加強覺醒吧～	
2		
3	看來你已經去過了<color = "ffdf00">人界</ color>，並找到了一位契約者。\這就是你成為魔王的第一步♥	
4	看來你獲得了一些水晶♥\那麼現在就來試著<color=ffdf00>召喚</color>Child吧。	
5	你有很多契約者的靈魂！\現在試著網羅一些Child吧。	
6	取得Child後就能在戰鬥中善加運用他們！\試著在Child選單將他們加入你的<color=ffdf00>隊伍</color>。	
7	你現在應該正要去<color=ffdf00>商店</color>吧？\別忘了查看夜世界裡的造型箱檢查標誌。	
8	你收到了來自<color=ffdf00>夜世界</color>的邀請函。\這些惡魔教徒真的很了解怎麼引起你的注意力呢♥	
9	試著將艾波娜派出去<color=ffdf00>探索</color>吧。\她會找到各式各樣的道具哦♥	
