// key	CHARACTER_PROFILE_DESC_
c000_interest	
c000_like	
c000_love	
c000_profile	
c001_interest	这是魅魔的商业机密♥
c001_like	要上喽！
c001_love	请再成熟一点吧……
c001_profile	魅魔的领导者。她的身上充满着谜团。\虽然很喜欢诱惑和挑逗，但她认真起来的样子很严肃。平时好相处，备战时极为一丝不苟。\由于在魔界的中心长大，她和常年在人界中生活的主人公总是有意见冲突。
c002_interest	我会让主人成为魔王的。
c002_like	就算是助手也需要休息。
c002_love	我会好好调教你的。
c002_profile	每天都准备好24小时奋战的工作狂魅魔。随时都尽力保持着清晰和优雅的语调。\她曾经计划着在魔王争夺战结束后，用她入手的财宝享受悠闲的退休生活。但时至今日，她已经快要放弃了。让主人公成为稍微像样一点的恶魔，并当上魔王需要多少时间？\她易怒的个性和过度依照计划行事的天性，在主人公的影响下，逐渐有所改善。\就像人们常说的，人生不一定都会按照计划进行……
c003_interest	我要去找莫娜姐！
c003_like	你这个鸡冠头笨蛋！
c003_love	哼！笨主人！
c003_profile	她的名字里包含着无限的可能性……至少她是这么宣称的。\她头脑简单而且容易受骗。常常会因为一时兴起而擅自行动。\她最在乎的只有莫娜，魔王争夺战对她而言仅仅是为了与莫娜共度美好时光。在她眼里，主人公是与她争夺莫娜的情敌，并称其为「鸡冠头笨蛋」。\总之，以后还会继续默默地守望着她……
c004_interest	来跟我一起玩吧，队长！
c004_like	你只想……\利用我而已……对吧？
c004_love	我会助你一臂之力的，队长！
c004_profile	一位孤独的少女因为渴望获得朋友，而向恶魔许下了愿望。\一名Child因此诞生了，她最宝贵的事物是每天和她的朋友进行充满逆境的冒险。其名为「处容」，这个名字原来的主人被视为异乡人，就像处容的契约者一样。\是一位希望能全力奔跑，一心向前冲的鲁莽少女。
c005_interest	最弱的恶魔？\真是没用啊。
c005_like	我很担心像你一样的弱鸡。
c005_love	我想我们可以当朋友……
c005_profile	她的名字来源于战争之神「玛尔斯」，表现了潜藏在她端庄外观下的好战个性。\在她完成复仇之前，会无止尽地战斗下去。对她来说，复仇的重要性远远超过让主人公成为魔王。她的契约者和「揶揄的摩摩斯」的契约者有些因缘，因此她也对揶揄的摩摩斯有些在意。\由于玛尔斯沉迷于策划她的复仇，所以她总是无法和其他的Child们正常交流。
c007_interest	老子才不是派罗！
c007_like	打倒派罗！
c007_love	给我滚出来！派罗！
c007_profile	一名和「灼热的派罗」共享契约者的Child。他认为派罗夺走了属于他的地位。\从灵魂的碎片中诞生的他，处境就和从灰烬中诞生的不死鸟相似，因此被授予了这个名字。\他的人生终极目标就是击败派罗，并取而代之。\也许他真的会是派罗的好对手……
c008_interest	你只是个小鬼头。
c008_like	你是强大的恶魔吗？
c008_love	有机会的话，我想和你比试一下！
c008_profile	自己的身体要由自己来守护！\这名Child的契约者四处寻找背叛她的前男友，而她发下的复仇毒誓则是诞生Child的契机。\虽然「弗丽嘉」这个名字来源于爱与婚姻的女神，但她似乎对这两样都没兴趣。\尽管她的外貌堪比晓勇的战士，口气也相当粗鲁，但因为受到其契约者的影响，所以很害怕虫之类的恶心东西。
c009_interest	我一点都不想当个穷人！
c009_like	你是什么意思，你没有野心吗？
c009_love	别让我后悔加入你的行列！
