// key	LUCKY_BOX_	LUCKY_BOX_DESC_
1000	解放されたマアトパッケージ	さまざまな補償が入っているBOXです。
1001	DEVIL PASS ボックス(解放されたマアト)	さまざまな補償が入っているBOXです。
1002	マアトパッケージ	さまざまな補償が入っているBOXです。
1003	DEVIL PASS ボックス(ブラウニー)	さまざまな補償が入っているBOXです。
1004	ブラウニーパッケージ	さまざまな補償が入っているBOXです。
1005	ハデスパッケージ	さまざまな補償が入っているBOXです。
1006	ダークバスターリザパッケージ	さまざまな補償が入っているBOXです。
1007	オルガパッケージ	さまざまな補償が入っているBOXです。
1008	PICK UP カリプソラッキーボックス	さまざまな補償が入っているBOXです。
1009	PICK UP イブラッキーボックス	さまざまな補償が入っているBOXです。
1010	カリプソラッキーボックス	さまざまな補償が入っているBOXです。
20000	サーバルの\ <size=0.8>ラッキーボックス</size>	さまざまな補償が入っているBOXです。
20001	フェネックの\<size=0.8>ラッキーボックス</size>	さまざまな補償が入っているBOXです。
20002	アライグマラッキーボックス	さまざまな補償が入っているBOXです。
20003	フレンズ<size=0.8>ラッキー</size>\<size=0.8>ボックス</size>	さまざまな補償が入っているBOXです。
20004	ワーウルフラッキーボックス	さまざまな補償が入っているBOXです。
20005	フレイラッキーボックス	さまざまな補償が入っているBOXです。
20006	オニキスラッキーボックス	さまざまな補償が入っているBOXです。
20007	ソウルカルタラッキーボックス	さまざまな補償が入っているBOXです。
20008	ソウルカルタラッキーボックス	さまざまな補償が入っているBOXです。
20009	<size=0.8>進化チャイルドラッキーボックス</size>	さまざまな補償が入っているBOXです。
20010	装備ラッキーボックス	さまざまな補償が入っているBOXです。
20011	かすみラッキーボックス	さまざまな補償が入っているBOXです。
20012	マリー・ローズラッキーボックス	さまざまな補償が入っているBOXです。
20013	ほのかラッキーボックス	さまざまな補償が入っているBOXです。
20014	DOA ラッキーボックス	さまざまな補償が入っているBOXです。
20015	ゴールドラッキーボックス	さまざまな補償が入っているBOXです。
20016	アシュトレスラッキーボックス	さまざまな補償が入っているBOXです。
20017	ルインラッキーボックス	さまざまな補償が入っているBOXです。
20018	デュランダルラッキーボックス	さまざまな補償が入っているBOXです。
20019	シュリンクスラッキーボックス	さまざまな補償が入っているBOXです。
20020	紅石ラッキーボックス	さまざまな補償が入っているBOXです。
20021	自請妃ラッキーボックス	さまざまな補償が入っているBOXです。
20022	初心者レイドラッキーボックス	さまざまな補償が入っているBOXです。
20023	放浪する道士ラッキーボックス	さまざまな補償が入っているBOXです。
20024	ゴールドラッキーボックス	さまざまな補償が入っているBOXです。
20025	シトリーラッキーボックス	さまざまな補償が入っているBOXです。
20026	アストレアラッキーボックス	さまざまな補償が入っているBOXです。
20027	ワールドボスラッキーボックス	さまざまな補償が入っているBOXです。
20028	海辺の女神ラッキーボックス	さまざまな補償が入っているBOXです。
20029	アストレアラッキーボックス	さまざまな補償が入っているBOXです。
20030	ノエルラッキーボックス	さまざまな補償が入っているBOXです。
20031	マコトラッキーボックス	さまざまな補償が入っているBOXです。
20032	ナインラッキーボックス	さまざまな補償が入っているBOXです。
20033	ソウルカルタラッキーボックス	さまざまな補償が入っているBOXです。
20034	ビキニリザラッキーボックス	さまざまな補償が入っているBOXです。
20035	自請妃ラッキーボックス	さまざまな補償が入っているBOXです。
20036	ビーチの憩いカルタパック	さまざまな補償が入っているBOXです。
20037	アネモネラッキーボックス	さまざまな補償が入っているBOXです。
20038	初心者レイドラッキーボックス	さまざまな補償が入っているBOXです。
20039	スク水ダビラッキーボックス	さまざまな補償が入っているBOXです。
20040	午後の休息\カルタパック	さまざまな補償が入っているBOXです。
20041	カリプソラッキーボックス	さまざまな補償が入っているBOXです。
20042	極な寝心地カルタパック	さまざまな補償が入っているBOXです。
20043	バートリーラッキーボックス	さまざまな補償が入っているBOXです。
20044	クランプスラッキーボックス	さまざまな補償が入っているBOXです。
20045	甦りしフレイラッキーボックス	さまざまな補償が入っているBOXです。
20046	猫耳ネヴァンラッキーボックス	さまざまな補償が入っているBOXです。
20047	クリスタルラッキーボックス	さまざまな補償が入っているBOXです。
20048	木属性チャイルドラッキーボックス	さまざまな補償が入っているBOXです。
20049	一般プレゼントのラッキーボックス	さまざまな補償が入っているBOXです。
20050	高級プレゼントのラッキーボックス	さまざまな補償が入っているBOXです。
20051	ソウルカルタラッキーボックス	さまざまな補償が入っているBOXです。
20052	極な寝心地カルタパック	さまざまな補償が入っているBOXです。
20053	ニュービーモナラッキーボックス	さまざまな補償が入っているBOXです。
20054	ワールドボスカルタパック	さまざまな補償が入っているBOXです。
20055	オニキスラッキーボックス	さまざまな補償が入っているBOXです。
20056	火属性チャイルドラッキーボックス	さまざまな補償が入っているBOXです。
20057	浮気キャサリンラッキーボックス	さまざまな補償が入っているBOXです。
20058	ソウルカルタラッキーボックス	さまざまな補償が入っているBOXです。
20059	初心者レイドラッキーボックス II	さまざまな補償が入っているBOXです。
20060	初心者レイドラッキーボックス I	さまざまな補償が入っているBOXです。
20061	リンラッキーボックス	さまざまな補償が入っているBOXです。
20062	ワールドボスラッキーボックス	さまざまな補償が入っているBOXです。
20063	パーティスターメブラッキーボックス	さまざまな補償が入っているBOXです。
20064	アリルラッキーボックス	さまざまな補償が入っているBOXです。
20065	ソウルカルタラッキーボックス	さまざまな補償が入っているBOXです。
20066	かぼちゃのドーナツセット	さまざまな補償が入っているBOXです。
20067	ジャックオーランタンドーナツセット	さまざまな補償が入っているBOXです。
20068	無頼のミダスラッキーボックス	さまざまな補償が入っているBOXです。
20069	召喚チケットラッキーボックス	さまざまな補償が入っているBOXです。
20070	ソウルカルタラッキーボックス	さまざまな補償が入っているBOXです。
20071	リバース錬成術ラッキーボックス	さまざまな補償が入っているBOXです。
20072	ブランドニューバッジ	今年こそ三日坊主で終わらせないという\覚悟を込めた新年バッジ\身に着けていると幸運が訪れるかもしれない。
20073	スペシャルブランドニューバッジ	昨日の失敗を明日の成功につなげる！\1年分の幸運を集めて作ったバッジだ。\身に着けていると幸運が訪れるかもしれない。
20074	火属性チャイルドラッキーボックス	多様な報酬が入っているラッキーボックスです。
20075	召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです。
20076	デイリーラッキーボックス	多様な報酬が入っているラッキーボックスです。
20077	火属性チャイルドラッキーボックス	多様な報酬が入っているラッキーボックスです。
20078	召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです。
20079	木属性チャイルドラッキーボックス	多様な報酬が入っているラッキーボックスです。
20080	ソウルカルタラッキーボックス	多様な報酬が入っているラッキーボックスです。
20081	ソウルカルタラッキーボックス	多様な報酬が入っているラッキーボックスです。
20082	召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです。
20083	水属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです。
20084	水属性★5温泉プレゼントラッキーボックス	多様な報酬が入っているラッキーボックスです。
20085	★5温泉プレゼントラッキーボックス	多様な報酬が入っているラッキーボックスです。
20086	2019水属性★5チャイルド温泉スキンラッキーボックス	ロンチングから2019.12.31まで\コラボ温泉スキンを除く。
20087	光属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
20088	ランブルベストチャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
20089	ランブルベストソウルカルタラッキーボックス	多様な報酬が入っているラッキーボックスです
20090	火属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
20091	ワールドボス・ベストチャイルド・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20092	諸刃の剣チャイルドラッキーボックス	多様な報酬が入っているラッキーボックスです
20093	火属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
20094	2019火属性★5チャイルド温泉スキンラッキーボックス	ロンチングから2019.12.31まで\コラボ温泉スキンを除く。
20095	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20096	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20097	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20098	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20099	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20100	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20101	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20102	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20103	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20104	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20105	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20106	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20107	ボーナス・ラッキーボックス	多様な報酬が入っているラッキーボックスです
20108	悪魔のラッキーボックス	悪魔が直接ラッピングしたプレゼント箱。\受け取る側の欲望に合わせてプレゼントを選んでいる。\中に何が入っているかは…秘密。
20109	木属性チャイルド召喚チケットラッキーボックス	多様な報酬が入っているラッキーボックスです
