// key	OMNI_EVE_ITEM_NAME_	OMNI_EVE_ITEM_DESC_
10101	魔杖	按下它，可射出花粉。\落入坏人手中，它将变成让人极度反感的武器。
10102	卷起来的报纸	一份卷起来的报纸。\是初出茅芦的勇者们爱用的剑。
10103	橡胶锤	软软的橡胶锤。\该武器考虑到了安全性，成为销售冠军。
10104	拳击手套	赤红色的拳击手套。\被这玩意击中，连恶魔都会被打倒。
10201	斧	无论是人类或是恶魔都能轻易斩断的实用武器。\也很适合用来砍柴。
10202	求生手斧	露营必备！大家都该有一把的随身手斧。
10203	鞭	通常用来驯服动物。\用在人或恶魔身上，会造成剧烈疼痛。
10204	双节棍	阿恰～！来接接看我的双截棍吧！\一不小心砸到脸上的话可就出丑喽。
10205	神社巫女的匕首	神社巫女所携带的护身匕首。\作为武器，它已经够小了，但作为饰品，它还是过于笨重。
10206	可爱扫帚	用来当做高级摆饰的扫帚。\实用性为零。
10207	圣诞老人的拐杖	装满糖果的枴杖。\愿善良的恶魔都能得到祝福。
10301	狄蜜特针筒	流过血管的愤怒提供了力量。\一支充满了狄蜜特之怒的针筒。
10302	哥特式阳伞	巴托里的哥特式阳伞。\抵挡紫外线的神器。有玫瑰干花的淡淡香气。
10303	斧枪	从刀柄到刀刃的每一处都是精心制作。\但要练习一阵子才能用得好。
10304	赝品偃月刀	从长胡子的老伯伯到美少女都喜欢选用这种武器。\虽然没有刀刃，但是逼真的外型让它成为了Cosplay中常用的道具。
10305	莱玛的刺剑	莱玛曾爱之人所使用的武器。
10306	电锯	据说是传奇杀人魔的凶器。\居家必备。
10307	魔杖	魔法少女所使用的神奇手杖。\只有被选中之人才能使用。
10308	战神的圣环	奥弗伊斯随意使用魔法制作而成的护身符。\她说这会带来必定成功的好运。
10309	圣诞老人的拐杖	装满糖果的枴杖。\愿善良的恶魔都能得到祝福。
10401	丽莫斯的三叉戟	丽莫斯专用的短三叉戟，能让她迅速且准确地\插起甜甜圈。也可以当叉子用。
10402	钢铁玫瑰	随着布丽姬的魔力而胀大或缩小的宝石。\里面没有玫瑰。
10403	该隐的权杖	象征神圣权威的权杖。
10404	皮手套	收割了无数恶魔臼齿的手套。\据说库巴巴在近战中会更加恐怖。
10405	月光紫晶之杖	神秘紫晶制成的魔杖。\宝石散发着令人发狂的危险气息。
10406	佛法力腕甲	充满驱魔师魔力的腕甲。\只有开悟的驱魔师能使用。
10407	黛娜的权杖	黛娜用来引导迷失羔羊的权杖。
10408	神圣锡杖	散发些许灵力的神圣锡杖。\这一定是真货。
10409	圣诞老人的拐杖	装满糖果的枴杖。\愿善良的恶魔都能得到祝福。
10501	涅槃宝剑	充满驱魔师魔力的宝剑。\在不洁之物出现时，会散发耀眼的光芒。
10502	神圣惩罚之矛	从玛亚特灵魂的一部分中所诞生的圣枪。\其枪刃可能会朝向自己。
10503	邪恶之花	一把外型奇异的剑，专为阿斯塔蒂修改制作。\一旦被刺中就很难拔出来……
10504	闪光斧	能立刻砍飞怪物的强大武器。
10505	粉碎重锤	用尽全力挥舞这把锤子的话，也许你就能逃离这里。
10506	宇宙魔杖	体现使用者逃脱决心的魔杖。
10507	火之枪	让我们逃离这无限轮回的宇宙吧。
10508	飞翼神剑	能协助你逃离这地狱般宇宙的救赎神剑。
10509	圣诞老人的拐杖	装满糖果的枴杖。\愿善良的恶魔都能得到祝福。
29001	暮光药水	一股神秘的力量在你体内涌动。\<color=ffc400>最多可回复最大HP的30%。</color>
